Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	923618	924018
chr1	924752	925152
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	959123	959523
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1014273	1014673
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1021064	1021464
chr1	1025053	1025453
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1033715	1034115
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1133348	1133748
chr1	1143984	1144384
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1173670	1174070
chr1	1182736	1183136
chr1	1183151	1183551
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1244228	1244628
chr1	1261115	1261515
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1433179	1433579
chr1	1434267	1434667
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1554836	1555236
chr1	1561406	1561806
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1677829	1678229
chr1	1678252	1678652
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782933	1783333
chr1	1846985	1847385
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2050616	2051016
chr1	2132224	2132624
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2148670	2149070
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2299816	2300216
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2459821	2460221
chr1	2506931	2507331
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2566090	2566490
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2592797	2593197
chr1	2593963	2594363
chr1	2593389	2593789
chr1	2633896	2634296
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2786611	2787011
chr1	2801550	2801950
chr1	2821904	2822304
chr1	2926376	2926776
chr1	2985264	2985664
chr1	3069993	3070393
chr1	3069575	3069975
chr1	3155343	3155743
chr1	3160949	3161349
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3186553	3186953
chr1	3196570	3196970
chr1	3240913	3241313
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3319910	3320310
chr1	3352427	3352827
chr1	3366056	3366456
chr1	3393443	3393843
chr1	3392991	3393391
chr1	3402247	3402647
chr1	3410103	3410503
chr1	3414891	3415291
chr1	3415396	3415796
chr1	3415797	3416197
chr1	3423382	3423782
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3454847	3455247
chr1	3458149	3458549
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3504175	3504575
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3539952	3540352
chr1	3541882	3542282
chr1	3545728	3546128
chr1	3548184	3548584
chr1	3573515	3573915
chr1	3577320	3577720
chr1	3581350	3581750
chr1	3590325	3590725
chr1	3590771	3591171
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3678998	3679398
chr1	3688072	3688472
chr1	3688751	3689151
chr1	3695606	3696006
chr1	3717126	3717526
chr1	3718004	3718404
chr1	3720036	3720436
chr1	3732619	3733019
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3772849	3773249
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4512592	4512992
chr1	4652551	4652951
