Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	911156	911556
chr1	912048	912448
chr1	921026	921426
chr1	920614	921014
chr1	923618	924018
chr1	925504	925904
chr1	933062	933462
chr1	933628	934028
chr1	935810	936210
chr1	940172	940572
chr1	941619	942019
chr1	944311	944711
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	998982	999382
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1041123	1041523
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1315358	1315758
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1331024	1331424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1358538	1358938
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1417924	1418324
chr1	1419991	1420391
chr1	1421191	1421591
chr1	1420695	1421095
chr1	1426913	1427313
chr1	1427451	1427851
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1539183	1539583
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1809465	1809865
chr1	1832156	1832556
chr1	1841170	1841570
chr1	1890939	1891339
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2032190	2032590
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2088447	2088847
chr1	2091601	2092001
chr1	2108584	2108984
chr1	2116052	2116452
chr1	2132224	2132624
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2156800	2157200
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2251753	2252153
chr1	2251303	2251703
chr1	2270255	2270655
chr1	2271944	2272344
chr1	2271318	2271718
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2284220	2284620
chr1	2314291	2314691
chr1	2315069	2315469
chr1	2315645	2316045
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330341	2330741
chr1	2336069	2336469
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2426459	2426859
chr1	2431095	2431495
chr1	2431505	2431905
chr1	2443837	2444237
chr1	2446479	2446879
chr1	2452211	2452611
chr1	2452658	2453058
chr1	2459821	2460221
chr1	2465581	2465981
chr1	2467212	2467612
chr1	2469222	2469622
chr1	2470498	2470898
chr1	2470917	2471317
chr1	2474108	2474508
chr1	2476097	2476497
chr1	2523103	2523503
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2543436	2543836
chr1	2544321	2544721
chr1	2544852	2545252
chr1	2546010	2546410
chr1	2556322	2556722
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2629248	2629648
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2772312	2772712
chr1	2821904	2822304
chr1	2855740	2856140
chr1	2882909	2883309
chr1	2892030	2892430
chr1	2905948	2906348
chr1	2987822	2988222
chr1	3012471	3012871
chr1	3028720	3029120
chr1	3036663	3037063
chr1	3060940	3061340
chr1	3069993	3070393
chr1	3101113	3101513
chr1	3105444	3105844
chr1	3107180	3107580
chr1	3119671	3120071
chr1	3120116	3120516
chr1	3125675	3126075
chr1	3134742	3135142
chr1	3135373	3135773
chr1	3170498	3170898
chr1	3198864	3199264
chr1	3208804	3209204
chr1	3217104	3217504
chr1	3226907	3227307
chr1	3251755	3252155
chr1	3266095	3266495
chr1	3267819	3268219
chr1	3283964	3284364
chr1	3313615	3314015
chr1	3319910	3320310
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3332010	3332410
chr1	3352427	3352827
chr1	3365497	3365897
chr1	3393443	3393843
chr1	3394021	3394421
chr1	3403633	3404033
chr1	3410103	3410503
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3454847	3455247
chr1	3453792	3454192
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3483832	3484232
chr1	3491213	3491613
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3545728	3546128
chr1	3565228	3565628
chr1	3590325	3590725
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3630983	3631383
chr1	3631802	3632202
chr1	3649926	3650326
chr1	3652223	3652623
chr1	3668812	3669212
chr1	3674595	3674995
chr1	3674129	3674529
chr1	3683980	3684380
chr1	3695606	3696006
chr1	3714362	3714762
chr1	3718004	3718404
chr1	3719256	3719656
chr1	3724384	3724784
