Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	959124	959524
chr1	966263	966663
chr1	976001	976401
chr1	995704	996104
chr1	999982	1000382
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1173638	1174038
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1421162	1421562
chr1	1433189	1433589
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1946530	1946930
chr1	1947477	1947877
chr1	1969087	1969487
chr1	2001850	2002250
chr1	2003630	2004030
chr1	2050093	2050493
chr1	2050582	2050982
chr1	2061386	2061786
chr1	2127333	2127733
chr1	2133112	2133512
chr1	2135435	2135835
chr1	2189500	2189900
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2208271	2208671
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2240191	2240591
chr1	2248422	2248822
chr1	2311447	2311847
chr1	2322503	2322903
chr1	2322935	2323335
chr1	2336075	2336475
chr1	2352696	2353096
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2555558	2555958
chr1	2575763	2576163
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2611203	2611603
chr1	2636682	2637082
chr1	2642468	2642868
chr1	2683896	2684296
chr1	2789036	2789436
chr1	2801568	2801968
chr1	2821907	2822307
chr1	2866304	2866704
chr1	3004428	3004828
chr1	3074857	3075257
chr1	3170497	3170897
chr1	3174831	3175231
chr1	3188256	3188656
chr1	3222018	3222418
chr1	3238419	3238819
chr1	3323135	3323535
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3460059	3460459
chr1	3531263	3531663
chr1	3531687	3532087
chr1	3618962	3619362
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3674708	3675108
chr1	3681029	3681429
chr1	3690401	3690801
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3910775	3911175
chr1	5404567	5404967
chr1	5598032	5598432
chr1	5992337	5992737
chr1	6026026	6026426
chr1	6034419	6034819
chr1	6127731	6128131
chr1	6199485	6199885
chr1	6205158	6205558
chr1	6220203	6220603
chr1	6235817	6236217
chr1	6235213	6235613
chr1	6245023	6245423
chr1	6322164	6322564
chr1	6350410	6350810
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6423418	6423818
chr1	6440327	6440727
chr1	6448123	6448523
chr1	6472034	6472434
chr1	6497320	6497720
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6614566	6614966
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6832764	6833164
chr1	6859312	6859712
chr1	6899629	6900029
chr1	7491079	7491479
chr1	7572752	7573152
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7784354	7784754
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	7982277	7982677
chr1	7987570	7987970
chr1	8004944	8005344
chr1	8005395	8005795
chr1	8026127	8026527
chr1	8061236	8061636
chr1	8070279	8070679
chr1	8083905	8084305
chr1	8121306	8121706
chr1	8182071	8182471
chr1	8194543	8194943
chr1	8252678	8253078
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8343414	8343814
chr1	8348959	8349359
chr1	8373911	8374311
chr1	8394969	8395369
chr1	8408040	8408440
chr1	8424716	8425116
chr1	8423575	8423975
chr1	8438888	8439288
chr1	8490154	8490554
chr1	8525866	8526266
chr1	8643844	8644244
chr1	8703198	8703598
chr1	8733420	8733820
chr1	8789519	8789919
chr1	8817530	8817930
chr1	8848796	8849196
chr1	8859320	8859720
chr1	8878569	8878969
chr1	8903896	8904296
chr1	9129030	9129430
chr1	9128628	9129028
chr1	9129436	9129836
chr1	9162766	9163166
chr1	9182189	9182589
chr1	9234476	9234876
chr1	9242564	9242964
chr1	9244571	9244971
chr1	9249666	9250066
chr1	9250442	9250842
chr1	9292616	9293016
chr1	9295055	9295455
chr1	9303115	9303515
chr1	9302691	9303091
chr1	9312177	9312577
chr1	9338835	9339235
chr1	9413020	9413420
chr1	9428816	9429216
chr1	9438506	9438906
chr1	9539155	9539555
chr1	9567665	9568065
chr1	9588452	9588852
chr1	9593785	9594185
chr1	9615560	9615960
chr1	9626958	9627358
chr1	9689285	9689685
chr1	9768558	9768958
chr1	9823823	9824223
chr1	9825459	9825859
chr1	9836101	9836501
chr1	9843501	9843901
chr1	9900350	9900750
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10210259	10210659
chr1	10377435	10377835
chr1	10378432	10378832
chr1	10387707	10388107
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10415356	10415756
chr1	10430524	10430924
chr1	10438676	10439076
chr1	10472398	10472798
chr1	10474704	10475104
chr1	10495149	10495549
chr1	10519126	10519526
chr1	10555663	10556063
chr1	10561511	10561911
chr1	10591421	10591821
chr1	10591010	10591410
chr1	10635453	10635853
chr1	10643629	10644029
chr1	10651822	10652222
chr1	10675327	10675727
chr1	10686449	10686849
chr1	10686023	10686423
