Chromosome	Start	End
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	923663	924063
chr1	924140	924540
chr1	940125	940525
chr1	959124	959524
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1788169	1788569
chr1	1873139	1873539
chr1	1890942	1891342
chr1	1908991	1909391
chr1	2135435	2135835
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2259572	2259972
chr1	2267385	2267785
chr1	2290669	2291069
chr1	2310318	2310718
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2446363	2446763
chr1	2459787	2460187
chr1	2493596	2493996
chr1	2526090	2526490
chr1	2530127	2530527
chr1	2543720	2544120
chr1	2544913	2545313
chr1	2548685	2549085
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2654597	2654997
chr1	2803543	2803943
chr1	2821907	2822307
chr1	3012469	3012869
chr1	3069569	3069969
chr1	3069060	3069460
chr1	3073535	3073935
chr1	3078528	3078928
chr1	3101453	3101853
chr1	3105464	3105864
chr1	3113247	3113647
chr1	3126076	3126476
chr1	3156981	3157381
chr1	3161131	3161531
chr1	3161745	3162145
chr1	3170497	3170897
chr1	3174831	3175231
chr1	3212055	3212455
chr1	3219226	3219626
chr1	3219662	3220062
chr1	3228300	3228700
chr1	3313607	3314007
chr1	3348191	3348591
chr1	3350427	3350827
chr1	3350828	3351228
chr1	3386180	3386580
chr1	3410118	3410518
chr1	3443583	3443983
chr1	3504108	3504508
chr1	3540083	3540483
chr1	3560581	3560981
chr1	3624685	3625085
chr1	3714382	3714782
chr1	3714783	3715183
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	4397233	4397633
chr1	4398088	4398488
chr1	4447974	4448374
chr1	4808188	4808588
chr1	5361869	5362269
chr1	5652804	5653204
chr1	5745099	5745499
chr1	5769245	5769645
chr1	5896619	5897019
chr1	5992337	5992737
chr1	6199485	6199885
chr1	6235817	6236217
chr1	6287426	6287826
chr1	6330271	6330671
chr1	6393265	6393665
chr1	6436970	6437370
chr1	6490421	6490821
chr1	6519955	6520355
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6587242	6587642
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6735074	6735474
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6811554	6811954
chr1	6842229	6842629
chr1	6868933	6869333
chr1	6914778	6915178
chr1	6922505	6922905
chr1	7042458	7042858
chr1	7291521	7291921
chr1	7388860	7389260
chr1	7471843	7472243
chr1	7491764	7492164
chr1	7667525	7667925
chr1	7668474	7668874
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7784354	7784754
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8015807	8016207
chr1	8026127	8026527
