Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	904556	904956
chr1	905227	905627
chr1	923618	924018
chr1	925504	925904
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	959123	959523
chr1	966792	967192
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1200430	1200830
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1361979	1362379
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1989027	1989427
chr1	2003702	2004102
chr1	2025604	2026004
chr1	2026052	2026452
chr1	2044817	2045217
chr1	2108584	2108984
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2255973	2256373
chr1	2266601	2267001
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2353139	2353539
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2459821	2460221
chr1	2463328	2463728
chr1	2466811	2467211
chr1	2467212	2467612
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2607730	2608130
chr1	2607111	2607511
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2801550	2801950
chr1	2821904	2822304
chr1	2905948	2906348
chr1	3105444	3105844
chr1	3121392	3121792
chr1	3126890	3127290
