Chromosome	Start	End
chr1	632504	632904
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	830735	831135
chr1	835494	835894
chr1	869700	870100
chr1	959123	959523
chr1	980629	981029
chr1	981976	982376
chr1	999961	1000361
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032464	1032864
chr1	1074084	1074484
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1208339	1208739
chr1	1216222	1216622
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1331024	1331424
chr1	1349240	1349640
chr1	1347568	1347968
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1432558	1432958
chr1	1433179	1433579
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1550850	1551250
chr1	1555270	1555670
chr1	1567066	1567466
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1619754	1620154
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1753361	1753761
chr1	1759657	1760057
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1890939	1891339
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1914469	1914869
chr1	1919226	1919626
chr1	2019518	2019918
chr1	2025604	2026004
chr1	2032190	2032590
chr1	2090085	2090485
chr1	2099166	2099566
chr1	2133092	2133492
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2199228	2199628
chr1	2205103	2205503
chr1	2214830	2215230
chr1	2227605	2228005
chr1	2250809	2251209
chr1	2251753	2252153
chr1	2270255	2270655
chr1	2274171	2274571
chr1	2299260	2299660
chr1	2305357	2305757
chr1	2312785	2313185
chr1	2322683	2323083
chr1	2378358	2378758
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2459821	2460221
chr1	2475033	2475433
chr1	2480991	2481391
chr1	2504656	2505056
chr1	2526086	2526486
chr1	2527308	2527708
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2640098	2640498
chr1	2643039	2643439
chr1	2969843	2970243
chr1	2985264	2985664
chr1	3060940	3061340
chr1	3061462	3061862
chr1	3094282	3094682
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3313615	3314015
chr1	3410103	3410503
chr1	3460043	3460443
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3504793	3505193
chr1	3519111	3519511
chr1	3529295	3529695
chr1	3538253	3538653
chr1	3553388	3553788
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3633418	3633818
chr1	3668812	3669212
chr1	3674595	3674995
chr1	3674129	3674529
chr1	3714362	3714762
chr1	3714809	3715209
chr1	3747229	3747629
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3954720	3955120
