Chromosome	Start	End
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	905248	905648
chr1	906768	907168
chr1	911152	911552
chr1	923663	924063
chr1	924560	924960
chr1	959124	959524
chr1	966263	966663
chr1	984123	984523
chr1	999982	1000382
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1080093	1080493
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1133357	1133757
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1159445	1159845
chr1	1162617	1163017
chr1	1222199	1222599
chr1	1230681	1231081
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1332798	1333198
chr1	1344774	1345174
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1356724	1357124
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1407660	1408060
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1543321	1543721
chr1	1574716	1575116
chr1	1577472	1577872
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1627264	1627664
chr1	1648201	1648601
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1692622	1693022
chr1	1715466	1715866
chr1	1721266	1721666
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1753319	1753719
chr1	1758731	1759131
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1873139	1873539
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1894573	1894973
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1942855	1943255
chr1	1959984	1960384
chr1	2050093	2050493
chr1	2072077	2072477
chr1	2091606	2092006
chr1	2092205	2092605
chr1	2133112	2133512
chr1	2137427	2137827
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2248422	2248822
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2415664	2416064
chr1	2478111	2478511
chr1	2526090	2526490
chr1	2530127	2530527
chr1	2537436	2537836
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2555558	2555958
chr1	2557337	2557737
chr1	2575763	2576163
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2592672	2593072
chr1	2611203	2611603
chr1	2631529	2631929
chr1	3130794	3131194
chr1	3171006	3171406
chr1	3192782	3193182
chr1	3207127	3207527
chr1	3213702	3214102
chr1	3222018	3222418
chr1	3250116	3250516
chr1	3251106	3251506
chr1	3259367	3259767
chr1	3323135	3323535
chr1	3410118	3410518
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3460059	3460459
chr1	3480331	3480731
chr1	3483844	3484244
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3625567	3625967
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3690401	3690801
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3869649	3870049
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3922224	3922624
chr1	5447453	5447853
chr1	5551541	5551941
chr1	5586020	5586420
chr1	5927966	5928366
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6026026	6026426
chr1	6127731	6128131
chr1	6148618	6149018
chr1	6199485	6199885
chr1	6205881	6206281
chr1	6235817	6236217
chr1	6249038	6249438
chr1	6260385	6260785
chr1	6270020	6270420
chr1	6270448	6270848
chr1	6271506	6271906
chr1	6281761	6282161
chr1	6300263	6300663
chr1	6322164	6322564
chr1	6354046	6354446
chr1	6359688	6360088
chr1	6362577	6362977
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6418302	6418702
chr1	6419775	6420175
chr1	6440327	6440727
chr1	6451021	6451421
chr1	6471461	6471861
chr1	6472034	6472434
chr1	6483046	6483446
chr1	6489042	6489442
chr1	6490421	6490821
chr1	6499315	6499715
chr1	6579731	6580131
chr1	6582342	6582742
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6706561	6706961
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6807757	6808157
chr1	6822469	6822869
chr1	6889872	6890272
chr1	6899629	6900029
chr1	6962791	6963191
chr1	6962363	6962763
chr1	6963212	6963612
chr1	7266046	7266446
chr1	7278041	7278441
chr1	7300889	7301289
chr1	7334392	7334792
chr1	7550964	7551364
chr1	7645496	7645896
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7885509	7885909
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	8020030	8020430
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8028303	8028703
chr1	8040572	8040972
chr1	8077202	8077602
chr1	8094446	8094846
chr1	8097385	8097785
chr1	8169735	8170135
chr1	8174319	8174719
chr1	8174766	8175166
chr1	8230072	8230472
chr1	8238967	8239367
chr1	8241537	8241937
chr1	8247772	8248172
chr1	8259050	8259450
chr1	8293117	8293517
chr1	8317887	8318287
chr1	8408040	8408440
chr1	8412208	8412608
chr1	8423575	8423975
chr1	8438888	8439288
chr1	8525866	8526266
chr1	8652654	8653054
chr1	8664068	8664468
chr1	8703198	8703598
chr1	8712414	8712814
chr1	8742083	8742483
chr1	8817530	8817930
chr1	8829466	8829866
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8879102	8879502
chr1	8963055	8963455
chr1	8976892	8977292
chr1	8986198	8986598
chr1	9007662	9008062
chr1	9010950	9011350
chr1	9049152	9049552
chr1	9069570	9069970
chr1	9074999	9075399
chr1	9079138	9079538
chr1	9112910	9113310
chr1	9129030	9129430
chr1	9129436	9129836
chr1	9162766	9163166
chr1	9234476	9234876
chr1	9279131	9279531
chr1	9292616	9293016
chr1	9293376	9293776
chr1	9300122	9300522
chr1	9331042	9331442
chr1	9340852	9341252
chr1	9385404	9385804
chr1	9428816	9429216
chr1	9473077	9473477
chr1	9526078	9526478
chr1	9529163	9529563
chr1	9537863	9538263
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9689285	9689685
chr1	9770327	9770727
chr1	9804289	9804689
chr1	9804794	9805194
chr1	9815163	9815563
chr1	9823823	9824223
chr1	9825459	9825859
chr1	9825048	9825448
chr1	9835700	9836100
chr1	9843501	9843901
chr1	9873390	9873790
chr1	9900350	9900750
chr1	9901672	9902072
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	9950322	9950722
chr1	10032607	10033007
chr1	10105512	10105912
chr1	10210259	10210659
chr1	10388354	10388754
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10430524	10430924
chr1	10472398	10472798
chr1	10471928	10472328
chr1	10474704	10475104
chr1	10495149	10495549
chr1	10502204	10502604
chr1	10507444	10507844
chr1	10635453	10635853
chr1	10687344	10687744
chr1	10694620	10695020
chr1	10699955	10700355
chr1	10738204	10738604
chr1	10755911	10756311
chr1	10759461	10759861
chr1	10779209	10779609
chr1	10779838	10780238
chr1	10782385	10782785
chr1	10796493	10796893
chr1	10804342	10804742
chr1	10818665	10819065
chr1	10835889	10836289
chr1	10867072	10867472
chr1	10935271	10935671
chr1	10980077	10980477
chr1	11012139	11012539
chr1	11012883	11013283
chr1	11059932	11060332
chr1	11099679	11100079
chr1	11099203	11099603
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11273314	11273714
chr1	11478645	11479045
chr1	11654619	11655019
chr1	11663988	11664388
chr1	11680986	11681386
chr1	11680537	11680937
chr1	11721544	11721944
chr1	11730337	11730737
chr1	11787503	11787903
chr1	11788535	11788935
chr1	11805829	11806229
chr1	11806230	11806630
chr1	11908789	11909189
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11940503	11940903
chr1	11961234	11961634
chr1	11960735	11961135
chr1	11967176	11967576
chr1	11980061	11980461
chr1	12019185	12019585
chr1	12052022	12052422
chr1	12148328	12148728
chr1	12161791	12162191
chr1	12166756	12167156
chr1	12186576	12186976
chr1	12229820	12230220
chr1	12230913	12231313
chr1	12339805	12340205
chr1	12345821	12346221
chr1	12381300	12381700
chr1	12407398	12407798
chr1	12434225	12434625
chr1	12478011	12478411
chr1	12478602	12479002
chr1	12528298	12528698
chr1	12529411	12529811
chr1	12595824	12596224
chr1	12616100	12616500
chr1	12615600	12616000
chr1	13706153	13706553
chr1	13730911	13731311
chr1	13749098	13749498
chr1	13749528	13749928
chr1	13748674	13749074
chr1	13828838	13829238
chr1	13829375	13829775
chr1	13860010	13860410
chr1	13921686	13922086
chr1	14017667	14018067
chr1	14334338	14334738
chr1	14360992	14361392
chr1	14403908	14404308
chr1	14422107	14422507
chr1	14682894	14683294
chr1	14923891	14924291
chr1	14929483	14929883
chr1	15089271	15089671
chr1	15090365	15090765
chr1	15153475	15153875
chr1	15153003	15153403
chr1	15153984	15154384
chr1	15181126	15181526
chr1	15184432	15184832
chr1	15187487	15187887
chr1	15188199	15188599
chr1	15197084	15197484
chr1	15202007	15202407
chr1	15215199	15215599
chr1	15229804	15230204
chr1	15246997	15247397
chr1	15272491	15272891
chr1	15284966	15285366
chr1	15284345	15284745
chr1	15308102	15308502
chr1	15316816	15317216
chr1	15323060	15323460
chr1	15339544	15339944
chr1	15350529	15350929
chr1	15352406	15352806
chr1	15366204	15366604
chr1	15409684	15410084
chr1	15416211	15416611
chr1	15417468	15417868
chr1	15424137	15424537
chr1	15426756	15427156
chr1	15524311	15524711
chr1	15524843	15525243
chr1	15526509	15526909
chr1	15559509	15559909
chr1	15558914	15559314
chr1	15579146	15579546
