Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	903705	904105
chr1	959123	959523
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1041123	1041523
chr1	1116020	1116420
chr1	1222572	1222972
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1399245	1399645
chr1	1471501	1471901
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1658934	1659334
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1919226	1919626
chr1	2126207	2126607
chr1	2189450	2189850
chr1	2205103	2205503
chr1	2214059	2214459
chr1	2227605	2228005
chr1	2315645	2316045
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2432778	2433178
chr1	2446479	2446879
chr1	2459821	2460221
chr1	2530260	2530660
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2801550	2801950
chr1	2932909	2933309
chr1	3105444	3105844
chr1	3125675	3126075
chr1	3211992	3212392
chr1	3219178	3219578
chr1	3218754	3219154
chr1	3345777	3346177
chr1	3441350	3441750
chr1	3539952	3540352
chr1	3577320	3577720
chr1	3624670	3625070
chr1	3649926	3650326
chr1	3747229	3747629
chr1	3796350	3796750
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4397287	4397687
chr1	4585204	4585604
chr1	5745095	5745495
chr1	5910118	5910518
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6199456	6199856
chr1	6235789	6236189
chr1	6351612	6352012
chr1	6448556	6448956
chr1	6519988	6520388
chr1	6579729	6580129
chr1	6587185	6587585
chr1	6602781	6603181
chr1	6613371	6613771
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6922613	6923013
chr1	7704452	7704852
chr1	7783925	7784325
chr1	7942769	7943169
chr1	7961376	7961776
chr1	8026172	8026572
chr1	8301965	8302365
chr1	8314318	8314718
chr1	8370493	8370893
chr1	8448873	8449273
chr1	8721695	8722095
chr1	8817516	8817916
chr1	8878566	8878966
chr1	8889940	8890340
chr1	8943537	8943937
chr1	9068979	9069379
chr1	9150849	9151249
chr1	9234024	9234424
chr1	9428798	9429198
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9823910	9824310
chr1	9823497	9823897
chr1	9842815	9843215
chr1	9852449	9852849
chr1	9910340	9910740
chr1	9943211	9943611
chr1	9950335	9950735
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10210279	10210679
chr1	10267409	10267809
chr1	10295463	10295863
chr1	10398739	10399139
chr1	10663622	10664022
chr1	10751605	10752005
chr1	10835874	10836274
chr1	10980121	10980521
chr1	11052788	11053188
chr1	11059906	11060306
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11321855	11322255
chr1	11355528	11355928
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11680995	11681395
chr1	11701548	11701948
chr1	11805894	11806294
chr1	11934447	11934847
chr1	11980065	11980465
chr1	12019183	12019583
chr1	12036696	12037096
chr1	12124781	12125181
chr1	12184259	12184659
chr1	12208838	12209238
chr1	12460885	12461285
chr1	12478212	12478612
chr1	12571384	12571784
chr1	12618173	12618573
chr1	13543910	13544310
chr1	14181360	14181760
chr1	14895170	14895570
chr1	15272470	15272870
chr1	15371136	15371536
chr1	15524173	15524573
chr1	15526481	15526881
chr1	15603462	15603862
chr1	15617135	15617535
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15836192	15836592
chr1	15847453	15847853
chr1	15886291	15886691
chr1	16056051	16056451
chr1	16174862	16175262
chr1	16189846	16190246
chr1	16206483	16206883
chr1	16237027	16237427
chr1	16248779	16249179
chr1	16352308	16352708
chr1	16366909	16367309
chr1	16440459	16440859
chr1	16499082	16499482
chr1	16513928	16514328
chr1	16602856	16603256
chr1	16613406	16613806
chr1	16633101	16633501
chr1	16644525	16644925
chr1	16710833	16711233
chr1	16889338	16889738
chr1	16904723	16905123
chr1	16913793	16914193
chr1	16914258	16914658
chr1	17011769	17012169
chr1	17053975	17054375
chr1	17419829	17420229
chr1	17531770	17532170
chr1	17739094	17739494
chr1	18326196	18326596
chr1	18480691	18481091
chr1	18902685	18903085
chr1	18956612	18957012
chr1	19067041	19067441
chr1	19210151	19210551
chr1	19251352	19251752
chr1	19312005	19312405
chr1	19405776	19406176
chr1	19415818	19416218
chr1	19485440	19485840
chr1	19596764	19597164
chr1	20224589	20224989
chr1	20233867	20234267
chr1	20265203	20265603
chr1	20291686	20292086
chr1	20343672	20344072
chr1	20410525	20410925
chr1	20410104	20410504
chr1	20493791	20494191
chr1	20603387	20603787
chr1	20633786	20634186
chr1	20661347	20661747
chr1	20696380	20696780
chr1	20786626	20787026
chr1	20940065	20940465
chr1	21046502	21046902
chr1	21238502	21238902
chr1	21345374	21345774
chr1	21361457	21361857
chr1	21404507	21404907
chr1	21439890	21440290
chr1	21782997	21783397
chr1	21783447	21783847
chr1	21838049	21838449
chr1	22014865	22015265
chr1	22052433	22052833
chr1	22451625	22452025
chr1	22830049	22830449
chr1	22875223	22875623
chr1	23019200	23019600
chr1	23250184	23250584
chr1	23344243	23344643
chr1	23344784	23345184
chr1	23368186	23368586
chr1	23368715	23369115
chr1	23531229	23531629
chr1	23562304	23562704
chr1	23691544	23691944
chr1	23800672	23801072
chr1	23868161	23868561
chr1	24642938	24643338
chr1	24714848	24715248
chr1	24745017	24745417
chr1	25239913	25240313
chr1	25247356	25247756
chr1	25338130	25338530
chr1	25430570	25430970
chr1	25543368	25543768
chr1	25616445	25616845
chr1	25615989	25616389
chr1	25819736	25820136
chr1	25875364	25875764
chr1	25905327	25905727
chr1	25906297	25906697
chr1	25998011	25998411
chr1	26035268	26035668
chr1	26111548	26111948
chr1	26233903	26234303
chr1	26279821	26280221
chr1	26280224	26280624
chr1	26306492	26306892
chr1	26417013	26417413
chr1	26429746	26430146
chr1	26500848	26501248
chr1	26620332	26620732
chr1	26672434	26672834
chr1	26723413	26723813
chr1	26826459	26826859
chr1	26864982	26865382
chr1	26890074	26890474
chr1	26921457	26921857
chr1	27087515	27087915
chr1	27087982	27088382
chr1	27154960	27155360
chr1	27234259	27234659
chr1	27366364	27366764
chr1	27392327	27392727
chr1	27490010	27490410
chr1	27536724	27537124
chr1	27603996	27604396
chr1	27603527	27603927
chr1	27672043	27672443
chr1	27725600	27726000
chr1	27772930	27773330
chr1	27914543	27914943
chr1	27931631	27932031
chr1	28088524	28088924
chr1	28163757	28164157
chr1	28235866	28236266
chr1	28247115	28247515
chr1	28259239	28259639
chr1	28328758	28329158
chr1	28369475	28369875
chr1	28505723	28506123
chr1	28552785	28553185
chr1	28581741	28582141
chr1	28642923	28643323
chr1	28648463	28648863
chr1	28736645	28737045
chr1	28756789	28757189
chr1	28835361	28835761
chr1	28914259	28914659
chr1	29124536	29124936
chr1	29181810	29182210
chr1	29181285	29181685
chr1	29230780	29231180
chr1	29236264	29236664
chr1	29964654	29965054
chr1	30718080	30718480
chr1	30718494	30718894
chr1	30824387	30824787
chr1	30871995	30872395
chr1	31065574	31065974
chr1	31170816	31171216
chr1	31296741	31297141
chr1	31373545	31373945
chr1	31715098	31715498
chr1	31746692	31747092
chr1	31788457	31788857
chr1	31842929	31843329
chr1	31938249	31938649
chr1	32013513	32013913
chr1	32062519	32062919
chr1	32073037	32073437
chr1	32072629	32073029
chr1	32200572	32200972
chr1	32200139	32200539
chr1	32291808	32292208
chr1	32336057	32336457
chr1	32394314	32394714
chr1	32400815	32401215
chr1	32464721	32465121
chr1	32650870	32651270
chr1	32702589	32702989
chr1	32753711	32754111
chr1	32817273	32817673
chr1	32964710	32965110
chr1	33036756	33037156
chr1	33080888	33081288
chr1	33180711	33181111
chr1	33255880	33256280
chr1	33295443	33295843
chr1	33430914	33431314
chr1	33472306	33472706
chr1	34057316	34057716
chr1	34144806	34145206
chr1	34166784	34167184
chr1	34597879	34598279
chr1	35031541	35031941
chr1	35193048	35193448
chr1	35191922	35192322
chr1	35192417	35192817
chr1	35370263	35370663
chr1	35557532	35557932
chr1	35610315	35610715
chr1	35718679	35719079
chr1	35769837	35770237
chr1	35882944	35883344
chr1	36083880	36084280
chr1	36149389	36149789
chr1	36203547	36203947
chr1	36224090	36224490
chr1	36359395	36359795
chr1	36385861	36386261
chr1	36385393	36385793
chr1	36450333	36450733
chr1	36464212	36464612
chr1	36764745	36765145
chr1	36804160	36804560
chr1	37234876	37235276
chr1	37474287	37474687
chr1	37556724	37557124
chr1	37595806	37596206
chr1	37692154	37692554
chr1	37859472	37859872
chr1	37931647	37932047
chr1	38012442	38012842
chr1	38029237	38029637
chr1	38046701	38047101
chr1	38418440	38418840
chr1	38614040	38614440
chr1	38728174	38728574
chr1	38818137	38818537
chr1	38859648	38860048
chr1	38873241	38873641
chr1	38929473	38929873
chr1	38991008	38991408
chr1	39047606	39048006
chr1	39133963	39134363
chr1	39267116	39267516
chr1	39408600	39409000
chr1	39438071	39438471
chr1	39576674	39577074
chr1	39660170	39660570
chr1	39701809	39702209
chr1	39701401	39701801
chr1	39738646	39739046
chr1	39799649	39800049
chr1	39901859	39902259
chr1	40040405	40040805
chr1	40161124	40161524
chr1	40257857	40258257
chr1	40315272	40315672
chr1	40477063	40477463
chr1	40691934	40692334
chr1	40691437	40691837
chr1	40862259	40862659
chr1	40979463	40979863
chr1	41360930	41361330
chr1	41366067	41366467
chr1	41395255	41395655
chr1	41454368	41454768
chr1	41455834	41456234
chr1	41462023	41462423
chr1	41474570	41474970
chr1	41689636	41690036
chr1	42177512	42177912
chr1	42335086	42335486
chr1	42462969	42463369
chr1	42658150	42658550
chr1	42682114	42682514
chr1	42766942	42767342
chr1	42766535	42766935
chr1	42817183	42817583
chr1	42830361	42830761
chr1	42958756	42959156
chr1	43049837	43050237
chr1	43147582	43147982
chr1	43358672	43359072
chr1	43367916	43368316
chr1	43649835	43650235
chr1	43650237	43650637
chr1	43707251	43707651
chr1	44005647	44006047
chr1	44030065	44030465
chr1	44036526	44036926
chr1	44355123	44355523
chr1	44674375	44674775
chr1	44731212	44731612
chr1	44739536	44739936
chr1	44775336	44775736
chr1	44800041	44800441
chr1	44813670	44814070
chr1	44843161	44843561
chr1	44986444	44986844
chr1	45011938	45012338
chr1	45326650	45327050
chr1	45340282	45340682
chr1	45491062	45491462
chr1	45490633	45491033
chr1	45499948	45500348
chr1	45521790	45522190
chr1	45550588	45550988
chr1	46132824	46133224
chr1	46132413	46132813
chr1	46333521	46333921
chr1	46340524	46340924
chr1	46668286	46668686
chr1	46667861	46668261
chr1	46691159	46691559
chr1	46719017	46719417
chr1	47314105	47314505
chr1	47572667	47573067
chr1	47580383	47580783
chr1	47827079	47827479
chr1	47895898	47896298
chr1	47996703	47997103
chr1	48019811	48020211
chr1	48025097	48025497
chr1	48472082	48472482
chr1	48572658	48573058
chr1	48610931	48611331
chr1	48715860	48716260
chr1	49640120	49640520
chr1	50197213	50197613
chr1	50252206	50252606
chr1	50332963	50333363
chr1	50333528	50333928
chr1	50423313	50423713
chr1	50968409	50968809
chr1	51236059	51236459
chr1	51421984	51422384
chr1	51451836	51452236
chr1	51583548	51583948
chr1	51878666	51879066
chr1	52033591	52033991
chr1	52033171	52033571
chr1	52056026	52056426
chr1	52141848	52142248
chr1	52333394	52333794
chr1	52366213	52366613
chr1	52404325	52404725
chr1	52447786	52448186
chr1	52553319	52553719
chr1	52552912	52553312
chr1	52553783	52554183
chr1	52686174	52686574
chr1	52726254	52726654
chr1	53125548	53125948
chr1	53196575	53196975
chr1	53288350	53288750
chr1	53462806	53463206
chr1	53838403	53838803
chr1	53862401	53862801
chr1	53889652	53890052
chr1	53945752	53946152
chr1	54053296	54053696
chr1	54121556	54121956
chr1	54199937	54200337
chr1	54350325	54350725
chr1	54406263	54406663
chr1	54416498	54416898
chr1	54461802	54462202
chr1	54542008	54542408
chr1	54581635	54582035
chr1	54764433	54764833
chr1	54810452	54810852
chr1	54887071	54887471
chr1	55507548	55507948
chr1	56435755	56436155
chr1	56550807	56551207
chr1	56557755	56558155
chr1	56579222	56579622
chr1	56645104	56645504
chr1	56849830	56850230
chr1	57055943	57056343
chr1	57270960	57271360
chr1	57271379	57271779
chr1	57293214	57293614
chr1	58030997	58031397
chr1	58432787	58433187
chr1	58546613	58547013
chr1	58652556	58652956
chr1	58699920	58700320
chr1	58783935	58784335
chr1	58784444	58784844
chr1	58874806	58875206
chr1	58903581	58903981
chr1	59296700	59297100
chr1	59446564	59446964
chr1	59715019	59715419
chr1	60547705	60548105
chr1	60564847	60565247
chr1	60789481	60789881
chr1	61042923	61043323
chr1	61043399	61043799
chr1	61050456	61050856
chr1	61184115	61184515
chr1	61453049	61453449
chr1	61452617	61453017
chr1	61647060	61647460
chr1	62272801	62273201
chr1	62436373	62436773
chr1	62436820	62437220
chr1	62688203	62688603
chr1	62783897	62784297
chr1	62783324	62783724
chr1	62963175	62963575
chr1	62978033	62978433
chr1	63009394	63009794
chr1	63367356	63367756
chr1	63804400	63804800
chr1	64363103	64363503
chr1	64469956	64470356
chr1	64502994	64503394
chr1	64556557	64556957
chr1	64631434	64631834
chr1	64663703	64664103
chr1	64966376	64966776
chr1	65002504	65002904
chr1	65174553	65174953
chr1	65265572	65265972
chr1	65265011	65265411
chr1	65420183	65420583
chr1	65420630	65421030
chr1	65844287	65844687
chr1	66277278	66277678
chr1	66388918	66389318
chr1	66924729	66925129
chr1	66929974	66930374
chr1	66953605	66954005
chr1	67019745	67020145
chr1	67054222	67054622
chr1	67267047	67267447
chr1	67430257	67430657
chr1	67430658	67431058
chr1	67537301	67537701
chr1	67685008	67685408
chr1	67833281	67833681
chr1	68111781	68112181
chr1	68120564	68120964
chr1	68140994	68141394
chr1	68384385	68384785
chr1	68496967	68497367
chr1	69291557	69291957
chr1	69567679	69568079
chr1	70163978	70164378
chr1	70205446	70205846
chr1	70316135	70316535
chr1	70354568	70354968
chr1	70410957	70411357
chr1	70809528	70809928
chr1	71081114	71081514
chr1	72282728	72283128
chr1	72650077	72650477
chr1	72847639	72848039
chr1	73517758	73518158
chr1	73674010	73674410
chr1	74198003	74198403
chr1	74363213	74363613
chr1	74380199	74380599
chr1	74506319	74506719
chr1	74732935	74733335
chr1	75265699	75266099
chr1	75785980	75786380
chr1	75832511	75832911
chr1	76074456	76074856
chr1	76390438	76390838
chr1	77490003	77490403
chr1	77759684	77760084
chr1	77817307	77817707
chr1	77978987	77979387
chr1	78004661	78005061
chr1	78234580	78234980
chr1	78490844	78491244
chr1	78676362	78676762
chr1	78800419	78800819
chr1	81425066	81425466
chr1	81629642	81630042
chr1	81885303	81885703
chr1	81936809	81937209
chr1	82105683	82106083
chr1	82565567	82565967
chr1	82750412	82750812
chr1	83249286	83249686
chr1	83482645	83483045
chr1	83574847	83575247
chr1	83799565	83799965
chr1	83800139	83800539
chr1	84077803	84078203
chr1	84298316	84298716
chr1	84506068	84506468
chr1	84525836	84526236
chr1	84574240	84574640
chr1	84720254	84720654
chr1	84753510	84753910
chr1	84759191	84759591
chr1	84774643	84775043
chr1	85062043	85062443
chr1	85137619	85138019
chr1	85276485	85276885
chr1	85316306	85316706
chr1	85388386	85388786
chr1	85407162	85407562
chr1	85464999	85465399
chr1	85576894	85577294
chr1	85580531	85580931
chr1	85708266	85708666
chr1	86195298	86195698
chr1	86396162	86396562
chr1	86914263	86914663
chr1	86914718	86915118
chr1	87154406	87154806
chr1	87168292	87168692
chr1	87240849	87241249
chr1	87328265	87328665
chr1	87560615	87561015
chr1	88180504	88180904
chr1	88683966	88684366
chr1	88684794	88685194
chr1	88684379	88684779
chr1	88992755	88993155
chr1	88992332	88992732
chr1	89285134	89285534
chr1	89433370	89433770
chr1	89499385	89499785
chr1	89524620	89525020
chr1	89599024	89599424
chr1	89632799	89633199
chr1	89633321	89633721
chr1	89762950	89763350
chr1	89820754	89821154
chr1	89994886	89995286
chr1	90762685	90763085
chr1	90851456	90851856
chr1	91021878	91022278
chr1	91139416	91139816
chr1	91404280	91404680
chr1	91500631	91501031
chr1	91501203	91501603
chr1	91846026	91846426
chr1	92030176	92030576
chr1	92298794	92299194
chr1	92692185	92692585
chr1	92784989	92785389
chr1	92831791	92832191
chr1	93079035	93079435
chr1	93086728	93087128
chr1	93159801	93160201
chr1	93180337	93180737
chr1	93345654	93346054
chr1	93597692	93598092
chr1	93635692	93636092
chr1	93847371	93847771
chr1	93846953	93847353
chr1	93879032	93879432
chr1	93909377	93909777
chr1	94095322	94095722
chr1	94418134	94418534
chr1	94496307	94496707
chr1	94541726	94542126
chr1	94592316	94592716
chr1	94591842	94592242
chr1	94854383	94854783
chr1	94926932	94927332
chr1	94925655	94926055
chr1	95816745	95817145
chr1	96081556	96081956
chr1	96217512	96217912
chr1	97145326	97145726
chr1	97500772	97501172
chr1	97920887	97921287
chr1	97920465	97920865
chr1	98133137	98133537
chr1	98132617	98133017
chr1	98388443	98388843
chr1	98558065	98558465
chr1	98661450	98661850
chr1	99180892	99181292
chr1	99252689	99253089
chr1	99279436	99279836
chr1	99737008	99737408
chr1	99849870	99850270
chr1	99970324	99970724
chr1	100037863	100038263
chr1	100049557	100049957
chr1	100132837	100133237
chr1	100249705	100250105
chr1	100352120	100352520
chr1	100362884	100363284
chr1	100388858	100389258
chr1	100709278	100709678
chr1	100785603	100786003
chr1	101069259	101069659
chr1	101204056	101204456
chr1	101236152	101236552
chr1	101774977	101775377
chr1	101806662	101807062
chr1	102466991	102467391
chr1	102586210	102586610
chr1	103064536	103064936
chr1	103108440	103108840
chr1	103109237	103109637
chr1	106559069	106559469
chr1	107153701	107154101
chr1	107670051	107670451
chr1	107867427	107867827
chr1	108200146	108200546
chr1	108746411	108746811
chr1	108746813	108747213
chr1	108816341	108816741
chr1	108876734	108877134
chr1	108963292	108963692
chr1	108973021	108973421
chr1	109041932	109042332
chr1	109075834	109076234
chr1	109083868	109084268
chr1	109083451	109083851
chr1	109090503	109090903
chr1	109099903	109100303
chr1	109112626	109113026
chr1	109253441	109253841
chr1	109283019	109283419
chr1	109337199	109337599
chr1	109397850	109398250
chr1	109426323	109426723
chr1	109620833	109621233
chr1	109632616	109633016
chr1	109667797	109668197
chr1	109668199	109668599
chr1	109740162	109740562
chr1	109770802	109771202
chr1	109877806	109878206
chr1	109984496	109984896
chr1	110034379	110034779
chr1	110053802	110054202
chr1	110136878	110137278
chr1	110161854	110162254
chr1	110249257	110249657
chr1	110255407	110255807
chr1	110339088	110339488
chr1	110338683	110339083
chr1	110581706	110582106
chr1	110606307	110606707
chr1	110674817	110675217
chr1	110674323	110674723
chr1	110706606	110707006
chr1	110827287	110827687
chr1	110963825	110964225
chr1	111139957	111140357
chr1	111139526	111139926
chr1	111222856	111223256
chr1	111449126	111449526
chr1	111507704	111508104
chr1	111619546	111619946
chr1	111739277	111739677
chr1	111755442	111755842
chr1	111755967	111756367
chr1	111819307	111819707
chr1	111856763	111857163
chr1	111909047	111909447
chr1	111963985	111964385
chr1	112395961	112396361
chr1	112619578	112619978
chr1	112880933	112881333
chr1	112956092	112956492
chr1	113072919	113073319
chr1	113095859	113096259
chr1	113390154	113390554
chr1	113812225	113812625
chr1	113904966	113905366
chr1	113904485	113904885
chr1	113929324	113929724
chr1	114511050	114511450
chr1	114544283	114544683
chr1	114716610	114717010
chr1	114757856	114758256
chr1	114979281	114979681
chr1	115677173	115677573
chr1	115975968	115976368
chr1	116151998	116152398
chr1	116372948	116373348
chr1	116570861	116571261
chr1	116570281	116570681
chr1	116697122	116697522
chr1	116909837	116910237
chr1	117060004	117060404
chr1	117121649	117122049
chr1	117122366	117122766
chr1	117367177	117367577
chr1	117605718	117606118
chr1	117929502	117929902
chr1	119139881	119140281
chr1	119146855	119147255
chr1	119648119	119648519
chr1	119712118	119712518
chr1	120015084	120015484
chr1	120340760	120341160
chr1	121519425	121519825
chr1	143424556	143424956
chr1	143729291	143729691
chr1	143728749	143729149
chr1	143904630	143905030
chr1	143972085	143972485
chr1	145607750	145608150
chr1	145823865	145824265
chr1	145858899	145859299
chr1	145859658	145860058
chr1	145891850	145892250
chr1	145918511	145918911
chr1	145957875	145958275
chr1	145996484	145996884
chr1	146035472	146035872
chr1	146174431	146174831
chr1	146228863	146229263
chr1	147242900	147243300
chr1	147599574	147599974
chr1	147670411	147670811
chr1	148748836	148749236
chr1	148844191	148844591
chr1	148869531	148869931
chr1	148952204	148952604
chr1	149042972	149043372
chr1	149792419	149792819
chr1	149886558	149886958
chr1	149899360	149899760
chr1	150163117	150163517
chr1	150162712	150163112
chr1	150182250	150182650
chr1	150235949	150236349
chr1	150236362	150236762
chr1	150268882	150269282
chr1	150282202	150282602
chr1	150321283	150321683
chr1	150363843	150364243
chr1	150487144	150487544
chr1	150515458	150515858
chr1	150549927	150550327
chr1	150561236	150561636
chr1	150568166	150568566
chr1	150579500	150579900
chr1	150629476	150629876
chr1	150629052	150629452
chr1	150650248	150650648
chr1	150697125	150697525
chr1	150876562	150876962
chr1	150926061	150926461
chr1	151047589	151047989
chr1	151059447	151059847
chr1	151070955	151071355
chr1	151070302	151070702
chr1	151131223	151131623
chr1	151146537	151146937
chr1	151165782	151166182
chr1	151198279	151198679
chr1	151281922	151282322
chr1	151281257	151281657
chr1	151300915	151301315
chr1	151327520	151327920
chr1	151347135	151347535
chr1	151347561	151347961
chr1	151399278	151399678
chr1	151459321	151459721
chr1	151511120	151511520
chr1	151611750	151612150
chr1	151657856	151658256
chr1	151790374	151790774
chr1	151909341	151909741
chr1	153633760	153634160
chr1	153670872	153671272
chr1	153727669	153728069
chr1	153880955	153881355
chr1	153881745	153882145
chr1	153922894	153923294
chr1	153923309	153923709
chr1	153958468	153958868
chr1	153963432	153963832
chr1	153967565	153967965
chr1	153977490	153977890
chr1	153990491	153990891
chr1	154204155	154204555
chr1	154220536	154220936
chr1	154558711	154559111
chr1	154574687	154575087
chr1	154608023	154608423
chr1	154711955	154712355
chr1	154744356	154744756
chr1	154856115	154856515
chr1	154870198	154870598
chr1	154974340	154974740
chr1	154974740	154975140
chr1	155135598	155135998
chr1	155194632	155195032
chr1	155227410	155227810
chr1	155227812	155228212
chr1	155244542	155244942
chr1	155255313	155255713
chr1	155277142	155277542
chr1	155308531	155308931
chr1	155324241	155324641
chr1	155392974	155393374
chr1	155481652	155482052
chr1	155562727	155563127
chr1	155609901	155610301
chr1	155688557	155688957
chr1	155745462	155745862
chr1	155859237	155859637
chr1	155860024	155860424
chr1	155860425	155860825
chr1	155872428	155872828
chr1	155911205	155911605
chr1	155934272	155934672
chr1	156054539	156054939
chr1	156082313	156082713
chr1	156193784	156194184
chr1	156212759	156213159
chr1	156247957	156248357
chr1	156282692	156283092
chr1	156338241	156338641
chr1	156390457	156390857
chr1	156412942	156413342
chr1	156429267	156429667
chr1	156430194	156430594
chr1	156456538	156456938
chr1	156500716	156501116
chr1	156705903	156706303
chr1	156741057	156741457
chr1	156741458	156741858
chr1	156751640	156752040
chr1	156767182	156767582
chr1	156838929	156839329
chr1	157007231	157007631
chr1	157421708	157422108
chr1	157544071	157544471
chr1	157986518	157986918
chr1	158099245	158099645
chr1	159171352	159171752
chr1	159780662	159781062
chr1	159855918	159856318
chr1	159891542	159891942
chr1	159925349	159925749
chr1	159941605	159942005
chr1	159945497	159945897
chr1	159945916	159946316
chr1	160062234	160062634
chr1	160068288	160068688
chr1	160067878	160068278
chr1	160085606	160086006
chr1	160117900	160118300
chr1	160169431	160169831
chr1	160211003	160211403
chr1	160210544	160210944
chr1	160307235	160307635
chr1	160343120	160343520
chr1	160400226	160400626
chr1	160411347	160411747
chr1	161132580	161132980
chr1	161132136	161132536
chr1	161133009	161133409
chr1	161159255	161159655
chr1	161166127	161166527
chr1	161202089	161202489
chr1	161225737	161226137
chr1	161390019	161390419
chr1	161389573	161389973
chr1	161399569	161399969
chr1	161532867	161533267
chr1	161612347	161612747
chr1	161741439	161741839
chr1	161749532	161749932
chr1	161766067	161766467
chr1	162062525	162062925
chr1	162069482	162069882
chr1	162145368	162145768
chr1	162248884	162249284
chr1	162256303	162256703
chr1	162561261	162561661
chr1	162561713	162562113
chr1	162632168	162632568
chr1	162790308	162790708
chr1	162821368	162821768
chr1	163069126	163069526
chr1	163321661	163322061
chr1	163399982	163400382
chr1	164558733	164559133
chr1	164619200	164619600
chr1	164635802	164636202
chr1	164801141	164801541
chr1	164801556	164801956
chr1	165119083	165119483
chr1	165376446	165376846
chr1	165392945	165393345
chr1	165598066	165598466
chr1	165630978	165631378
chr1	165698405	165698805
chr1	166532917	166533317
chr1	166839169	166839569
chr1	166876214	166876614
chr1	166947485	166947885
chr1	167220496	167220896
chr1	167219915	167220315
chr1	167329200	167329600
chr1	167553616	167554016
chr1	167715359	167715759
chr1	167721722	167722122
chr1	167820134	167820534
chr1	167936007	167936407
chr1	167936416	167936816
chr1	168178730	168179130
chr1	168225794	168226194
chr1	168737406	168737806
chr1	169039548	169039948
chr1	169106067	169106467
chr1	169367672	169368072
chr1	169485836	169486236
chr1	169586289	169586689
chr1	169869424	169869824
chr1	169868982	169869382
chr1	169881547	169881947
chr1	170074499	170074899
chr1	170495580	170495980
chr1	170531901	170532301
chr1	171081939	171082339
chr1	171142912	171143312
chr1	171485261	171485661
chr1	171698710	171699110
chr1	171781242	171781642
chr1	171841256	171841656
chr1	171898944	171899344
chr1	172359028	172359428
chr1	172451002	172451402
chr1	172532705	172533105
chr1	172532291	172532691
chr1	173476927	173477327
chr1	173476521	173476921
chr1	173507156	173507556
chr1	173824339	173824739
chr1	173867879	173868279
chr1	173867463	173867863
chr1	174022228	174022628
