Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	923618	924018
chr1	959123	959523
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1145089	1145489
chr1	1158168	1158568
chr1	1159393	1159793
chr1	1185182	1185582
chr1	1201390	1201790
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1358538	1358938
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1421191	1421591
chr1	1432558	1432958
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1605178	1605578
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1753361	1753761
chr1	1759657	1760057
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	2025604	2026004
chr1	2034884	2035284
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2098312	2098712
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2257285	2257685
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2300337	2300737
chr1	2312785	2313185
chr1	2322157	2322557
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2336069	2336469
chr1	2335627	2336027
chr1	2378358	2378758
chr1	2381713	2382113
chr1	2384996	2385396
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2468015	2468415
chr1	2475033	2475433
chr1	2501233	2501633
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2786611	2787011
chr1	2801550	2801950
chr1	2969843	2970243
chr1	2985264	2985664
chr1	2984817	2985217
chr1	2987822	2988222
chr1	3069575	3069975
chr1	3231783	3232183
chr1	3313615	3314015
chr1	3328175	3328575
chr1	3333940	3334340
chr1	3410526	3410926
chr1	3458149	3458549
chr1	3491213	3491613
chr1	3492227	3492627
chr1	3519111	3519511
chr1	3529295	3529695
chr1	3538253	3538653
chr1	3539952	3540352
chr1	3577320	3577720
chr1	3578012	3578412
chr1	3611516	3611916
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3674129	3674529
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3735288	3735688
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3754470	3754870
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3863547	3863947
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3978932	3979332
chr1	4512592	4512992
chr1	4656256	4656656
chr1	4796370	4796770
chr1	4810679	4811079
chr1	4959289	4959689
chr1	5297262	5297662
chr1	5509852	5510252
chr1	5514546	5514946
chr1	5571414	5571814
chr1	5745783	5746183
chr1	5811459	5811859
chr1	5828205	5828605
chr1	5889821	5890221
chr1	5980444	5980844
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6058577	6058977
chr1	6128335	6128735
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6260903	6261303
chr1	6265171	6265571
chr1	6270027	6270427
chr1	6276388	6276788
chr1	6299789	6300189
chr1	6330327	6330727
chr1	6330758	6331158
chr1	6345045	6345445
chr1	6353874	6354274
chr1	6384947	6385347
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6404647	6405047
chr1	6448556	6448956
chr1	6455141	6455541
chr1	6486438	6486838
chr1	6501877	6502277
chr1	6508540	6508940
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6555132	6555532
chr1	6579729	6580129
chr1	6587185	6587585
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6628002	6628402
chr1	6638196	6638596
chr1	6701697	6702097
chr1	6735364	6735764
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7013878	7014278
chr1	7291270	7291670
chr1	7299259	7299659
chr1	7501143	7501543
chr1	7667531	7667931
chr1	7680260	7680660
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7752811	7753211
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7982272	7982672
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8078405	8078805
chr1	8092595	8092995
chr1	8137853	8138253
chr1	8169724	8170124
chr1	8222804	8223204
