Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	876789	877189
chr1	904556	904956
chr1	910451	910851
chr1	921026	921426
chr1	923618	924018
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	999961	1000361
chr1	1000669	1001069
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1158841	1159241
chr1	1173670	1174070
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238521	1238921
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1291818	1292218
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1334887	1335287
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1419991	1420391
chr1	1426913	1427313
chr1	1425880	1426280
chr1	1426434	1426834
chr1	1440865	1441265
chr1	1441519	1441919
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1758752	1759152
chr1	1758338	1758738
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1859175	1859575
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2083483	2083883
chr1	2095930	2096330
chr1	2127302	2127702
chr1	2128290	2128690
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2227605	2228005
chr1	2271944	2272344
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2336069	2336469
chr1	2342195	2342595
chr1	2360936	2361336
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2446479	2446879
chr1	2526086	2526486
chr1	2530260	2530660
chr1	2543436	2543836
chr1	2546010	2546410
chr1	2555593	2555993
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2607111	2607511
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772312	2772712
chr1	2821904	2822304
chr1	2855740	2856140
chr1	2882909	2883309
chr1	2969843	2970243
chr1	2985264	2985664
chr1	2987822	2988222
chr1	3012471	3012871
chr1	3068962	3069362
chr1	3068528	3068928
chr1	3074204	3074604
chr1	3105444	3105844
chr1	3105876	3106276
chr1	3134742	3135142
chr1	3134332	3134732
chr1	3137064	3137464
chr1	3161399	3161799
chr1	3160949	3161349
chr1	3170498	3170898
chr1	3198864	3199264
chr1	3219178	3219578
chr1	3218754	3219154
chr1	3240913	3241313
chr1	3266095	3266495
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3323654	3324054
chr1	3366056	3366456
chr1	3380480	3380880
chr1	3393443	3393843
chr1	3394021	3394421
chr1	3392991	3393391
chr1	3423382	3423782
chr1	3453096	3453496
chr1	3453792	3454192
chr1	3473576	3473976
chr1	3483832	3484232
chr1	3516222	3516622
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3548184	3548584
chr1	3567925	3568325
chr1	3570570	3570970
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3811308	3811708
chr1	3821052	3821452
chr1	3846525	3846925
chr1	3847090	3847490
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3911312	3911712
chr1	3940398	3940798
chr1	4360819	4361219
chr1	4397287	4397687
chr1	4512592	4512992
chr1	4656256	4656656
chr1	4710670	4711070
chr1	4736262	4736662
chr1	4935793	4936193
chr1	4937270	4937670
chr1	5231494	5231894
chr1	5239739	5240139
chr1	5311588	5311988
chr1	5311995	5312395
chr1	5447722	5448122
chr1	5620981	5621381
chr1	5745783	5746183
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5847291	5847691
chr1	5975153	5975553
chr1	5980444	5980844
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6003795	6004195
chr1	6026063	6026463
chr1	6052435	6052835
chr1	6052872	6053272
chr1	6058577	6058977
chr1	6084005	6084405
chr1	6082503	6082903
chr1	6127691	6128091
chr1	6148649	6149049
chr1	6171554	6171954
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6260903	6261303
chr1	6276388	6276788
chr1	6287441	6287841
chr1	6329393	6329793
chr1	6335856	6336256
chr1	6343478	6343878
chr1	6384947	6385347
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6475484	6475884
chr1	6490418	6490818
chr1	6497309	6497709
chr1	6511650	6512050
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6553784	6554184
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
