Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	904556	904956
chr1	921026	921426
chr1	940172	940572
chr1	959123	959523
chr1	960370	960770
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1135415	1135815
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2018922	2019322
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2091601	2092001
chr1	2133092	2133492
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2230738	2231138
chr1	2238915	2239315
chr1	2238450	2238850
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2304910	2305310
chr1	2305357	2305757
chr1	2312785	2313185
chr1	2330341	2330741
chr1	2336069	2336469
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2438029	2438429
chr1	2437620	2438020
chr1	2452211	2452611
chr1	2452658	2453058
chr1	2466811	2467211
chr1	2467212	2467612
chr1	2470498	2470898
chr1	2470917	2471317
chr1	2480991	2481391
chr1	2504656	2505056
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2532836	2533236
chr1	2543436	2543836
chr1	2548683	2549083
chr1	2548004	2548404
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2874525	2874925
chr1	2969843	2970243
chr1	2973577	2973977
chr1	2987822	2988222
chr1	2988230	2988630
chr1	3012471	3012871
chr1	3069575	3069975
chr1	3078680	3079080
chr1	3105444	3105844
chr1	3105876	3106276
chr1	3125675	3126075
chr1	3135373	3135773
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3190405	3190805
chr1	3198864	3199264
chr1	3198276	3198676
chr1	3204699	3205099
chr1	3212954	3213354
chr1	3219178	3219578
chr1	3218754	3219154
chr1	3226907	3227307
chr1	3275064	3275464
chr1	3283964	3284364
chr1	3313615	3314015
chr1	3319910	3320310
chr1	3323137	3323537
chr1	3333940	3334340
chr1	3350447	3350847
chr1	3352427	3352827
chr1	3352896	3353296
chr1	3359616	3360016
chr1	3360033	3360433
chr1	3410103	3410503
chr1	3424688	3425088
chr1	3440416	3440816
chr1	3453096	3453496
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3517466	3517866
chr1	3529295	3529695
chr1	3529933	3530333
chr1	3577320	3577720
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3607645	3608045
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3697828	3698228
chr1	3719256	3719656
chr1	3747229	3747629
chr1	3747828	3748228
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3772849	3773249
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3821052	3821452
chr1	3821452	3821852
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3892729	3893129
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3911312	3911712
chr1	4071646	4072046
chr1	4083129	4083529
chr1	4108742	4109142
chr1	4171449	4171849
chr1	4170974	4171374
chr1	4253943	4254343
chr1	4306785	4307185
chr1	4397287	4397687
chr1	4398067	4398467
chr1	4421596	4421996
chr1	4611582	4611982
chr1	4654384	4654784
chr1	4658242	4658642
chr1	4700808	4701208
chr1	4710177	4710577
chr1	5220761	5221161
chr1	5231919	5232319
chr1	5231494	5231894
chr1	5385194	5385594
chr1	5431937	5432337
chr1	5444341	5444741
chr1	5509852	5510252
chr1	5514546	5514946
chr1	5745783	5746183
chr1	5745095	5745495
chr1	5771363	5771763
chr1	5896646	5897046
chr1	5975153	5975553
chr1	5985088	5985488
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6003795	6004195
chr1	6033989	6034389
chr1	6034441	6034841
chr1	6052872	6053272
chr1	6058577	6058977
