Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	794897	795297
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	940125	940525
chr1	941634	942034
chr1	959124	959524
chr1	966800	967200
chr1	984123	984523
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1182013	1182413
chr1	1201378	1201778
chr1	1212856	1213256
chr1	1213536	1213936
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1261136	1261536
chr1	1273712	1274112
chr1	1298859	1299259
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1390656	1391056
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1406662	1407062
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1554825	1555225
chr1	1554403	1554803
chr1	1562062	1562462
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1631454	1631854
chr1	1646326	1646726
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1728564	1728964
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1780340	1780740
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1832840	1833240
chr1	1847036	1847436
chr1	1857356	1857756
chr1	1858650	1859050
chr1	1859135	1859535
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
