Chromosome	Start	End
chr1	778525	778925
chr1	817141	817541
chr1	827359	827759
chr1	959124	959524
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1059458	1059858
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1231886	1232286
chr1	1259943	1260343
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1573891	1574291
chr1	1615208	1615608
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1778256	1778656
chr1	1778762	1779162
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1966333	1966733
chr1	1990247	1990647
chr1	1996173	1996573
chr1	2044784	2045184
chr1	2112467	2112867
chr1	2127333	2127733
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2189500	2189900
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2227624	2228024
chr1	2231885	2232285
chr1	2234385	2234785
chr1	2290669	2291069
chr1	2300915	2301315
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2548685	2549085
chr1	2585387	2585787
chr1	2586361	2586761
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3597461	3597861
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3890962	3891362
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6028069	6028469
chr1	6199485	6199885
chr1	6235817	6236217
chr1	6259948	6260348
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6497320	6497720
chr1	6502348	6502748
chr1	6510020	6510420
chr1	6579731	6580131
chr1	6591221	6591621
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6701692	6702092
chr1	6743780	6744180
chr1	6785114	6785514
chr1	6784483	6784883
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7856349	7856749
chr1	7942249	7942649
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8026127	8026527
chr1	8281830	8282230
chr1	8363728	8364128
chr1	8423575	8423975
chr1	8427525	8427925
chr1	8438888	8439288
chr1	8476024	8476424
chr1	8525866	8526266
chr1	8703198	8703598
chr1	8712414	8712814
chr1	8817530	8817930
chr1	8878569	8878969
chr1	8879102	8879502
chr1	9067190	9067590
chr1	9069570	9069970
chr1	9083254	9083654
chr1	9085563	9085963
chr1	9129030	9129430
chr1	9129436	9129836
chr1	9179764	9180164
chr1	9234476	9234876
chr1	9235041	9235441
chr1	9239707	9240107
chr1	9292616	9293016
chr1	9362590	9362990
chr1	9428816	9429216
chr1	9539155	9539555
chr1	9539697	9540097
chr1	9588452	9588852
chr1	9626958	9627358
chr1	9644706	9645106
chr1	9654420	9654820
chr1	9689285	9689685
chr1	9704689	9705089
chr1	9730538	9730938
chr1	9823823	9824223
chr1	9900350	9900750
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10210259	10210659
chr1	10209815	10210215
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10472398	10472798
chr1	10694620	10695020
chr1	10964912	10965312
chr1	11012139	11012539
chr1	11059932	11060332
chr1	11157823	11158223
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11273314	11273714
chr1	11663988	11664388
chr1	11664452	11664852
