Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	906768	907168
chr1	921040	921440
chr1	933082	933482
chr1	938058	938458
chr1	941634	942034
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	999982	1000382
chr1	1001786	1002186
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1050732	1051132
chr1	1051143	1051543
chr1	1059458	1059858
chr1	1067733	1068133
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1123163	1123563
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1126987	1127387
chr1	1130102	1130502
chr1	1133357	1133757
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1145050	1145450
chr1	1143676	1144076
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1159445	1159845
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1167300	1167700
chr1	1222199	1222599
chr1	1230681	1231081
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1244211	1244611
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1337719	1338119
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1431868	1432268
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
