Chromosome	Start	End
chr1	180580	180980
chr1	267803	268203
chr1	633824	634224
chr1	778525	778925
chr1	818585	818985
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	941634	942034
chr1	959124	959524
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1265306	1265706
chr1	1264790	1265190
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1355377	1355777
chr1	1358419	1358819
chr1	1360504	1360904
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1434278	1434678
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1442034	1442434
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1622269	1622669
chr1	1630222	1630622
chr1	1630940	1631340
chr1	1658953	1659353
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1732357	1732757
chr1	1741010	1741410
chr1	1746244	1746644
chr1	1778256	1778656
chr1	1777499	1777899
chr1	1859135	1859535
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2133112	2133512
chr1	2151308	2151708
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2275779	2276179
chr1	2290669	2291069
chr1	2314312	2314712
chr1	2315043	2315443
chr1	2322503	2322903
chr1	2330846	2331246
chr1	2361034	2361434
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2504660	2505060
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2555558	2555958
chr1	2556300	2556700
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	3012469	3012869
chr1	3069569	3069969
chr1	3170497	3170897
chr1	3174831	3175231
chr1	3186508	3186908
chr1	3313094	3313494
chr1	3313607	3314007
chr1	3352429	3352829
chr1	3369782	3370182
chr1	3410118	3410518
chr1	3454276	3454676
chr1	3491216	3491616
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3543295	3543695
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3910775	3911175
chr1	3948331	3948731
chr1	5297250	5297650
chr1	5502299	5502699
chr1	5504312	5504712
chr1	5503713	5504113
chr1	5514544	5514944
chr1	5745777	5746177
chr1	5817176	5817576
chr1	5992337	5992737
chr1	6052428	6052828
chr1	6082519	6082919
chr1	6099194	6099594
chr1	6127731	6128131
chr1	6199485	6199885
chr1	6205158	6205558
chr1	6205881	6206281
chr1	6206383	6206783
chr1	6220203	6220603
chr1	6235817	6236217
chr1	6245023	6245423
chr1	6259948	6260348
chr1	6260922	6261322
chr1	6273337	6273737
chr1	6276408	6276808
chr1	6330775	6331175
chr1	6343387	6343787
chr1	6350410	6350810
chr1	6351795	6352195
chr1	6359688	6360088
chr1	6358638	6359038
chr1	6368884	6369284
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6419775	6420175
chr1	6475504	6475904
chr1	6497320	6497720
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6601067	6601467
chr1	6604177	6604577
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6634632	6635032
chr1	6638225	6638625
chr1	6701692	6702092
chr1	6727508	6727908
chr1	6743780	6744180
chr1	6785114	6785514
chr1	6784483	6784883
chr1	7117506	7117906
chr1	7127764	7128164
chr1	7299352	7299752
chr1	7379618	7380018
chr1	7470867	7471267
chr1	7667525	7667925
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7752806	7753206
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7893808	7894208
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	7989756	7990156
chr1	8004944	8005344
chr1	8005395	8005795
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8040572	8040972
chr1	8051610	8052010
chr1	8056015	8056415
chr1	8061236	8061636
chr1	8078132	8078532
chr1	8090128	8090528
chr1	8116918	8117318
chr1	8121306	8121706
chr1	8120890	8121290
chr1	8133638	8134038
chr1	8137840	8138240
chr1	8141891	8142291
chr1	8141448	8141848
chr1	8154692	8155092
chr1	8169735	8170135
chr1	8174319	8174719
chr1	8197690	8198090
chr1	8202120	8202520
chr1	8202526	8202926
chr1	8204399	8204799
chr1	8229559	8229959
chr1	8239660	8240060
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8266742	8267142
chr1	8312238	8312638
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8342320	8342720
chr1	8343414	8343814
chr1	8364512	8364912
chr1	8373503	8373903
chr1	8373911	8374311
chr1	8378185	8378585
chr1	8396869	8397269
chr1	8397469	8397869
chr1	8397902	8398302
chr1	8408040	8408440
chr1	8423575	8423975
chr1	8424047	8424447
chr1	8423137	8423537
chr1	8438888	8439288
chr1	8448826	8449226
chr1	8463399	8463799
chr1	8477903	8478303
chr1	8525866	8526266
chr1	8571139	8571539
chr1	8596060	8596460
chr1	8660399	8660799
chr1	8687052	8687452
chr1	8703198	8703598
chr1	8712976	8713376
chr1	8726451	8726851
chr1	8727891	8728291
chr1	8817530	8817930
chr1	8836191	8836591
chr1	8848796	8849196
chr1	8873569	8873969
chr1	8878569	8878969
chr1	8879102	8879502
chr1	8877856	8878256
chr1	8889939	8890339
chr1	8890426	8890826
chr1	8903896	8904296
chr1	8918075	8918475
chr1	8937706	8938106
chr1	8955437	8955837
chr1	8986198	8986598
chr1	9005074	9005474
chr1	9014461	9014861
chr1	9028939	9029339
chr1	9067190	9067590
chr1	9101524	9101924
chr1	9129030	9129430
chr1	9129436	9129836
chr1	9182189	9182589
chr1	9201668	9202068
chr1	9233309	9233709
chr1	9234476	9234876
chr1	9235041	9235441
chr1	9242564	9242964
chr1	9267058	9267458
chr1	9280318	9280718
chr1	9290086	9290486
chr1	9292616	9293016
chr1	9296852	9297252
chr1	9303115	9303515
chr1	9321353	9321753
chr1	9326588	9326988
chr1	9331468	9331868
chr1	9350211	9350611
chr1	9365861	9366261
chr1	9371608	9372008
chr1	9376934	9377334
chr1	9376382	9376782
chr1	9384788	9385188
chr1	9397886	9398286
chr1	9399936	9400336
chr1	9413020	9413420
chr1	9413439	9413839
chr1	9413845	9414245
chr1	9428816	9429216
chr1	9429331	9429731
chr1	9438506	9438906
chr1	9444076	9444476
chr1	9449347	9449747
chr1	9455764	9456164
chr1	9467005	9467405
chr1	9473077	9473477
chr1	9491029	9491429
chr1	9495243	9495643
chr1	9503251	9503651
chr1	9539155	9539555
chr1	9561445	9561845
chr1	9588452	9588852
chr1	9626958	9627358
chr1	9651942	9652342
chr1	9689285	9689685
chr1	9702220	9702620
chr1	9719084	9719484
chr1	9724995	9725395
chr1	9766766	9767166
chr1	9776080	9776480
chr1	9798437	9798837
chr1	9804794	9805194
chr1	9823823	9824223
chr1	9852414	9852814
chr1	9867448	9867848
chr1	9875287	9875687
chr1	9900350	9900750
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	9950322	9950722
chr1	9984992	9985392
chr1	10032607	10033007
chr1	10033168	10033568
chr1	10045957	10046357
chr1	10055704	10056104
chr1	10057296	10057696
chr1	10066971	10067371
chr1	10105512	10105912
chr1	10108920	10109320
chr1	10109353	10109753
chr1	10117841	10118241
chr1	10122901	10123301
chr1	10152912	10153312
chr1	10161579	10161979
chr1	10210259	10210659
chr1	10211377	10211777
chr1	10209815	10210215
chr1	10253718	10254118
chr1	10286239	10286639
chr1	10377435	10377835
chr1	10387707	10388107
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10415356	10415756
chr1	10430524	10430924
chr1	10472398	10472798
chr1	10471928	10472328
chr1	10474704	10475104
chr1	10495149	10495549
chr1	10494631	10495031
chr1	10507444	10507844
chr1	10510547	10510947
chr1	10528318	10528718
chr1	10530266	10530666
chr1	10622811	10623211
chr1	10628673	10629073
chr1	10635946	10636346
chr1	10634524	10634924
chr1	10635453	10635853
chr1	10635040	10635440
chr1	10646440	10646840
chr1	10649436	10649836
chr1	10663637	10664037
chr1	10665895	10666295
chr1	10682977	10683377
chr1	10694620	10695020
chr1	10704549	10704949
chr1	10724065	10724465
chr1	10725184	10725584
chr1	10788631	10789031
chr1	10796493	10796893
chr1	10823070	10823470
chr1	10824889	10825289
chr1	10835889	10836289
chr1	10856318	10856718
chr1	10867072	10867472
chr1	10960969	10961369
chr1	10976095	10976495
chr1	10975694	10976094
chr1	10980077	10980477
chr1	11012139	11012539
chr1	11012883	11013283
chr1	11037596	11037996
chr1	11059932	11060332
chr1	11099679	11100079
chr1	11158620	11159020
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11273314	11273714
chr1	11282008	11282408
chr1	11281525	11281925
chr1	11650381	11650781
chr1	11654619	11655019
chr1	11654219	11654619
chr1	11663988	11664388
chr1	11680986	11681386
chr1	11681423	11681823
chr1	11722496	11722896
chr1	11731770	11732170
chr1	11735866	11736266
chr1	11790856	11791256
chr1	11803436	11803836
chr1	11805829	11806229
chr1	11805399	11805799
chr1	11806230	11806630
chr1	11838657	11839057
chr1	11908789	11909189
chr1	11907664	11908064
chr1	11908359	11908759
chr1	11918739	11919139
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11980061	11980461
chr1	11979498	11979898
chr1	11980529	11980929
chr1	11990695	11991095
chr1	12019185	12019585
chr1	12019610	12020010
chr1	12052022	12052422
chr1	12121559	12121959
chr1	12124821	12125221
chr1	12143589	12143989
chr1	12173726	12174126
chr1	12184238	12184638
chr1	12229820	12230220
chr1	12309713	12310113
chr1	12348733	12349133
chr1	12397421	12397821
chr1	12401848	12402248
chr1	12407398	12407798
chr1	12406708	12407108
chr1	12434225	12434625
chr1	12447265	12447665
chr1	12451332	12451732
chr1	12454567	12454967
chr1	12458549	12458949
chr1	12464623	12465023
chr1	12464065	12464465
chr1	12478011	12478411
chr1	12478602	12479002
chr1	12486280	12486680
chr1	12496459	12496859
chr1	12512078	12512478
chr1	12511473	12511873
chr1	12518874	12519274
chr1	12519504	12519904
chr1	12528298	12528698
chr1	12539917	12540317
chr1	12540358	12540758
chr1	12549797	12550197
chr1	12556372	12556772
chr1	12570293	12570693
chr1	12580210	12580610
chr1	12593564	12593964
chr1	12595824	12596224
chr1	12596402	12596802
chr1	12616100	12616500
chr1	12618904	12619304
chr1	12618190	12618590
chr1	12658974	12659374
chr1	12677543	12677943
chr1	12678441	12678841
chr1	12693382	12693782
chr1	13540949	13541349
chr1	13543890	13544290
chr1	13619838	13620238
chr1	13700097	13700497
chr1	13700651	13701051
chr1	13749098	13749498
chr1	13749528	13749928
chr1	13748674	13749074
chr1	13781946	13782346
chr1	14108401	14108801
chr1	14113854	14114254
chr1	14140775	14141175
chr1	14142375	14142775
chr1	14259209	14259609
chr1	14304588	14304988
chr1	14350212	14350612
chr1	14498895	14499295
chr1	14511805	14512205
chr1	14517462	14517862
chr1	14516971	14517371
chr1	14522359	14522759
chr1	14522840	14523240
chr1	14599381	14599781
chr1	14731920	14732320
chr1	14742223	14742623
chr1	14756970	14757370
chr1	14923891	14924291
chr1	14924421	14924821
chr1	14929903	14930303
chr1	14945336	14945736
chr1	14945800	14946200
chr1	14970143	14970543
chr1	15046443	15046843
chr1	15128511	15128911
chr1	15152297	15152697
chr1	15153984	15154384
chr1	15200552	15200952
chr1	15213390	15213790
chr1	15214560	15214960
chr1	15246997	15247397
chr1	15282787	15283187
chr1	15409684	15410084
chr1	15427254	15427654
chr1	15426756	15427156
chr1	15524311	15524711
chr1	15524843	15525243
chr1	15526509	15526909
chr1	15603461	15603861
chr1	15617152	15617552
chr1	15684814	15685214
chr1	15703563	15703963
chr1	15714430	15714830
chr1	15735966	15736366
chr1	15741355	15741755
chr1	15758550	15758950
chr1	15788055	15788455
chr1	15796738	15797138
chr1	15799005	15799405
chr1	15799460	15799860
chr1	15835790	15836190
chr1	15834776	15835176
chr1	15847463	15847863
chr1	15885694	15886094
chr1	15886292	15886692
chr1	15926459	15926859
chr1	15949597	15949997
chr1	15949080	15949480
chr1	15975917	15976317
chr1	15994530	15994930
chr1	16012797	16013197
chr1	16013252	16013652
chr1	16015978	16016378
chr1	16017994	16018394
chr1	16017549	16017949
chr1	16032823	16033223
chr1	16040516	16040916
chr1	16045080	16045480
chr1	16078880	16079280
chr1	16145580	16145980
chr1	16146269	16146669
chr1	16154957	16155357
chr1	16164216	16164616
chr1	16175890	16176290
chr1	16174902	16175302
chr1	16181846	16182246
chr1	16195507	16195907
chr1	16206476	16206876
chr1	16206888	16207288
chr1	16217331	16217731
chr1	16226827	16227227
chr1	16237033	16237433
chr1	16244353	16244753
chr1	16249853	16250253
chr1	16250591	16250991
chr1	16260858	16261258
chr1	16299185	16299585
chr1	16324356	16324756
chr1	16352316	16352716
chr1	16366923	16367323
chr1	16367338	16367738
chr1	16375650	16376050
chr1	16375162	16375562
chr1	16386402	16386802
chr1	16391914	16392314
chr1	16440458	16440858
chr1	16464902	16465302
chr1	16499070	16499470
chr1	16513824	16514224
chr1	16514365	16514765
chr1	16605979	16606379
chr1	16605541	16605941
chr1	16613406	16613806
chr1	16612478	16612878
chr1	16612886	16613286
chr1	16620973	16621373
chr1	16644518	16644918
chr1	16873294	16873694
chr1	16889293	16889693
chr1	16896036	16896436
chr1	16895487	16895887
chr1	16904723	16905123
chr1	16905203	16905603
chr1	16913826	16914226
chr1	16914231	16914631
chr1	16951650	16952050
chr1	16960659	16961059
chr1	16963469	16963869
chr1	16984755	16985155
chr1	17011776	17012176
chr1	17011299	17011699
chr1	17053917	17054317
chr1	17098879	17099279
chr1	17128371	17128771
chr1	17195111	17195511
chr1	17406133	17406533
chr1	17423774	17424174
chr1	17437539	17437939
chr1	17439604	17440004
chr1	17502296	17502696
chr1	17531772	17532172
chr1	17532248	17532648
chr1	17539524	17539924
chr1	17545341	17545741
chr1	17553954	17554354
chr1	17561694	17562094
chr1	17561145	17561545
chr1	17567647	17568047
chr1	17569651	17570051
chr1	17569105	17569505
chr1	17570100	17570500
chr1	17586189	17586589
chr1	17587569	17587969
chr1	17594063	17594463
chr1	17609555	17609955
chr1	17618116	17618516
chr1	17624823	17625223
chr1	17633603	17634003
chr1	17640441	17640841
chr1	17653681	17654081
chr1	17669747	17670147
chr1	17780866	17781266
chr1	17874192	17874592
chr1	18890728	18891128
chr1	18902689	18903089
chr1	18913038	18913438
chr1	18922247	18922647
chr1	18944827	18945227
chr1	18949773	18950173
chr1	18956585	18956985
chr1	18961996	18962396
chr1	18999403	18999803
chr1	19011036	19011436
chr1	19033957	19034357
chr1	19195557	19195957
chr1	19203404	19203804
chr1	19210174	19210574
chr1	19232542	19232942
chr1	19232142	19232542
chr1	19241234	19241634
chr1	19251575	19251975
chr1	19288633	19289033
chr1	19311983	19312383
chr1	19311560	19311960
chr1	19330484	19330884
chr1	19344368	19344768
chr1	19351929	19352329
chr1	19361659	19362059
chr1	19365709	19366109
chr1	19391575	19391975
chr1	19398377	19398777
chr1	19405907	19406307
chr1	19414526	19414926
chr1	19418418	19418818
chr1	19426245	19426645
chr1	19427350	19427750
chr1	19435142	19435542
chr1	19442707	19443107
chr1	19448880	19449280
chr1	19448404	19448804
chr1	19452343	19452743
chr1	19466078	19466478
chr1	19476882	19477282
chr1	19485444	19485844
chr1	19484943	19485343
chr1	19504778	19505178
chr1	19505248	19505648
chr1	19514365	19514765
chr1	19514770	19515170
chr1	19532483	19532883
chr1	19563633	19564033
chr1	19596726	19597126
chr1	19597234	19597634
chr1	19644041	19644441
chr1	19659741	19660141
chr1	19659316	19659716
chr1	19715551	19715951
chr1	19735804	19736204
chr1	19754521	19754921
chr1	19799558	19799958
chr1	19799961	19800361
chr1	19882128	19882528
chr1	19882588	19882988
chr1	19918031	19918431
chr1	19979518	19979918
chr1	20069917	20070317
chr1	20083058	20083458
chr1	20093877	20094277
chr1	20152309	20152709
chr1	20178632	20179032
chr1	20179059	20179459
chr1	20185883	20186283
chr1	20186403	20186803
chr1	20192467	20192867
chr1	20343604	20344004
chr1	20358701	20359101
chr1	20486123	20486523
chr1	20486586	20486986
chr1	20493687	20494087
chr1	20507976	20508376
chr1	20613824	20614224
chr1	20613413	20613813
chr1	20633766	20634166
chr1	20633228	20633628
chr1	20654175	20654575
chr1	20661320	20661720
chr1	20661721	20662121
chr1	20696789	20697189
chr1	20696386	20696786
chr1	20717862	20718262
chr1	20786573	20786973
chr1	20787148	20787548
chr1	21022239	21022639
chr1	21176781	21177181
chr1	21176168	21176568
chr1	21229784	21230184
chr1	21255216	21255616
chr1	21262397	21262797
chr1	21261783	21262183
chr1	21262801	21263201
chr1	21278288	21278688
chr1	21290233	21290633
chr1	21314283	21314683
chr1	21324544	21324944
chr1	21334617	21335017
chr1	21337988	21338388
chr1	21345382	21345782
chr1	21368447	21368847
chr1	21439877	21440277
chr1	21447262	21447662
chr1	21490798	21491198
chr1	21509023	21509423
chr1	21607786	21608186
chr1	21622414	21622814
chr1	21673390	21673790
chr1	21680964	21681364
chr1	21764997	21765397
chr1	21764581	21764981
chr1	21782975	21783375
chr1	21783480	21783880
chr1	21818659	21819059
chr1	21862122	21862522
chr1	21869832	21870232
chr1	21882707	21883107
chr1	21896698	21897098
chr1	21903602	21904002
chr1	21904532	21904932
chr1	21904932	21905332
chr1	21906152	21906552
chr1	21909731	21910131
chr1	21912774	21913174
chr1	21920414	21920814
chr1	21927561	21927961
chr1	21926752	21927152
chr1	21931066	21931466
chr1	21932134	21932534
chr1	21937260	21937660
chr1	21942909	21943309
chr1	21944393	21944793
chr1	21955087	21955487
chr1	21955515	21955915
chr1	21956824	21957224
chr1	21963952	21964352
chr1	21974730	21975130
chr1	22025253	22025653
chr1	22025715	22026115
chr1	22052447	22052847
chr1	22053118	22053518
chr1	22143047	22143447
chr1	22143503	22143903
chr1	22341979	22342379
chr1	22416563	22416963
chr1	22451636	22452036
chr1	22457350	22457750
chr1	22473962	22474362
chr1	22475073	22475473
chr1	22509859	22510259
chr1	22517922	22518322
chr1	22518405	22518805
chr1	22530171	22530571
chr1	22641991	22642391
chr1	22964179	22964579
chr1	23019182	23019582
chr1	23083745	23084145
chr1	23098715	23099115
chr1	23100186	23100586
chr1	23122396	23122796
chr1	23168671	23169071
chr1	23177687	23178087
chr1	23344207	23344607
chr1	23368193	23368593
chr1	23368727	23369127
chr1	23377370	23377770
chr1	23394683	23395083
chr1	23403801	23404201
chr1	23424611	23425011
chr1	23444140	23444540
chr1	23451976	23452376
chr1	23484141	23484541
chr1	23484557	23484957
chr1	23483735	23484135
chr1	23531239	23531639
chr1	23544698	23545098
chr1	23554780	23555180
chr1	23559388	23559788
chr1	23562301	23562701
chr1	23585658	23586058
chr1	23586693	23587093
chr1	23691533	23691933
chr1	23691988	23692388
chr1	23743227	23743627
chr1	23743649	23744049
chr1	23742804	23743204
chr1	23772105	23772505
chr1	23778123	23778523
chr1	23790911	23791311
chr1	23800664	23801064
chr1	23807608	23808008
chr1	23825276	23825676
chr1	23838498	23838898
chr1	23868172	23868572
chr1	23867766	23868166
chr1	23902679	23903079
chr1	23916787	23917187
chr1	23919980	23920380
chr1	23959519	23959919
chr1	23958938	23959338
chr1	23980211	23980611
chr1	24018809	24019209
chr1	24046277	24046677
chr1	24045796	24046196
chr1	24070797	24071197
chr1	24112501	24112901
chr1	24120401	24120801
chr1	24150448	24150848
chr1	24187148	24187548
chr1	24201875	24202275
chr1	24236771	24237171
chr1	24289948	24290348
chr1	24294750	24295150
chr1	24294278	24294678
chr1	24318210	24318610
chr1	24322187	24322587
chr1	24391255	24391655
chr1	24413568	24413968
chr1	24415432	24415832
chr1	24502655	24503055
chr1	24642918	24643318
chr1	24642459	24642859
chr1	24683608	24684008
chr1	24688538	24688938
chr1	24705271	24705671
chr1	24727478	24727878
chr1	24735906	24736306
chr1	24744999	24745399
chr1	24745415	24745815
chr1	24770248	24770648
chr1	24770997	24771397
