Chromosome	Start	End
chr1	181273	181673
chr1	191294	191694
chr1	630110	630510
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	830730	831130
chr1	835499	835899
chr1	844611	845011
chr1	850296	850696
chr1	858638	859038
chr1	865634	866034
chr1	866135	866535
chr1	869724	870124
chr1	904538	904938
chr1	906768	907168
chr1	921040	921440
chr1	923663	924063
chr1	940125	940525
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	973139	973539
chr1	976001	976401
chr1	980587	980987
chr1	982026	982426
chr1	998844	999244
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1050732	1051132
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1069856	1070256
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1222199	1222599
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1259943	1260343
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1281724	1282124
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1307400	1307800
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1355377	1355777
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1406662	1407062
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1543727	1544127
chr1	1543321	1543721
chr1	1554825	1555225
chr1	1562825	1563225
chr1	1564148	1564548
chr1	1574716	1575116
chr1	1573891	1574291
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1625077	1625477
chr1	1630940	1631340
chr1	1631937	1632337
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1778256	1778656
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1782005	1782405
chr1	1788169	1788569
chr1	1847036	1847436
chr1	1873139	1873539
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1894573	1894973
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1959984	1960384
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2050582	2050982
chr1	2094770	2095170
chr1	2104687	2105087
chr1	2105097	2105497
chr1	2127333	2127733
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2135435	2135835
chr1	2141022	2141422
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2214549	2214949
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2243272	2243672
chr1	2248833	2249233
chr1	2251735	2252135
chr1	2267385	2267785
chr1	2269161	2269561
chr1	2269970	2270370
chr1	2273328	2273728
chr1	2279161	2279561
chr1	2284939	2285339
chr1	2284227	2284627
chr1	2286706	2287106
chr1	2299235	2299635
chr1	2304846	2305246
chr1	2305355	2305755
chr1	2314312	2314712
chr1	2315043	2315443
chr1	2322503	2322903
chr1	2330846	2331246
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2390940	2391340
chr1	2408891	2409291
chr1	2412466	2412866
chr1	2459787	2460187
chr1	2506784	2507184
chr1	2526090	2526490
chr1	2527417	2527817
chr1	2528001	2528401
chr1	2546038	2546438
chr1	2548000	2548400
chr1	2585387	2585787
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2640156	2640556
chr1	2643065	2643465
chr1	2642468	2642868
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3186508	3186908
chr1	3313094	3313494
chr1	3313607	3314007
chr1	3323135	3323535
chr1	3328157	3328557
chr1	3348191	3348591
chr1	3349067	3349467
chr1	3393477	3393877
chr1	3410118	3410518
chr1	3423331	3423731
chr1	3424678	3425078
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3458172	3458572
chr1	3460562	3460962
chr1	3471752	3472152
chr1	3491216	3491616
chr1	3529389	3529789
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3531687	3532087
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3649487	3649887
chr1	3654662	3655062
chr1	3668776	3669176
chr1	3695610	3696010
chr1	3713135	3713535
chr1	3714382	3714782
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3746271	3746671
