Chromosome	Start	End
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	959124	959524
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1185249	1185649
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1298859	1299259
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1419974	1420374
chr1	1434278	1434678
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1550881	1551281
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1778256	1778656
chr1	1788169	1788569
chr1	1890942	1891342
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1946530	1946930
chr1	2073475	2073875
chr1	2127333	2127733
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2227624	2228024
chr1	2257293	2257693
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2425891	2426291
chr1	2459787	2460187
chr1	2493596	2493996
chr1	2527417	2527817
chr1	2530127	2530527
chr1	2532800	2533200
chr1	2544913	2545313
chr1	2546038	2546438
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	2968414	2968814
chr1	2982944	2983344
chr1	2985242	2985642
chr1	3012469	3012869
chr1	3011946	3012346
chr1	3069569	3069969
chr1	3126076	3126476
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3219226	3219626
chr1	3219662	3220062
chr1	3313607	3314007
chr1	3333889	3334289
chr1	3335056	3335456
chr1	3348191	3348591
chr1	3350427	3350827
chr1	3359640	3360040
chr1	3360837	3361237
chr1	3366152	3366552
chr1	3410118	3410518
chr1	3431262	3431662
chr1	3441411	3441811
chr1	3453121	3453521
chr1	3576024	3576424
chr1	3611465	3611865
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3713135	3713535
chr1	3714382	3714782
chr1	3714783	3715183
chr1	3731496	3731896
chr1	3747236	3747636
chr1	3754435	3754835
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3924931	3925331
chr1	4656255	4656655
chr1	4681399	4681799
chr1	4801493	4801893
chr1	4935839	4936239
chr1	5231512	5231912
chr1	5477828	5478228
chr1	5493963	5494363
chr1	5494469	5494869
chr1	5929064	5929464
chr1	5975139	5975539
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6058598	6058998
chr1	6080562	6080962
chr1	6199485	6199885
chr1	6235817	6236217
chr1	6259948	6260348
chr1	6273337	6273737
chr1	6330271	6330671
chr1	6350410	6350810
chr1	6384983	6385383
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6402910	6403310
chr1	6436970	6437370
chr1	6497320	6497720
chr1	6507606	6508006
chr1	6509188	6509588
chr1	6519955	6520355
chr1	6555133	6555533
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6701259	6701659
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6868933	6869333
chr1	6914778	6915178
chr1	6922505	6922905
chr1	6985028	6985428
chr1	7037227	7037627
chr1	7042458	7042858
chr1	7069929	7070329
chr1	7313091	7313491
chr1	7388860	7389260
chr1	7478217	7478617
chr1	7501151	7501551
