Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	817115	817515
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	906692	907092
chr1	921026	921426
chr1	923618	924018
chr1	940755	941155
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	999961	1000361
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1182736	1183136
chr1	1205737	1206137
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1250215	1250615
chr1	1260126	1260526
chr1	1260564	1260964
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1290156	1290556
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1553877	1554277
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1607072	1607472
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1686260	1686660
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1779881	1780281
chr1	1780366	1780766
chr1	1841584	1841984
chr1	1849199	1849599
chr1	1857099	1857499
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1965272	1965672
chr1	1966366	1966766
chr1	1990237	1990637
chr1	1996192	1996592
chr1	1996783	1997183
chr1	2003702	2004102
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2112467	2112867
chr1	2126875	2127275
chr1	2127302	2127702
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2151311	2151711
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2234787	2235187
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2279154	2279554
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2314291	2314691
chr1	2313734	2314134
chr1	2337725	2338125
chr1	2338170	2338570
chr1	2381713	2382113
chr1	2384389	2384789
chr1	2384996	2385396
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2506931	2507331
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2554867	2555267
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2570279	2570679
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2845890	2846290
chr1	2926376	2926776
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3181904	3182304
chr1	3186553	3186953
chr1	3222183	3222583
chr1	3319910	3320310
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3471726	3472126
chr1	3491213	3491613
chr1	3504175	3504575
chr1	3565228	3565628
chr1	3598110	3598510
chr1	3597441	3597841
chr1	3596925	3597325
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3671811	3672211
chr1	3677537	3677937
chr1	3695606	3696006
chr1	3724384	3724784
chr1	3732619	3733019
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3775443	3775843
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3801423	3801823
chr1	3842875	3843275
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3864957	3865357
chr1	3891012	3891412
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3984219	3984619
chr1	3984735	3985135
chr1	4652551	4652951
chr1	4836553	4836953
chr1	4851655	4852055
chr1	5509852	5510252
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5888067	5888467
chr1	5975153	5975553
chr1	5980444	5980844
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6014644	6015044
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6028066	6028466
chr1	6034441	6034841
chr1	6056526	6056926
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6205137	6205537
chr1	6209177	6209577
chr1	6212604	6213004
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6276388	6276788
chr1	6290099	6290499
chr1	6343478	6343878
chr1	6348544	6348944
chr1	6363052	6363452
chr1	6370001	6370401
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6401718	6402118
chr1	6404647	6405047
chr1	6445103	6445503
chr1	6448556	6448956
chr1	6475484	6475884
chr1	6486438	6486838
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6497309	6497709
chr1	6501877	6502277
chr1	6502352	6502752
chr1	6507027	6507427
chr1	6509299	6509699
chr1	6509998	6510398
chr1	6519988	6520388
chr1	6523580	6523980
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6580339	6580739
chr1	6591208	6591608
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6603184	6603584
chr1	6603830	6604230
chr1	6602178	6602578
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6646479	6646879
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6735364	6735764
chr1	6743806	6744206
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6889898	6890298
chr1	7478842	7479242
chr1	7649055	7649455
chr1	7667531	7667931
chr1	7667934	7668334
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7704452	7704852
chr1	7704943	7705343
chr1	7726579	7726979
chr1	7728759	7729159
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7784530	7784930
chr1	7811524	7811924
chr1	7831389	7831789
chr1	7856332	7856732
chr1	7899747	7900147
chr1	7902728	7903128
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7982272	7982672
chr1	8005193	8005593
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8047121	8047521
chr1	8083612	8084012
chr1	8104573	8104973
chr1	8106802	8107202
chr1	8121303	8121703
chr1	8120886	8121286
chr1	8127069	8127469
chr1	8137853	8138253
chr1	8169724	8170124
chr1	8170248	8170648
chr1	8182792	8183192
chr1	8203003	8203403
chr1	8211911	8212311
chr1	8211463	8211863
chr1	8217105	8217505
chr1	8218737	8219137
chr1	8225023	8225423
chr1	8226763	8227163
chr1	8281817	8282217
chr1	8282359	8282759
chr1	8283245	8283645
chr1	8307624	8308024
chr1	8314318	8314718
chr1	8317872	8318272
chr1	8328210	8328610
chr1	8373941	8374341
chr1	8379149	8379549
chr1	8383050	8383450
chr1	8395600	8396000
chr1	8397510	8397910
chr1	8409156	8409556
chr1	8424024	8424424
chr1	8424538	8424938
chr1	8422730	8423130
chr1	8427513	8427913
chr1	8427997	8428397
chr1	8438886	8439286
chr1	8438438	8438838
chr1	8448873	8449273
chr1	8449385	8449785
chr1	8457766	8458166
chr1	8463127	8463527
chr1	8463611	8464011
chr1	8465640	8466040
chr1	8476038	8476438
chr1	8492800	8493200
chr1	8525898	8526298
chr1	8629772	8630172
chr1	8629219	8629619
chr1	8660384	8660784
chr1	8666859	8667259
chr1	8674458	8674858
chr1	8687011	8687411
chr1	8693943	8694343
chr1	8701225	8701625
chr1	8703137	8703537
chr1	8703789	8704189
chr1	8712714	8713114
chr1	8712265	8712665
chr1	8737002	8737402
chr1	8817516	8817916
chr1	8817074	8817474
chr1	8822755	8823155
chr1	8825928	8826328
chr1	8848788	8849188
chr1	8862471	8862871
chr1	8873570	8873970
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8877900	8878300
chr1	8879459	8879859
chr1	8918077	8918477
chr1	8988018	8988418
chr1	9005078	9005478
chr1	9007710	9008110
chr1	9011019	9011419
chr1	9058444	9058844
chr1	9067213	9067613
chr1	9069551	9069951
chr1	9073148	9073548
chr1	9083247	9083647
chr1	9094036	9094436
chr1	9101565	9101965
chr1	9110747	9111147
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9128605	9129005
chr1	9142230	9142630
chr1	9143318	9143718
chr1	9149768	9150168
chr1	9150247	9150647
chr1	9152464	9152864
chr1	9162777	9163177
chr1	9163933	9164333
chr1	9174215	9174615
chr1	9179994	9180394
chr1	9181252	9181652
chr1	9182193	9182593
chr1	9196443	9196843
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9234024	9234424
chr1	9239684	9240084
chr1	9267052	9267452
chr1	9275467	9275867
chr1	9292657	9293057
chr1	9340858	9341258
chr1	9362615	9363015
chr1	9363032	9363432
chr1	9426320	9426720
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9491035	9491435
chr1	9495233	9495633
chr1	9539187	9539587
chr1	9539699	9540099
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9615568	9615968
chr1	9626958	9627358
chr1	9629646	9630046
chr1	9644697	9645097
chr1	9644012	9644412
chr1	9651548	9651948
chr1	9654431	9654831
chr1	9670048	9670448
chr1	9689295	9689695
chr1	9702228	9702628
chr1	9704665	9705065
chr1	9717578	9717978
chr1	9716986	9717386
chr1	9719071	9719471
chr1	9724980	9725380
chr1	9730542	9730942
chr1	9730142	9730542
chr1	9730953	9731353
chr1	9737089	9737489
chr1	9759482	9759882
chr1	9787643	9788043
chr1	9802498	9802898
chr1	9815156	9815556
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9823497	9823897
chr1	9825393	9825793
chr1	9835784	9836184
chr1	9845934	9846334
chr1	9859510	9859910
chr1	9860051	9860451
chr1	9867459	9867859
chr1	9874857	9875257
chr1	9893188	9893588
chr1	9900364	9900764
chr1	9900782	9901182
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9929357	9929757
chr1	9943211	9943611
chr1	9942363	9942763
chr1	9950335	9950735
chr1	9950877	9951277
chr1	9978359	9978759
chr1	9990859	9991259
chr1	9996968	9997368
chr1	9997718	9998118
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10045937	10046337
chr1	10046365	10046765
chr1	10074352	10074752
chr1	10148090	10148490
chr1	10152924	10153324
chr1	10203578	10203978
chr1	10210279	10210679
chr1	10209743	10210143
chr1	10242840	10243240
chr1	10251703	10252103
chr1	10251162	10251562
chr1	10253734	10254134
chr1	10286261	10286661
chr1	10297012	10297412
chr1	10303801	10304201
chr1	10328499	10328899
chr1	10353644	10354044
chr1	10377418	10377818
chr1	10378434	10378834
chr1	10388095	10388495
chr1	10387517	10387917
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10398195	10398595
chr1	10399624	10400024
chr1	10415352	10415752
chr1	10428029	10428429
chr1	10430528	10430928
chr1	10429766	10430166
chr1	10431019	10431419
chr1	10452090	10452490
chr1	10472384	10472784
chr1	10471880	10472280
chr1	10474719	10475119
chr1	10494629	10495029
chr1	10495089	10495489
chr1	10507407	10507807
chr1	10515603	10516003
chr1	10530271	10530671
chr1	10530768	10531168
chr1	10583678	10584078
chr1	10694691	10695091
chr1	10716432	10716832
chr1	10941958	10942358
chr1	10957153	10957553
chr1	10960964	10961364
chr1	10965570	10965970
chr1	10965056	10965456
chr1	10979405	10979805
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11037601	11038001
chr1	11051825	11052225
chr1	11059906	11060306
chr1	11060493	11060893
chr1	11069584	11069984
chr1	11071333	11071733
chr1	11073830	11074230
chr1	11099726	11100126
chr1	11099207	11099607
chr1	11241714	11242114
chr1	11262488	11262888
chr1	11262018	11262418
chr1	11272982	11273382
chr1	11272557	11272957
chr1	11273471	11273871
chr1	11409757	11410157
chr1	11466292	11466692
chr1	11470887	11471287
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11642413	11642813
chr1	11645674	11646074
chr1	11650379	11650779
chr1	11663993	11664393
chr1	11664560	11664960
chr1	11664982	11665382
chr1	11680995	11681395
chr1	11681451	11681851
chr1	11680518	11680918
chr1	11719740	11720140
chr1	11719266	11719666
chr1	11730329	11730729
chr1	11731758	11732158
chr1	11735862	11736262
chr1	11736334	11736734
chr1	11736751	11737151
chr1	11738824	11739224
chr1	11749135	11749535
chr1	11764256	11764656
chr1	11772429	11772829
chr1	11785122	11785522
chr1	11790851	11791251
chr1	11797764	11798164
chr1	11802557	11802957
chr1	11803469	11803869
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11814780	11815180
chr1	11815226	11815626
chr1	11838637	11839037
chr1	11842173	11842573
chr1	11842719	11843119
chr1	11882851	11883251
chr1	11893276	11893676
chr1	11893899	11894299
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11926719	11927119
chr1	11925843	11926243
chr1	11934447	11934847
chr1	11940499	11940899
chr1	11960720	11961120
chr1	11980065	11980465
chr1	11980529	11980929
chr1	11979469	11979869
chr1	11985849	11986249
chr1	12019183	12019583
chr1	12019746	12020146
chr1	12124781	12125181
chr1	12125618	12126018
chr1	12133008	12133408
chr1	12141314	12141714
chr1	12143600	12144000
chr1	12143168	12143568
chr1	12150411	12150811
chr1	12153270	12153670
chr1	12161193	12161593
chr1	12161828	12162228
chr1	12166748	12167148
chr1	12168493	12168893
chr1	12173684	12174084
chr1	12175005	12175405
chr1	12180336	12180736
chr1	12184259	12184659
chr1	12194714	12195114
chr1	12196624	12197024
chr1	12208838	12209238
chr1	12208369	12208769
chr1	12229816	12230216
chr1	12230952	12231352
chr1	12230372	12230772
chr1	12276245	12276645
chr1	12315348	12315748
chr1	12316690	12317090
chr1	12316248	12316648
chr1	12344597	12344997
chr1	12345321	12345721
chr1	12344093	12344493
chr1	12345829	12346229
chr1	12359805	12360205
chr1	12376353	12376753
chr1	12376763	12377163
chr1	12379287	12379687
chr1	12381256	12381656
chr1	12405561	12405961
chr1	12405969	12406369
chr1	12448771	12449171
chr1	12450427	12450827
chr1	12454405	12454805
chr1	12472901	12473301
chr1	12473347	12473747
chr1	12474934	12475334
chr1	12475373	12475773
chr1	12480958	12481358
chr1	12486319	12486719
chr1	12496660	12497060
chr1	12496103	12496503
chr1	12508846	12509246
chr1	12510337	12510737
chr1	12510823	12511223
chr1	12512079	12512479
chr1	12525343	12525743
chr1	12528291	12528691
chr1	12527518	12527918
chr1	12595872	12596272
chr1	12597744	12598144
chr1	12615915	12616315
chr1	12619814	12620214
chr1	12618173	12618573
chr1	12618915	12619315
chr1	12631159	12631559
chr1	12658955	12659355
chr1	13623234	13623634
chr1	13642600	13643000
chr1	13643030	13643430
chr1	13665654	13666054
chr1	13700085	13700485
chr1	13700635	13701035
chr1	13749127	13749527
chr1	13748680	13749080
chr1	13782218	13782618
chr1	13825981	13826381
chr1	14739465	14739865
chr1	14915348	14915748
chr1	14968396	14968796
chr1	15027515	15027915
chr1	15046510	15046910
chr1	15089600	15090000
chr1	15106586	15106986
chr1	15112274	15112674
chr1	15128495	15128895
chr1	15136370	15136770
chr1	15135623	15136023
chr1	15141842	15142242
chr1	15142848	15143248
chr1	15146949	15147349
chr1	15153482	15153882
chr1	15152320	15152720
chr1	15153992	15154392
chr1	15152987	15153387
chr1	15168432	15168832
chr1	15171504	15171904
chr1	15179154	15179554
chr1	15179742	15180142
chr1	15188669	15189069
chr1	15188083	15188483
chr1	15206954	15207354
chr1	15207392	15207792
chr1	15224161	15224561
chr1	15245958	15246358
chr1	15247018	15247418
chr1	15258338	15258738
chr1	15258806	15259206
chr1	15261447	15261847
chr1	15272470	15272870
chr1	15275934	15276334
chr1	15277048	15277448
chr1	15299234	15299634
chr1	15304714	15305114
chr1	15323511	15323911
chr1	15323044	15323444
chr1	15328763	15329163
chr1	15329448	15329848
chr1	15345890	15346290
chr1	15362751	15363151
chr1	15386437	15386837
chr1	15386025	15386425
chr1	15409642	15410042
chr1	15411607	15412007
chr1	15416143	15416543
chr1	15417462	15417862
chr1	15431125	15431525
chr1	15434723	15435123
chr1	15524814	15525214
chr1	15524173	15524573
chr1	15525238	15525638
chr1	15526481	15526881
chr1	15526978	15527378
chr1	15571803	15572203
chr1	15573431	15573831
chr1	15577664	15578064
chr1	15579709	15580109
chr1	15579092	15579492
chr1	15584873	15585273
chr1	15584433	15584833
chr1	15603462	15603862
chr1	15603003	15603403
chr1	15617135	15617535
chr1	15617815	15618215
chr1	15616706	15617106
chr1	15626282	15626682
chr1	15641172	15641572
chr1	15656476	15656876
chr1	15657002	15657402
chr1	15661484	15661884
chr1	15682298	15682698
chr1	15684816	15685216
chr1	15684103	15684503
chr1	15696895	15697295
chr1	15697299	15697699
chr1	15703593	15703993
chr1	15703087	15703487
chr1	15714399	15714799
chr1	15720559	15720959
chr1	15736032	15736432
chr1	15741370	15741770
chr1	15780733	15781133
chr1	15791997	15792397
chr1	15800455	15800855
chr1	15800033	15800433
chr1	15800860	15801260
chr1	15815501	15815901
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15834220	15834620
chr1	15835287	15835687
chr1	15836192	15836592
chr1	15837382	15837782
chr1	15847453	15847853
chr1	15846911	15847311
chr1	15848337	15848737
chr1	15849288	15849688
chr1	15886291	15886691
chr1	15939385	15939785
chr1	15950812	15951212
chr1	15966039	15966439
chr1	15975918	15976318
chr1	15975467	15975867
chr1	15994522	15994922
chr1	16018003	16018403
chr1	16017471	16017871
chr1	16032817	16033217
chr1	16056051	16056451
chr1	16073444	16073844
chr1	16078881	16079281
chr1	16082306	16082706
chr1	16088311	16088711
chr1	16141570	16141970
chr1	16145581	16145981
chr1	16155921	16156321
chr1	16154609	16155009
chr1	16156814	16157214
chr1	16173121	16173521
chr1	16175875	16176275
chr1	16187713	16188113
chr1	16206483	16206883
chr1	16206895	16207295
chr1	16205876	16206276
chr1	16216142	16216542
chr1	16217306	16217706
chr1	16217728	16218128
chr1	16216903	16217303
chr1	16226844	16227244
chr1	16226442	16226842
chr1	16237027	16237427
chr1	16236612	16237012
chr1	16244368	16244768
chr1	16248779	16249179
chr1	16248372	16248772
chr1	16293443	16293843
chr1	16299207	16299607
chr1	16318033	16318433
chr1	16318592	16318992
chr1	16352308	16352708
chr1	16351733	16352133
chr1	16366909	16367309
chr1	16367310	16367710
chr1	16367727	16368127
chr1	16396626	16397026
chr1	16433062	16433462
chr1	16440459	16440859
chr1	16441049	16441449
chr1	16443927	16444327
chr1	16444332	16444732
chr1	16478640	16479040
chr1	16499082	16499482
chr1	16498605	16499005
chr1	16513928	16514328
chr1	16514336	16514736
chr1	16520596	16520996
chr1	16566341	16566741
chr1	16591738	16592138
chr1	16600822	16601222
chr1	16601491	16601891
chr1	16602335	16602735
chr1	16613406	16613806
chr1	16612860	16613260
chr1	16619703	16620103
chr1	16620497	16620897
chr1	16620980	16621380
chr1	16628764	16629164
chr1	16644525	16644925
chr1	16643918	16644318
chr1	16692724	16693124
chr1	16703141	16703541
chr1	16707333	16707733
chr1	16709747	16710147
chr1	16715428	16715828
chr1	16889338	16889738
chr1	16888737	16889137
chr1	16889761	16890161
chr1	16895500	16895900
chr1	16896037	16896437
chr1	16895076	16895476
chr1	16903930	16904330
chr1	16904723	16905123
chr1	16912793	16913193
chr1	16913244	16913644
chr1	16913793	16914193
chr1	16914258	16914658
chr1	16921692	16922092
chr1	16921267	16921667
chr1	16923001	16923401
chr1	16951661	16952061
chr1	16960654	16961054
chr1	17011769	17012169
chr1	17011270	17011670
chr1	17023094	17023494
chr1	17030189	17030589
chr1	17045174	17045574
chr1	17053975	17054375
chr1	17054382	17054782
chr1	17066699	17067099
chr1	17084822	17085222
chr1	17119321	17119721
chr1	17119766	17120166
chr1	17125745	17126145
chr1	17128412	17128812
chr1	17176663	17177063
chr1	17207083	17207483
chr1	17207507	17207907
chr1	17236838	17237238
chr1	17276581	17276981
chr1	17365271	17365671
chr1	17406112	17406512
chr1	17419829	17420229
chr1	17431578	17431978
chr1	17437475	17437875
chr1	17438370	17438770
chr1	17437890	17438290
chr1	17439615	17440015
chr1	17477339	17477739
chr1	17502319	17502719
chr1	17515948	17516348
chr1	17539572	17539972
chr1	17551943	17552343
chr1	17561566	17561966
chr1	17561127	17561527
chr1	17565491	17565891
chr1	17569613	17570013
chr1	17585362	17585762
chr1	17586198	17586598
chr1	17606816	17607216
chr1	17608475	17608875
chr1	17614574	17614974
chr1	17615167	17615567
chr1	17618117	17618517
chr1	17629961	17630361
chr1	17635760	17636160
chr1	17658843	17659243
chr1	17669948	17670348
chr1	18100514	18100914
chr1	18110150	18110550
chr1	18111029	18111429
chr1	18111671	18112071
chr1	18110624	18111024
chr1	18118222	18118622
chr1	18160485	18160885
chr1	18165660	18166060
chr1	18178124	18178524
chr1	18182789	18183189
chr1	18200904	18201304
chr1	18217389	18217789
chr1	18304458	18304858
chr1	18385504	18385904
chr1	18597385	18597785
chr1	18875200	18875600
chr1	18884105	18884505
chr1	18894458	18894858
chr1	18902685	18903085
chr1	18907924	18908324
chr1	18913029	18913429
chr1	18926573	18926973
chr1	18951407	18951807
chr1	18956612	18957012
chr1	18957102	18957502
chr1	18956131	18956531
chr1	18994403	18994803
chr1	19011054	19011454
chr1	19081500	19081900
chr1	19140431	19140831
chr1	19156660	19157060
chr1	19164626	19165026
chr1	19165041	19165441
chr1	19210151	19210551
chr1	19209558	19209958
chr1	19210641	19211041
chr1	19232216	19232616
chr1	19239894	19240294
chr1	19241233	19241633
chr1	19251352	19251752
chr1	19251840	19252240
chr1	19260175	19260575
chr1	19274013	19274413
chr1	19288633	19289033
chr1	19312005	19312405
chr1	19312551	19312951
chr1	19311519	19311919
chr1	19322466	19322866
chr1	19341451	19341851
chr1	19376068	19376468
chr1	19390937	19391337
chr1	19391338	19391738
chr1	19398353	19398753
chr1	19403716	19404116
chr1	19414746	19415146
chr1	19418338	19418738
chr1	19435186	19435586
chr1	19436710	19437110
chr1	19441038	19441438
chr1	19448825	19449225
chr1	19453764	19454164
chr1	19454766	19455166
chr1	19468354	19468754
chr1	19469384	19469784
chr1	19477358	19477758
chr1	19477873	19478273
chr1	19478390	19478790
chr1	19485440	19485840
chr1	19496206	19496606
chr1	19495015	19495415
chr1	19495785	19496185
chr1	19505678	19506078
chr1	19505151	19505551
chr1	19511145	19511545
chr1	19528456	19528856
chr1	19533657	19534057
chr1	19579881	19580281
chr1	19581016	19581416
chr1	19596764	19597164
chr1	19597206	19597606
chr1	19596264	19596664
chr1	19644064	19644464
chr1	19643643	19644043
chr1	19645936	19646336
chr1	19651120	19651520
chr1	19659711	19660111
chr1	19703718	19704118
chr1	19704497	19704897
chr1	19715542	19715942
chr1	19799553	19799953
chr1	19800245	19800645
chr1	19798999	19799399
chr1	19811221	19811621
chr1	19882139	19882539
chr1	19882621	19883021
chr1	20059864	20060264
chr1	20081022	20081422
chr1	20080476	20080876
chr1	20100903	20101303
chr1	20152306	20152706
chr1	20153073	20153473
chr1	20153867	20154267
chr1	20164627	20165027
chr1	20171511	20171911
chr1	20174975	20175375
chr1	20179047	20179447
chr1	20185863	20186263
chr1	20185316	20185716
chr1	20191424	20191824
chr1	20195155	20195555
chr1	20212891	20213291
chr1	20376877	20377277
chr1	20493791	20494191
chr1	20497467	20497867
chr1	20507984	20508384
chr1	20507571	20507971
chr1	20522310	20522710
chr1	20558272	20558672
chr1	20575187	20575587
chr1	20597584	20597984
chr1	20633259	20633659
chr1	20633786	20634186
chr1	20661347	20661747
chr1	20661845	20662245
chr1	20660934	20661334
chr1	20682603	20683003
chr1	20685143	20685543
chr1	20685697	20686097
chr1	20696782	20697182
chr1	20696380	20696780
chr1	20715025	20715425
chr1	20717868	20718268
chr1	20717441	20717841
chr1	20732066	20732466
chr1	20733070	20733470
chr1	20732607	20733007
chr1	20786626	20787026
chr1	20787165	20787565
chr1	20786155	20786555
chr1	20840728	20841128
chr1	20851761	20852161
