Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	876789	877189
chr1	877493	877893
chr1	904556	904956
chr1	905227	905627
chr1	910451	910851
chr1	913611	914011
chr1	921026	921426
chr1	923618	924018
chr1	924752	925152
chr1	925504	925904
chr1	933062	933462
chr1	933628	934028
chr1	932647	933047
chr1	940172	940572
chr1	941619	942019
chr1	958627	959027
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	975514	975914
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1021064	1021464
chr1	1024162	1024562
chr1	1024639	1025039
chr1	1025053	1025453
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1041123	1041523
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1125225	1125625
chr1	1130141	1130541
chr1	1132520	1132920
chr1	1136490	1136890
chr1	1137242	1137642
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1143487	1143887
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1164808	1165208
chr1	1173670	1174070
chr1	1174236	1174636
chr1	1199496	1199896
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238097	1238497
chr1	1237396	1237796
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1281628	1282028
chr1	1285602	1286002
chr1	1286011	1286411
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1318218	1318618
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1331024	1331424
chr1	1330623	1331023
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1421191	1421591
chr1	1420695	1421095
chr1	1426913	1427313
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1441519	1441919
chr1	1452325	1452725
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1500741	1501141
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1510924	1511324
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
