Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	923618	924018
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1123807	1124207
chr1	1135415	1135815
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1358538	1358938
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2018516	2018916
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2099166	2099566
chr1	2116052	2116452
chr1	2133092	2133492
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2315069	2315469
chr1	2330341	2330741
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2443837	2444237
chr1	2467212	2467612
chr1	2526086	2526486
chr1	2543436	2543836
chr1	2546010	2546410
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2821904	2822304
chr1	2855740	2856140
chr1	3012471	3012871
chr1	3153334	3153734
chr1	3153870	3154270
chr1	3171029	3171429
chr1	3198864	3199264
chr1	3198276	3198676
chr1	3219178	3219578
chr1	3226907	3227307
chr1	3332010	3332410
chr1	3352427	3352827
chr1	3352896	3353296
chr1	3351992	3352392
chr1	3402247	3402647
chr1	3424688	3425088
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3491213	3491613
chr1	3577320	3577720
chr1	3598110	3598510
chr1	3611516	3611916
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3695606	3696006
chr1	3713155	3713555
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3772849	3773249
chr1	3796350	3796750
chr1	3821052	3821452
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4253943	4254343
chr1	4396514	4396914
chr1	4410333	4410733
chr1	4584451	4584851
chr1	4585204	4585604
chr1	4611582	4611982
chr1	4611989	4612389
chr1	4652551	4652951
chr1	4711486	4711886
chr1	4778181	4778581
chr1	5444341	5444741
chr1	5514546	5514946
chr1	5725325	5725725
chr1	5745095	5745495
chr1	5848625	5849025
chr1	5896646	5897046
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6003795	6004195
chr1	6033989	6034389
chr1	6034441	6034841
chr1	6058577	6058977
chr1	6080432	6080832
chr1	6084005	6084405
chr1	6127691	6128091
chr1	6148649	6149049
chr1	6180155	6180555
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6235789	6236189
chr1	6245934	6246334
chr1	6246686	6247086
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6276388	6276788
chr1	6276843	6277243
chr1	6330327	6330727
chr1	6330758	6331158
chr1	6335856	6336256
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6436920	6437320
chr1	6437322	6437722
chr1	6448556	6448956
chr1	6449034	6449434
chr1	6455141	6455541
chr1	6486438	6486838
chr1	6485795	6486195
chr1	6490418	6490818
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6613905	6614305
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6923975	6924375
chr1	7042507	7042907
chr1	7150888	7151288
chr1	7150405	7150805
chr1	7341461	7341861
chr1	7471872	7472272
chr1	7501143	7501543
chr1	7647226	7647626
chr1	7657623	7658023
chr1	7668456	7668856
chr1	7667531	7667931
chr1	7667934	7668334
chr1	7668951	7669351
chr1	7680260	7680660
