Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	959123	959523
chr1	966792	967192
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1157383	1157783
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1349240	1349640
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1724229	1724629
chr1	1891577	1891977
chr1	1908997	1909397
chr1	1919226	1919626
chr1	2050089	2050489
chr1	2133092	2133492
chr1	2189450	2189850
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2227605	2228005
chr1	2255973	2256373
chr1	2300337	2300737
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2546867	2547267
chr1	2556322	2556722
chr1	2586465	2586865
chr1	2643039	2643439
chr1	3491213	3491613
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3747229	3747629
chr1	3759230	3759630
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3811308	3811708
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	5992321	5992721
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6404647	6405047
chr1	6519988	6520388
chr1	6544850	6545250
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8525898	8526298
chr1	8532382	8532782
chr1	8701225	8701625
chr1	8712265	8712665
chr1	8817516	8817916
chr1	8878566	8878966
chr1	8879028	8879428
chr1	9007710	9008110
chr1	9129424	9129824
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9428798	9429198
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9626958	9627358
chr1	9689295	9689695
chr1	9823910	9824310
chr1	9850854	9851254
chr1	9910340	9910740
chr1	9943211	9943611
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10398739	10399139
chr1	10472384	10472784
chr1	10471880	10472280
chr1	10663622	10664022
chr1	10904809	10905209
chr1	11037601	11038001
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11291651	11292051
chr1	11664560	11664960
chr1	11680995	11681395
chr1	11680518	11680918
chr1	11719740	11720140
chr1	11805894	11806294
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12019746	12020146
chr1	12040649	12041049
chr1	12161828	12162228
chr1	12173684	12174084
chr1	12179015	12179415
chr1	12208838	12209238
chr1	12229816	12230216
chr1	12595872	12596272
chr1	12604317	12604717
chr1	13749127	13749527
chr1	15409642	15410042
chr1	15524814	15525214
chr1	15524173	15524573
chr1	15526481	15526881
chr1	15603462	15603862
chr1	15617135	15617535
chr1	15684816	15685216
chr1	15696895	15697295
chr1	15835770	15836170
chr1	15847453	15847853
chr1	15975918	15976318
chr1	16206483	16206883
chr1	16206895	16207295
chr1	16217306	16217706
chr1	16237027	16237427
chr1	16352308	16352708
chr1	16366909	16367309
chr1	16440459	16440859
chr1	16513928	16514328
chr1	16514336	16514736
chr1	16613406	16613806
chr1	16620980	16621380
chr1	16644525	16644925
chr1	16896037	16896437
chr1	16904723	16905123
chr1	16913793	16914193
chr1	16914258	16914658
chr1	16921692	16922092
chr1	17011769	17012169
chr1	17053975	17054375
chr1	17054382	17054782
chr1	17352801	17353201
chr1	18902685	18903085
chr1	18956612	18957012
chr1	18956131	18956531
chr1	19210151	19210551
chr1	19251352	19251752
chr1	19251840	19252240
chr1	19312005	19312405
chr1	19463132	19463532
chr1	19485440	19485840
chr1	19644064	19644464
chr1	19882139	19882539
chr1	20507984	20508384
chr1	20661347	20661747
chr1	20786626	20787026
chr1	20787165	20787565
chr1	21137328	21137728
chr1	21176769	21177169
chr1	21345374	21345774
chr1	21345785	21346185
chr1	21439890	21440290
chr1	21648316	21648716
chr1	21659188	21659588
chr1	21782997	21783397
chr1	21783447	21783847
chr1	21791666	21792066
chr1	21853007	21853407
chr1	21937257	21937657
chr1	22019014	22019414
chr1	22025261	22025661
chr1	22025738	22026138
chr1	22024774	22025174
chr1	22039797	22040197
chr1	22052433	22052833
chr1	22451625	22452025
chr1	23019200	23019600
chr1	23168684	23169084
chr1	23344243	23344643
chr1	23344784	23345184
chr1	23368186	23368586
chr1	23368715	23369115
chr1	23484554	23484954
chr1	23484147	23484547
chr1	23554823	23555223
chr1	23559368	23559768
chr1	23619724	23620124
chr1	23619304	23619704
chr1	23691544	23691944
chr1	23743188	23743588
chr1	23790920	23791320
chr1	23800672	23801072
chr1	23825269	23825669
chr1	23868161	23868561
chr1	23867747	23868147
chr1	23908930	23909330
chr1	24150443	24150843
chr1	24415476	24415876
chr1	24502691	24503091
chr1	24534968	24535368
chr1	24587197	24587597
chr1	24642938	24643338
chr1	24642481	24642881
chr1	24694268	24694668
chr1	24745017	24745417
chr1	24847935	24848335
chr1	24848369	24848769
chr1	24898100	24898500
chr1	24930187	24930587
chr1	24964964	24965364
chr1	25022398	25022798
chr1	25022839	25023239
chr1	25065870	25066270
chr1	25232363	25232763
chr1	25247356	25247756
chr1	25247771	25248171
chr1	25338130	25338530
chr1	25338673	25339073
chr1	25430570	25430970
chr1	25430046	25430446
chr1	25473635	25474035
chr1	25506890	25507290
chr1	25616445	25616845
chr1	25704364	25704764
chr1	25819736	25820136
chr1	25875364	25875764
chr1	25895360	25895760
chr1	25906297	25906697
chr1	25998011	25998411
chr1	25997550	25997950
chr1	26035268	26035668
chr1	26111548	26111948
chr1	26169671	26170071
chr1	26201238	26201638
chr1	26233903	26234303
chr1	26306492	26306892
chr1	26377971	26378371
chr1	26432033	26432433
chr1	26439267	26439667
chr1	26472936	26473336
chr1	26472213	26472613
chr1	26500178	26500578
chr1	26545607	26546007
chr1	26602348	26602748
chr1	26620750	26621150
chr1	26620332	26620732
chr1	26695470	26695870
chr1	26723413	26723813
chr1	26743993	26744393
chr1	26787723	26788123
chr1	26800136	26800536
chr1	26826459	26826859
chr1	26833534	26833934
chr1	26864982	26865382
chr1	26877957	26878357
chr1	26890074	26890474
chr1	26921457	26921857
chr1	27012759	27013159
chr1	27154960	27155360
chr1	27161637	27162037
chr1	27234259	27234659
chr1	27233853	27234253
chr1	27234686	27235086
chr1	27321947	27322347
chr1	27392327	27392727
chr1	27422048	27422448
chr1	27490010	27490410
chr1	27568358	27568758
chr1	27659942	27660342
chr1	27725600	27726000
chr1	27772930	27773330
chr1	27830576	27830976
chr1	27869037	27869437
chr1	27914543	27914943
chr1	27959752	27960152
chr1	27960213	27960613
chr1	28088524	28088924
chr1	28169320	28169720
chr1	28235866	28236266
chr1	28236297	28236697
chr1	28247115	28247515
chr1	28259239	28259639
chr1	28328758	28329158
chr1	28369475	28369875
chr1	28369986	28370386
chr1	28505723	28506123
chr1	28518017	28518417
chr1	28552785	28553185
chr1	28581741	28582141
chr1	28642923	28643323
chr1	28648463	28648863
chr1	28668527	28668927
chr1	28668979	28669379
chr1	28736645	28737045
chr1	28736227	28736627
chr1	28775104	28775504
chr1	28884959	28885359
chr1	28886871	28887271
chr1	28914259	28914659
chr1	28914707	28915107
chr1	29181810	29182210
chr1	29182253	29182653
chr1	29230780	29231180
chr1	29259911	29260311
chr1	30106154	30106554
chr1	30718080	30718480
chr1	30718494	30718894
chr1	30823987	30824387
chr1	31065574	31065974
chr1	31065996	31066396
chr1	31155338	31155738
chr1	31162657	31163057
chr1	31182328	31182728
chr1	31296741	31297141
chr1	31296325	31296725
chr1	31548872	31549272
chr1	31644736	31645136
chr1	31715597	31715997
chr1	31789222	31789622
chr1	31815877	31816277
chr1	31889233	31889633
chr1	31938249	31938649
chr1	31944272	31944672
chr1	31955991	31956391
chr1	32013513	32013913
chr1	32073037	32073437
chr1	32072629	32073029
chr1	32179460	32179860
chr1	32215609	32216009
chr1	32222164	32222564
chr1	32249933	32250333
chr1	32291808	32292208
chr1	32351338	32351738
chr1	32394314	32394714
chr1	32394851	32395251
chr1	32650870	32651270
chr1	32650388	32650788
chr1	32817273	32817673
chr1	32964710	32965110
chr1	33036756	33037156
chr1	33080888	33081288
chr1	33127229	33127629
chr1	33126819	33127219
chr1	33180711	33181111
chr1	33181908	33182308
chr1	33218735	33219135
chr1	33255880	33256280
chr1	33289542	33289942
chr1	33349821	33350221
chr1	33430914	33431314
chr1	33472306	33472706
chr1	34852651	34853051
chr1	34859602	34860002
chr1	35031541	35031941
chr1	35079145	35079545
chr1	35193048	35193448
chr1	35191922	35192322
chr1	35557532	35557932
chr1	35556969	35557369
chr1	35641377	35641777
chr1	35718679	35719079
chr1	35769837	35770237
chr1	35769301	35769701
chr1	35882944	35883344
chr1	35930895	35931295
chr1	35930494	35930894
chr1	36088641	36089041
chr1	36099562	36099962
chr1	36125029	36125429
chr1	36149389	36149789
chr1	36188132	36188532
chr1	36224090	36224490
chr1	36224495	36224895
chr1	36306816	36307216
chr1	36313154	36313554
chr1	36366089	36366489
chr1	36373782	36374182
chr1	36385861	36386261
chr1	36386407	36386807
chr1	36397732	36398132
chr1	36450333	36450733
chr1	36464212	36464612
chr1	37061923	37062323
chr1	37474287	37474687
chr1	37514598	37514998
chr1	37554135	37554535
chr1	37595806	37596206
chr1	37692154	37692554
chr1	37692556	37692956
chr1	37808023	37808423
chr1	37859472	37859872
chr1	37931647	37932047
chr1	37946880	37947280
chr1	37967376	37967776
chr1	37981026	37981426
chr1	37989929	37990329
chr1	38012442	38012842
chr1	38559447	38559847
chr1	38859648	38860048
chr1	38873241	38873641
chr1	38991008	38991408
chr1	39105162	39105562
chr1	39183690	39184090
chr1	39408600	39409000
chr1	39491376	39491776
chr1	39606156	39606556
chr1	39691250	39691650
chr1	39738646	39739046
chr1	39763625	39764025
chr1	39799194	39799594
chr1	40040405	40040805
chr1	40039827	40040227
chr1	40161124	40161524
chr1	40257857	40258257
chr1	40257298	40257698
chr1	40315272	40315672
chr1	40373462	40373862
chr1	40449890	40450290
chr1	40531391	40531791
chr1	40691934	40692334
chr1	40691437	40691837
chr1	40709052	40709452
chr1	40818606	40819006
chr1	40849982	40850382
chr1	40862259	40862659
chr1	40979463	40979863
chr1	40980045	40980445
chr1	41360930	41361330
chr1	41574084	41574484
chr1	41623005	41623405
chr1	41689636	41690036
chr1	41751294	41751694
chr1	41920020	41920420
chr1	42035823	42036223
chr1	42335086	42335486
chr1	42456316	42456716
chr1	42462969	42463369
chr1	42658150	42658550
chr1	42658595	42658995
chr1	42682114	42682514
chr1	42766942	42767342
chr1	42766535	42766935
chr1	42767504	42767904
chr1	42777857	42778257
chr1	42817183	42817583
chr1	42846331	42846731
chr1	42846755	42847155
chr1	42924187	42924587
chr1	42931802	42932202
chr1	42958756	42959156
chr1	42958072	42958472
chr1	43172120	43172520
chr1	43172745	43173145
chr1	43349335	43349735
chr1	43358672	43359072
chr1	43367916	43368316
chr1	43389665	43390065
chr1	43545761	43546161
chr1	43565634	43566034
chr1	43649835	43650235
chr1	43650237	43650637
chr1	43649372	43649772
chr1	43661296	43661696
chr1	43707251	43707651
chr1	43946457	43946857
chr1	43947055	43947455
chr1	43969686	43970086
chr1	43974691	43975091
chr1	43991400	43991800
chr1	43991903	43992303
chr1	44355123	44355523
chr1	44355537	44355937
chr1	44674375	44674775
chr1	44673975	44674375
chr1	44731212	44731612
chr1	44730783	44731183
chr1	44739536	44739936
chr1	44739981	44740381
chr1	44775336	44775736
chr1	44775912	44776312
chr1	44800041	44800441
chr1	44799632	44800032
chr1	44813670	44814070
chr1	44820060	44820460
chr1	44819561	44819961
chr1	44986444	44986844
chr1	45303530	45303930
chr1	45339836	45340236
chr1	45340282	45340682
chr1	45491062	45491462
chr1	45490633	45491033
chr1	45499948	45500348
chr1	45521790	45522190
chr1	45550588	45550988
chr1	45583275	45583675
chr1	45583776	45584176
chr1	45686991	45687391
chr1	45686418	45686818
chr1	45750511	45750911
chr1	45803354	45803754
chr1	46043562	46043962
chr1	46247406	46247806
chr1	46303116	46303516
chr1	46340524	46340924
chr1	46549573	46549973
chr1	46604112	46604512
chr1	46719017	46719417
chr1	47181097	47181497
chr1	47314105	47314505
chr1	47334056	47334456
chr1	47334546	47334946
chr1	47437520	47437920
chr1	47710487	47710887
chr1	47755413	47755813
chr1	48039730	48040130
chr1	48227517	48227917
chr1	48472082	48472482
chr1	48471668	48472068
chr1	50251791	50252191
chr1	50332963	50333363
chr1	50960056	50960456
chr1	50960522	50960922
chr1	50968409	50968809
chr1	51236059	51236459
chr1	51236673	51237073
chr1	51237094	51237494
chr1	51518625	51519025
chr1	51519235	51519635
chr1	51729419	51729819
chr1	51729861	51730261
chr1	51878666	51879066
chr1	52056026	52056426
chr1	52141848	52142248
chr1	52366213	52366613
chr1	52404325	52404725
chr1	52553319	52553719
chr1	52552912	52553312
chr1	52552490	52552890
chr1	52702909	52703309
chr1	52921528	52921928
chr1	53135392	53135792
chr1	53196575	53196975
chr1	53196127	53196527
chr1	53220447	53220847
chr1	53238378	53238778
chr1	53294479	53294879
chr1	53326112	53326512
chr1	53368000	53368400
chr1	53585140	53585540
chr1	53739103	53739503
chr1	53838403	53838803
chr1	53837900	53838300
chr1	53889652	53890052
chr1	53945752	53946152
chr1	53946364	53946764
chr1	54053296	54053696
chr1	54199937	54200337
chr1	54314824	54315224
chr1	54406263	54406663
chr1	54464560	54464960
chr1	54542008	54542408
chr1	54715575	54715975
chr1	54764433	54764833
chr1	54801137	54801537
chr1	54887071	54887471
chr1	55151162	55151562
chr1	55215187	55215587
chr1	56502597	56502997
chr1	57307377	57307777
chr1	57307783	57308183
chr1	58546613	58547013
chr1	58546093	58546493
chr1	58699920	58700320
chr1	58783935	58784335
chr1	58784444	58784844
chr1	58816250	58816650
chr1	58903581	58903981
chr1	58968243	58968643
chr1	59071978	59072378
chr1	59296700	59297100
chr1	59296295	59296695
chr1	59316676	59317076
chr1	59814443	59814843
chr1	61049832	61050232
chr1	61050456	61050856
chr1	61077873	61078273
chr1	61724956	61725356
chr1	62436373	62436773
chr1	62436820	62437220
chr1	62435763	62436163
chr1	62783897	62784297
chr1	62783324	62783724
chr1	63367356	63367756
chr1	63523076	63523476
chr1	63523646	63524046
chr1	63691939	63692339
chr1	63773753	63774153
chr1	63828318	63828718
chr1	64469956	64470356
chr1	64864156	64864556
chr1	64966376	64966776
chr1	64965824	64966224
chr1	65002504	65002904
chr1	65075353	65075753
chr1	65254224	65254624
chr1	65420183	65420583
chr1	65419734	65420134
chr1	65420630	65421030
chr1	66335970	66336370
chr1	66533127	66533527
chr1	66924729	66925129
chr1	66925158	66925558
chr1	66929974	66930374
chr1	66930496	66930896
chr1	67054222	67054622
chr1	67053523	67053923
chr1	67333002	67333402
chr1	67430257	67430657
chr1	67430658	67431058
chr1	67500415	67500815
chr1	67685008	67685408
chr1	67753742	67754142
chr1	68496967	68497367
chr1	68496498	68496898
chr1	69567257	69567657
chr1	69566841	69567241
chr1	70205446	70205846
chr1	70205013	70205413
chr1	70221175	70221575
chr1	70221622	70222022
chr1	70354568	70354968
chr1	70410957	70411357
chr1	70410432	70410832
chr1	71047630	71048030
chr1	71081114	71081514
chr1	71080608	71081008
chr1	71989906	71990306
chr1	72282728	72283128
chr1	74198003	74198403
chr1	74197567	74197967
chr1	74248146	74248546
chr1	74732935	74733335
chr1	74733672	74734072
chr1	75785980	75786380
chr1	76074456	76074856
chr1	77421498	77421898
chr1	77431338	77431738
chr1	77682463	77682863
chr1	77683330	77683730
chr1	77759684	77760084
chr1	77759037	77759437
chr1	77779439	77779839
chr1	77978987	77979387
chr1	77978110	77978510
chr1	78004661	78005061
chr1	78114372	78114772
chr1	82980935	82981335
chr1	84077803	84078203
chr1	84144101	84144501
chr1	84479350	84479750
chr1	84506068	84506468
chr1	84574240	84574640
chr1	84690379	84690779
chr1	84854355	84854755
chr1	84862906	84863306
chr1	84944930	84945330
chr1	85062043	85062443
chr1	85061611	85062011
chr1	85259509	85259909
chr1	85276485	85276885
chr1	85308121	85308521
chr1	85708266	85708666
chr1	85707788	85708188
chr1	85822119	85822519
chr1	86320983	86321383
chr1	86396162	86396562
chr1	86396568	86396968
chr1	86419292	86419692
chr1	86704333	86704733
chr1	86704893	86705293
chr1	86914263	86914663
chr1	86913716	86914116
chr1	87328265	87328665
chr1	87328669	87329069
chr1	87902825	87903225
chr1	88683966	88684366
chr1	88684379	88684779
chr1	88891397	88891797
chr1	88992755	88993155
chr1	88992332	88992732
chr1	89198275	89198675
chr1	89524620	89525020
chr1	89762950	89763350
chr1	89820754	89821154
chr1	89821655	89822055
chr1	89843784	89844184
chr1	89994886	89995286
chr1	89995289	89995689
chr1	90851456	90851856
chr1	91021878	91022278
chr1	91500631	91501031
chr1	91556103	91556503
chr1	91555649	91556049
chr1	91885991	91886391
chr1	92080288	92080688
chr1	92080691	92081091
chr1	92298794	92299194
chr1	92731017	92731417
chr1	92784989	92785389
chr1	92831791	92832191
chr1	92961387	92961787
chr1	93079035	93079435
chr1	93078627	93079027
chr1	93180337	93180737
chr1	93345654	93346054
chr1	93447874	93448274
chr1	93847371	93847771
chr1	93847821	93848221
chr1	93846953	93847353
chr1	93879032	93879432
chr1	93909377	93909777
chr1	93909830	93910230
chr1	94237442	94237842
chr1	94418134	94418534
chr1	94541726	94542126
chr1	94854383	94854783
chr1	94926932	94927332
chr1	94962864	94963264
chr1	95043374	95043774
chr1	95072770	95073170
chr1	95233947	95234347
chr1	96721504	96721904
chr1	96722021	96722421
chr1	97920887	97921287
chr1	97921303	97921703
chr1	97920465	97920865
chr1	98054116	98054516
chr1	98661450	98661850
chr1	99849870	99850270
chr1	100037863	100038263
chr1	100132837	100133237
chr1	100132434	100132834
chr1	100249705	100250105
chr1	100265990	100266390
chr1	100266560	100266960
chr1	100351476	100351876
chr1	100352120	100352520
chr1	100530838	100531238
chr1	100713027	100713427
chr1	100895855	100896255
chr1	100949477	100949877
chr1	101025645	101026045
chr1	101035589	101035989
chr1	101111982	101112382
chr1	101257860	101258260
chr1	101357371	101357771
chr1	103524949	103525349
chr1	107056469	107056869
chr1	107964405	107964805
chr1	108200146	108200546
chr1	108559806	108560206
chr1	108646581	108646981
chr1	108660943	108661343
chr1	108661343	108661743
chr1	108692070	108692470
chr1	108692613	108693013
chr1	108746411	108746811
chr1	108746813	108747213
chr1	108876734	108877134
chr1	108963292	108963692
chr1	109041932	109042332
chr1	109075834	109076234
chr1	109090503	109090903
chr1	109099903	109100303
chr1	109213664	109214064
chr1	109263586	109263986
chr1	109283019	109283419
chr1	109397850	109398250
chr1	109426323	109426723
chr1	109483713	109484113
chr1	109483282	109483682
chr1	109493832	109494232
chr1	109494294	109494694
chr1	109509563	109509963
chr1	109532808	109533208
chr1	109548365	109548765
chr1	109620833	109621233
chr1	109643301	109643701
chr1	109667797	109668197
chr1	109740162	109740562
chr1	109776816	109777216
chr1	109790777	109791177
chr1	109906168	109906568
chr1	109984496	109984896
chr1	110034379	110034779
chr1	110209960	110210360
chr1	110339088	110339488
chr1	110338683	110339083
chr1	110338276	110338676
chr1	110407537	110407937
chr1	110407129	110407529
chr1	110466341	110466741
chr1	110619339	110619739
chr1	110619758	110620158
chr1	110787176	110787576
chr1	110875307	110875707
chr1	110963825	110964225
chr1	111139957	111140357
chr1	111216101	111216501
chr1	111346373	111346773
chr1	111345969	111346369
chr1	111422957	111423357
chr1	111449126	111449526
chr1	111449542	111449942
chr1	111471050	111471450
chr1	111507704	111508104
chr1	111619546	111619946
chr1	111755442	111755842
chr1	111755967	111756367
chr1	112390801	112391201
chr1	112395961	112396361
chr1	112466087	112466487
chr1	112619578	112619978
chr1	112675113	112675513
chr1	112715234	112715634
chr1	112715654	112716054
chr1	112956092	112956492
chr1	112956517	112956917
chr1	113072919	113073319
chr1	113073405	113073805
chr1	113390154	113390554
chr1	113759335	113759735
chr1	113783504	113783904
chr1	113792459	113792859
chr1	113812225	113812625
chr1	113811810	113812210
chr1	113812729	113813129
chr1	113904966	113905366
chr1	113904485	113904885
chr1	113929324	113929724
chr1	113928897	113929297
chr1	113930515	113930915
chr1	114341322	114341722
chr1	114511050	114511450
chr1	114581525	114581925
chr1	114716610	114717010
chr1	114757856	114758256
chr1	114757371	114757771
chr1	114780481	114780881
chr1	115098763	115099163
chr1	116006642	116007042
chr1	116139026	116139426
chr1	116168349	116168749
chr1	116174348	116174748
chr1	116372948	116373348
chr1	116418408	116418808
chr1	116504409	116504809
chr1	116570281	116570681
chr1	116987189	116987589
chr1	117060004	117060404
chr1	117059251	117059651
chr1	117121649	117122049
chr1	117128609	117129009
chr1	117366620	117367020
chr1	117367177	117367577
chr1	117605718	117606118
chr1	117929502	117929902
chr1	119140499	119140899
chr1	119139881	119140281
chr1	120068960	120069360
chr1	120176293	120176693
chr1	120844155	120844555
chr1	121519425	121519825
chr1	121518934	121519334
chr1	143729710	143730110
chr1	143729291	143729691
chr1	143884498	143884898
chr1	143972085	143972485
chr1	144998682	144999082
chr1	145505753	145506153
chr1	145607750	145608150
chr1	145823865	145824265
chr1	145845444	145845844
chr1	145858899	145859299
chr1	145859658	145860058
chr1	145918511	145918911
chr1	145927331	145927731
chr1	145964470	145964870
chr1	145979416	145979816
chr1	145996484	145996884
chr1	145997096	145997496
chr1	146036882	146037282
chr1	147172450	147172850
chr1	147242440	147242840
chr1	147242900	147243300
chr1	147494976	147495376
chr1	147599574	147599974
chr1	147641978	147642378
chr1	147648257	147648657
chr1	147670411	147670811
chr1	147928160	147928560
chr1	148748836	148749236
chr1	148844191	148844591
chr1	148952204	148952604
chr1	148951791	148952191
chr1	149163044	149163444
chr1	149812232	149812632
chr1	149886558	149886958
chr1	149887884	149888284
chr1	149899360	149899760
chr1	149899770	149900170
chr1	149927663	149928063
chr1	150067505	150067905
chr1	150175958	150176358
chr1	150213529	150213929
chr1	150235949	150236349
chr1	150268882	150269282
chr1	150282202	150282602
chr1	150321283	150321683
chr1	150363843	150364243
chr1	150487144	150487544
chr1	150515458	150515858
chr1	150548792	150549192
chr1	150561984	150562384
chr1	150562684	150563084
chr1	150579500	150579900
chr1	150579087	150579487
chr1	150629476	150629876
chr1	150629052	150629452
chr1	150697125	150697525
chr1	150876562	150876962
chr1	150926061	150926461
chr1	150926478	150926878
chr1	151008211	151008611
chr1	151024535	151024935
chr1	151047589	151047989
chr1	151059447	151059847
chr1	151070955	151071355
chr1	151131223	151131623
chr1	151146537	151146937
chr1	151156421	151156821
chr1	151165782	151166182
chr1	151189991	151190391
chr1	151198279	151198679
chr1	151254520	151254920
chr1	151281922	151282322
chr1	151281257	151281657
chr1	151327520	151327920
chr1	151347135	151347535
chr1	151347561	151347961
chr1	151399278	151399678
chr1	151511120	151511520
chr1	151540030	151540430
chr1	151611750	151612150
chr1	151790374	151790774
chr1	151789967	151790367
chr1	151839698	151840098
chr1	151909341	151909741
chr1	152013631	152014031
chr1	152047986	152048386
chr1	153545007	153545407
chr1	153633760	153634160
chr1	153634223	153634623
chr1	153658457	153658857
chr1	153670872	153671272
chr1	153727669	153728069
chr1	153775960	153776360
chr1	153775538	153775938
chr1	153783581	153783981
chr1	153789530	153789930
chr1	153922894	153923294
chr1	153923309	153923709
chr1	153945111	153945511
chr1	153958468	153958868
chr1	153963432	153963832
chr1	153967565	153967965
chr1	153977490	153977890
chr1	153977073	153977473
chr1	153990491	153990891
chr1	154157704	154158104
chr1	154183062	154183462
chr1	154220536	154220936
chr1	154272348	154272748
chr1	154405153	154405553
chr1	154405572	154405972
chr1	154427500	154427900
chr1	154558711	154559111
chr1	154608023	154608423
chr1	154627780	154628180
chr1	154748016	154748416
chr1	154791194	154791594
chr1	154870198	154870598
chr1	154878440	154878840
chr1	154936782	154937182
chr1	154955982	154956382
chr1	154974340	154974740
chr1	154974740	154975140
chr1	154983012	154983412
chr1	155002026	155002426
chr1	155051004	155051404
chr1	155070877	155071277
chr1	155085252	155085652
chr1	155084673	155085073
chr1	155135598	155135998
chr1	155140353	155140753
chr1	155194632	155195032
chr1	155227410	155227810
chr1	155227812	155228212
chr1	155244542	155244942
chr1	155250663	155251063
chr1	155255313	155255713
chr1	155262163	155262563
chr1	155273304	155273704
chr1	155308531	155308931
chr1	155324241	155324641
chr1	155323655	155324055
chr1	155376841	155377241
chr1	155518929	155519329
chr1	155562727	155563127
chr1	155609901	155610301
chr1	155688557	155688957
chr1	155745462	155745862
chr1	155859237	155859637
chr1	155911205	155911605
chr1	155934272	155934672
chr1	156020789	156021189
chr1	156054539	156054939
chr1	156082313	156082713
chr1	156090706	156091106
chr1	156106333	156106733
chr1	156105872	156106272
chr1	156193784	156194184
chr1	156212759	156213159
chr1	156245632	156246032
chr1	156282692	156283092
