Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	842807	843207
chr1	869700	870100
chr1	959123	959523
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1024162	1024562
chr1	1024639	1025039
chr1	1032988	1033388
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1116020	1116420
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1250867	1251267
chr1	1262077	1262477
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1293831	1294231
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1348840	1349240
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1715061	1715461
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2290112	2290512
chr1	2294691	2295091
chr1	2300337	2300737
chr1	2345663	2346063
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	3139944	3140344
chr1	3166710	3167110
chr1	3491213	3491613
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3625550	3625950
chr1	3649926	3650326
chr1	3683980	3684380
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3759753	3760153
chr1	3772389	3772789
chr1	3774794	3775194
chr1	3775443	3775843
chr1	3793537	3793937
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3899597	3899997
chr1	3901210	3901610
chr1	4328412	4328812
chr1	4603391	4603791
chr1	4652551	4652951
chr1	5339119	5339519
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6209177	6209577
chr1	6209591	6209991
chr1	6235789	6236189
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6404647	6405047
chr1	6426295	6426695
chr1	6429641	6430041
chr1	6440254	6440654
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
