Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	858638	859038
chr1	869724	870124
chr1	876148	876548
chr1	897595	897995
chr1	898674	899074
chr1	904538	904938
chr1	910005	910405
chr1	923663	924063
chr1	940125	940525
chr1	941634	942034
chr1	940684	941084
chr1	941110	941510
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	976780	977180
chr1	977967	978367
chr1	984123	984523
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1166164	1166564
chr1	1176205	1176605
chr1	1201378	1201778
chr1	1200845	1201245
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1208874	1209274
chr1	1217872	1218272
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1246564	1246964
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1291083	1291483
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1308961	1309361
chr1	1307400	1307800
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1333464	1333864
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1352117	1352517
chr1	1351616	1352016
chr1	1358419	1358819
chr1	1360504	1360904
chr1	1359717	1360117
chr1	1359277	1359677
