Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	923618	924018
chr1	959123	959523
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1006497	1006897
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1124695	1125095
chr1	1125225	1125625
chr1	1130141	1130541
chr1	1136490	1136890
chr1	1137242	1137642
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1150125	1150525
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1159393	1159793
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1238097	1238497
chr1	1244228	1244628
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1291818	1292218
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1337749	1338149
chr1	1349240	1349640
chr1	1358538	1358938
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1419991	1420391
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1543323	1543723
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1627247	1627647
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1684113	1684513
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778747	1779147
chr1	1782933	1783333
chr1	1846985	1847385
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1881855	1882255
chr1	1890939	1891339
chr1	1894375	1894775
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1942846	1943246
chr1	2050089	2050489
chr1	2072061	2072461
chr1	2092206	2092606
chr1	2091601	2092001
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2137455	2137855
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2248158	2248558
chr1	2248697	2249097
chr1	2250809	2251209
chr1	2251753	2252153
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2526086	2526486
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2546465	2546865
chr1	2555593	2555993
chr1	2556931	2557331
chr1	2564958	2565358
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2632965	2633365
chr1	2643039	2643439
chr1	2866343	2866743
chr1	3012471	3012871
chr1	3017336	3017736
chr1	3063566	3063966
chr1	3132281	3132681
chr1	3222183	3222583
chr1	3250095	3250495
chr1	3313103	3313503
chr1	3319910	3320310
chr1	3320512	3320912
chr1	3323137	3323537
chr1	3349092	3349492
chr1	3359616	3360016
chr1	3423382	3423782
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3460043	3460443
chr1	3471295	3471695
chr1	3480337	3480737
chr1	3491213	3491613
chr1	3531251	3531651
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3625550	3625950
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3675332	3675732
chr1	3697828	3698228
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3869695	3870095
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4527718	4528118
chr1	5099544	5099944
chr1	5447722	5448122
chr1	5447210	5447610
chr1	5551862	5552262
chr1	5632214	5632614
chr1	5658650	5659050
chr1	5688475	5688875
chr1	5728892	5729292
chr1	5745783	5746183
chr1	5949306	5949706
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6034441	6034841
chr1	6045475	6045875
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6209177	6209577
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6269627	6270027
chr1	6270027	6270427
chr1	6271525	6271925
chr1	6276388	6276788
chr1	6281773	6282173
chr1	6300328	6300728
chr1	6300848	6301248
chr1	6325492	6325892
chr1	6343478	6343878
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6420599	6420999
chr1	6440254	6440654
chr1	6447730	6448130
chr1	6448152	6448552
chr1	6451024	6451424
chr1	6471449	6471849
chr1	6472065	6472465
chr1	6489032	6489432
chr1	6490418	6490818
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6582356	6582756
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6822473	6822873
chr1	6823078	6823478
chr1	6962595	6962995
chr1	6962190	6962590
chr1	7266047	7266447
chr1	7278064	7278464
chr1	7367272	7367672
chr1	7510354	7510754
chr1	7550971	7551371
chr1	7572725	7573125
chr1	7645534	7645934
chr1	7667531	7667931
chr1	7678752	7679152
chr1	7680260	7680660
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7783925	7784325
chr1	7885494	7885894
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8004791	8005191
chr1	8005193	8005593
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8061234	8061634
chr1	8077206	8077606
chr1	8094407	8094807
chr1	8097390	8097790
chr1	8169724	8170124
chr1	8174780	8175180
chr1	8259029	8259429
chr1	8293116	8293516
chr1	8424538	8424938
chr1	8463127	8463527
chr1	8463611	8464011
chr1	8525898	8526298
chr1	8703137	8703537
