Chr	start	end	Gene_name
chr10	69448	89448	PTEN
chr20	50899791	50919791	ADNP
chr20	50921437	50941437	ADNP
chr10	87853624	87873624	PTEN
chr6	156766025	156786025	ARID1B
chr6	156767377	156787377	ARID1B
chr6	157026426	157046426	ARID1B
chr1	151432205	151452205	POGZ
chr1	151449494	151469494	POGZ
chr10	28522778	28542778	WAC
chr10	28523117	28543117	WAC
chr12	13971602	13991602	GRIN2B
chr6	4858789	4878789	SYNGAP1
chr6	33410064	33430064	SYNGAP1
chr2	165229413	165249413	SCN2A
chr2	165231059	165251059	SCN2A
chr2	165284054	165304054	SCN2A
chr3	9387614	9407614	SETD5
chr3	10982747	11002747	SLC6A1
chr17	7824216	7844216	KDM6B
chr17	7829916	7849916	KDM6B
chr21	37355572	37375572	DYRK1A
chr21	37356072	37376072	DYRK1A
chr21	37356772	37376772	DYRK1A
chr21	37357556	37377556	DYRK1A
chr21	37408904	37428904	DYRK1A
chr21	37410298	37430298	DYRK1A
chr3	71054924	71074924	FOXP1
chr3	71120586	71140586	FOXP1
chr3	71122197	71142197	FOXP1
chr3	71235077	71255077	FOXP1
chr3	71294771	71314771	FOXP1
chr3	71533557	71553557	FOXP1
chr3	71573728	71593728	FOXP1
chr3	71573978	71593978	FOXP1
chr15	92890323	92910323	CHD2
chr7	152426003	152446003	KMT2C
chr7	100684250	100704250	GIGYF1
chr2	25242131	25262131	DNMT3A
chr2	25242263	25262263	DNMT3A
chr2	25242315	25262315	DNMT3A
chr2	25331925	25351925	DNMT3A
chr2	25332483	25352483	DNMT3A
chr2	25332590	25352590	DNMT3A
chr22	-1084	18916	SHANK3
chr22	50662822	50682822	SHANK3
chr14	21427275	21447275	CHD8
chr14	21446123	21466123	CHD8
chr2	148011010	148031010	MBD5
chr2	148011090	148031090	MBD5
chr2	32053555	32073555	SPAST
chr14	77018708	77038708	IRF2BPL
chr2	2314345	2334345	MYT1L
chr2	2314689	2334689	MYT1L
chr2	2316311	2336311	MYT1L
chr2	2321275	2341275	MYT1L
chr2	229911679	229931679	TRIP12
chr2	229911789	229931789	TRIP12
chr2	229912009	229932009	TRIP12
chr2	229913186	229933186	TRIP12
chr2	60543498	60563498	BCL11A
chr2	60543654	60563654	BCL11A
chr4	139291504	139311504	NAA15
chr5	14133341	14153341	TRIO
chr1	155552803	155572803	ASH1L
chr4	112695621	112715621	ANK2
chr4	112808104	112828104	ANK2
chr4	112808658	112828658	ANK2
chr4	112850986	112870986	ANK2
chr4	113039413	113059413	ANK2
chr4	113039652	113059652	ANK2
chr4	113107008	113127008	ANK2
chr4	113135618	113155618	ANK2
chr4	113282986	113302986	ANK2
chr4	113325963	113345963	ANK2
chr2	49964166	49984166	NRXN1
chr2	50337807	50357807	NRXN1
chr2	51022132	51042132	NRXN1
chr21	40837158	40857158	DSCAM
chr11	70651841	70671841	SHANK2
chr11	70816894	70836894	SHANK2
