Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	921026	921426
chr1	923618	924018
chr1	935810	936210
chr1	941619	942019
chr1	959123	959523
chr1	960370	960770
chr1	975991	976391
chr1	999961	1000361
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1173670	1174070
chr1	1185182	1185582
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1274441	1274841
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1359639	1360039
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1421191	1421591
chr1	1420695	1421095
chr1	1426913	1427313
chr1	1432558	1432958
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2018922	2019322
chr1	2032190	2032590
chr1	2031726	2032126
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2156800	2157200
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2336069	2336469
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2432269	2432669
chr1	2431505	2431905
chr1	2446479	2446879
chr1	2452211	2452611
chr1	2452658	2453058
chr1	2459821	2460221
chr1	2469222	2469622
chr1	2470498	2470898
chr1	2470917	2471317
chr1	2499902	2500302
chr1	2505114	2505514
chr1	2526086	2526486
chr1	2532836	2533236
chr1	2546010	2546410
chr1	2569004	2569404
chr1	2586465	2586865
chr1	2587152	2587552
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2772312	2772712
chr1	2786611	2787011
chr1	2803820	2804220
chr1	2821904	2822304
chr1	2882909	2883309
chr1	2905948	2906348
chr1	3105444	3105844
chr1	3125675	3126075
chr1	3170498	3170898
chr1	3217104	3217504
chr1	3226907	3227307
chr1	3283964	3284364
chr1	3352427	3352827
chr1	3360033	3360433
chr1	3394021	3394421
chr1	3410103	3410503
chr1	3424688	3425088
chr1	3441350	3441750
chr1	3453096	3453496
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3545728	3546128
chr1	3573515	3573915
chr1	3590325	3590725
chr1	3590771	3591171
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3652223	3652623
chr1	3668812	3669212
chr1	3674595	3674995
chr1	3674129	3674529
chr1	3683980	3684380
chr1	3695606	3696006
chr1	3719256	3719656
chr1	3732619	3733019
chr1	3733040	3733440
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3821052	3821452
chr1	3821452	3821852
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3978932	3979332
chr1	4071646	4072046
chr1	4108742	4109142
chr1	4109288	4109688
chr1	4253943	4254343
chr1	4517351	4517751
chr1	4709693	4710093
chr1	4760439	4760839
chr1	4759823	4760223
chr1	4826033	4826433
chr1	4837197	4837597
chr1	5099108	5099508
chr1	5099544	5099944
chr1	5109604	5110004
chr1	5231494	5231894
chr1	5311588	5311988
chr1	5311995	5312395
chr1	5349475	5349875
chr1	5385194	5385594
chr1	5430811	5431211
chr1	5456005	5456405
chr1	5456426	5456826
chr1	5479937	5480337
chr1	5525977	5526377
chr1	5652205	5652605
chr1	5719172	5719572
chr1	5718693	5719093
chr1	5745783	5746183
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5793575	5793975
chr1	5830704	5831104
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6033989	6034389
chr1	6034441	6034841
chr1	6052872	6053272
chr1	6053346	6053746
chr1	6127691	6128091
chr1	6148649	6149049
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6205137	6205537
chr1	6209177	6209577
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6261672	6262072
chr1	6335856	6336256
chr1	6343478	6343878
chr1	6378090	6378490
chr1	6385580	6385980
chr1	6384947	6385347
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6420599	6420999
chr1	6420054	6420454
chr1	6459873	6460273
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6602781	6603181
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6897157	6897557
chr1	6956446	6956846
chr1	6962190	6962590
chr1	7052682	7053082
chr1	7070377	7070777
chr1	7098470	7098870
chr1	7110330	7110730
chr1	7117520	7117920
chr1	7207916	7208316
chr1	7231932	7232332
chr1	7248135	7248535
chr1	7478173	7478573
chr1	7495939	7496339
chr1	7516407	7516807
chr1	7557959	7558359
chr1	7558487	7558887
chr1	7668456	7668856
chr1	7669468	7669868
chr1	7667934	7668334
chr1	7668951	7669351
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7728059	7728459
chr1	7727512	7727912
chr1	7752811	7753211
chr1	7752405	7752805
chr1	7771061	7771461
chr1	7783925	7784325
chr1	7902728	7903128
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	7982272	7982672
chr1	8004248	8004648
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8169724	8170124
chr1	8217105	8217505
chr1	8266424	8266824
chr1	8317872	8318272
chr1	8382237	8382637
chr1	8424024	8424424
chr1	8423531	8423931
chr1	8438886	8439286
chr1	8525898	8526298
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8844726	8845126
chr1	8848788	8849188
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8889940	8890340
chr1	8914386	8914786
chr1	9005078	9005478
chr1	9039114	9039514
chr1	9110747	9111147
chr1	9129424	9129824
chr1	9181252	9181652
chr1	9198629	9199029
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9250033	9250433
chr1	9267052	9267452
chr1	9280352	9280752
chr1	9292657	9293057
chr1	9322793	9323193
chr1	9371529	9371929
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9455775	9456175
chr1	9495233	9495633
chr1	9539187	9539587
chr1	9539699	9540099
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9626958	9627358
chr1	9651974	9652374
chr1	9689295	9689695
chr1	9724980	9725380
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9823497	9823897
chr1	9823075	9823475
chr1	9835784	9836184
chr1	9836216	9836616
chr1	9836774	9837174
chr1	9841871	9842271
chr1	9867459	9867859
chr1	9874857	9875257
chr1	9884038	9884438
chr1	9891275	9891675
chr1	9892516	9892916
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9943211	9943611
chr1	9943670	9944070
chr1	9950335	9950735
chr1	9996968	9997368
chr1	10022028	10022428
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10179314	10179714
chr1	10204345	10204745
chr1	10210279	10210679
chr1	10209743	10210143
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10398195	10398595
chr1	10430528	10430928
chr1	10472384	10472784
chr1	10471880	10472280
chr1	10474719	10475119
chr1	10475140	10475540
chr1	10494629	10495029
chr1	10507407	10507807
chr1	10518950	10519350
chr1	10540587	10540987
chr1	10555647	10556047
chr1	10598159	10598559
chr1	10620807	10621207
chr1	10630095	10630495
chr1	10640295	10640695
chr1	10642494	10642894
chr1	10651341	10651741
chr1	10658398	10658798
chr1	10663622	10664022
chr1	10706452	10706852
chr1	10714623	10715023
chr1	10728998	10729398
chr1	10733895	10734295
chr1	10753334	10753734
chr1	10755908	10756308
chr1	10788615	10789015
chr1	10793931	10794331
chr1	10796490	10796890
chr1	10813774	10814174
chr1	10835874	10836274
chr1	10867075	10867475
chr1	10867943	10868343
chr1	10888715	10889115
chr1	10901241	10901641
chr1	10911203	10911603
chr1	10941958	10942358
chr1	10960964	10961364
chr1	10961416	10961816
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11099207	11099607
chr1	11199302	11199702
chr1	11262488	11262888
chr1	11262018	11262418
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11320153	11320553
chr1	11339877	11340277
chr1	11339417	11339817
chr1	11355528	11355928
chr1	11355938	11356338
chr1	11355054	11355454
chr1	11358998	11359398
chr1	11376991	11377391
chr1	11397458	11397858
chr1	11413805	11414205
chr1	11422647	11423047
chr1	11447842	11448242
chr1	11454124	11454524
chr1	11458999	11459399
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11499867	11500267
chr1	11563550	11563950
chr1	11594155	11594555
chr1	11626583	11626983
chr1	11642413	11642813
chr1	11663993	11664393
chr1	11664982	11665382
chr1	11680995	11681395
chr1	11681451	11681851
chr1	11680518	11680918
chr1	11691345	11691745
chr1	11690662	11691062
chr1	11700677	11701077
chr1	11719740	11720140
chr1	11719266	11719666
chr1	11735862	11736262
chr1	11736334	11736734
chr1	11785122	11785522
chr1	11784594	11784994
chr1	11803469	11803869
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11838637	11839037
chr1	11880825	11881225
chr1	11907679	11908079
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11925843	11926243
chr1	11934447	11934847
chr1	11951902	11952302
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12167753	12168153
chr1	12167210	12167610
chr1	12184259	12184659
chr1	12208838	12209238
chr1	12229816	12230216
chr1	12433373	12433773
chr1	12460885	12461285
chr1	12478212	12478612
chr1	12478634	12479034
chr1	12510337	12510737
chr1	12539932	12540332
chr1	12540356	12540756
chr1	12595872	12596272
chr1	12618173	12618573
chr1	12658955	12659355
chr1	13585587	13585987
chr1	13687167	13687567
chr1	13700085	13700485
chr1	13700635	13701035
chr1	13726351	13726751
chr1	13749127	13749527
chr1	13748680	13749080
chr1	13791125	13791525
chr1	13813611	13814011
chr1	13892899	13893299
chr1	13893320	13893720
chr1	13960363	13960763
chr1	14113851	14114251
chr1	14142378	14142778
chr1	14142778	14143178
chr1	14263241	14263641
chr1	14598510	14598910
chr1	14625394	14625794
chr1	14659925	14660325
chr1	14887941	14888341
chr1	14895170	14895570
chr1	14924428	14924828
chr1	14944663	14945063
chr1	14945237	14945637
chr1	15027515	15027915
chr1	15128495	15128895
chr1	15139664	15140064
chr1	15140083	15140483
chr1	15153482	15153882
chr1	15152987	15153387
chr1	15247018	15247418
chr1	15247494	15247894
chr1	15272470	15272870
chr1	15323511	15323911
chr1	15323044	15323444
chr1	15326549	15326949
chr1	15409642	15410042
chr1	15408966	15409366
chr1	15431125	15431525
chr1	15432267	15432667
chr1	15469829	15470229
chr1	15489092	15489492
chr1	15488619	15489019
chr1	15524814	15525214
chr1	15524173	15524573
chr1	15525238	15525638
chr1	15526481	15526881
chr1	15603462	15603862
chr1	15603003	15603403
chr1	15617135	15617535
chr1	15616706	15617106
chr1	15693362	15693762
chr1	15723818	15724218
chr1	15741370	15741770
chr1	15757626	15758026
chr1	15765554	15765954
chr1	15800455	15800855
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15835287	15835687
chr1	15836192	15836592
chr1	15847453	15847853
chr1	15886291	15886691
chr1	15975918	15976318
chr1	15975467	15975867
chr1	16009035	16009435
chr1	16026625	16027025
chr1	16032817	16033217
chr1	16039893	16040293
chr1	16048441	16048841
chr1	16056051	16056451
chr1	16077417	16077817
chr1	16111673	16112073
chr1	16115941	16116341
chr1	16146282	16146682
chr1	16151082	16151482
chr1	16153942	16154342
chr1	16155921	16156321
chr1	16164098	16164498
chr1	16174862	16175262
chr1	16189846	16190246
chr1	16190292	16190692
chr1	16206483	16206883
chr1	16206895	16207295
chr1	16216142	16216542
chr1	16217306	16217706
chr1	16217728	16218128
chr1	16226844	16227244
chr1	16237027	16237427
chr1	16236612	16237012
chr1	16244368	16244768
chr1	16243896	16244296
chr1	16352308	16352708
chr1	16351733	16352133
chr1	16366909	16367309
chr1	16367310	16367710
chr1	16367727	16368127
chr1	16398539	16398939
chr1	16440459	16440859
chr1	16499082	16499482
chr1	16498605	16499005
chr1	16499595	16499995
chr1	16513928	16514328
chr1	16514336	16514736
chr1	16591738	16592138
chr1	16603721	16604121
chr1	16613406	16613806
chr1	16612860	16613260
chr1	16619703	16620103
chr1	16620980	16621380
chr1	16644525	16644925
chr1	16693650	16694050
chr1	16703141	16703541
chr1	16706396	16706796
chr1	16709747	16710147
chr1	16872421	16872821
chr1	16889338	16889738
chr1	16888737	16889137
chr1	16895500	16895900
chr1	16896037	16896437
chr1	16904723	16905123
chr1	16913793	16914193
chr1	16914258	16914658
chr1	16921692	16922092
chr1	16951661	16952061
chr1	16960654	16961054
chr1	16978674	16979074
chr1	16978193	16978593
chr1	16986941	16987341
chr1	17011769	17012169
chr1	17011270	17011670
chr1	17053975	17054375
chr1	17054382	17054782
chr1	17119321	17119721
chr1	17118828	17119228
chr1	17125745	17126145
chr1	17236838	17237238
chr1	17239387	17239787
chr1	17245190	17245590
chr1	17406112	17406512
chr1	17437475	17437875
chr1	17439615	17440015
chr1	17502319	17502719
chr1	17540274	17540674
chr1	17540761	17541161
chr1	17551943	17552343
chr1	17588140	17588540
chr1	17606816	17607216
chr1	17645017	17645417
chr1	17671247	17671647
chr1	17673234	17673634
chr1	17673643	17674043
chr1	17682396	17682796
chr1	17688219	17688619
chr1	17688733	17689133
chr1	17733598	17733998
chr1	17744630	17745030
chr1	17773582	17773982
chr1	17844320	17844720
chr1	17919860	17920260
chr1	18080510	18080910
chr1	18107422	18107822
chr1	18149050	18149450
chr1	18191415	18191815
chr1	18199491	18199891
chr1	18211767	18212167
chr1	18225175	18225575
chr1	18234746	18235146
chr1	18256283	18256683
chr1	18256825	18257225
chr1	18279531	18279931
chr1	18385504	18385904
chr1	18549930	18550330
chr1	18575581	18575981
chr1	18637719	18638119
chr1	18723991	18724391
chr1	18875200	18875600
chr1	18874685	18875085
chr1	18902685	18903085
chr1	18913029	18913429
chr1	18922273	18922673
chr1	18923597	18923997
chr1	18938381	18938781
chr1	18949025	18949425
chr1	18956612	18957012
chr1	18957102	18957502
chr1	18989474	18989874
chr1	18989926	18990326
chr1	19007447	19007847
chr1	19028035	19028435
chr1	19036038	19036438
chr1	19046628	19047028
chr1	19067041	19067441
chr1	19096212	19096612
chr1	19210151	19210551
chr1	19210641	19211041
chr1	19229222	19229622
chr1	19241233	19241633
chr1	19251352	19251752
chr1	19251840	19252240
chr1	19288633	19289033
chr1	19312005	19312405
chr1	19312551	19312951
chr1	19311519	19311919
chr1	19341451	19341851
chr1	19405776	19406176
chr1	19406200	19406600
chr1	19457194	19457594
chr1	19475312	19475712
chr1	19485440	19485840
chr1	19484801	19485201
chr1	19596764	19597164
chr1	19597206	19597606
chr1	19653701	19654101
chr1	19659711	19660111
chr1	19704497	19704897
chr1	19715542	19715942
chr1	19730821	19731221
chr1	19882139	19882539
chr1	19882621	19883021
chr1	20152306	20152706
chr1	20185863	20186263
chr1	20212891	20213291
chr1	20265203	20265603
chr1	20276453	20276853
chr1	20282548	20282948
chr1	20290624	20291024
chr1	20291035	20291435
chr1	20343180	20343580
chr1	20343672	20344072
chr1	20342701	20343101
chr1	20348510	20348910
chr1	20361797	20362197
chr1	20365962	20366362
chr1	20369111	20369511
chr1	20376877	20377277
chr1	20386756	20387156
chr1	20417902	20418302
chr1	20430399	20430799
chr1	20448519	20448919
chr1	20449132	20449532
chr1	20470232	20470632
chr1	20473115	20473515
chr1	20476383	20476783
chr1	20483712	20484112
chr1	20486587	20486987
chr1	20507984	20508384
chr1	20507571	20507971
chr1	20552259	20552659
chr1	20633259	20633659
chr1	20633786	20634186
chr1	20661347	20661747
chr1	20661845	20662245
chr1	20660934	20661334
chr1	20696782	20697182
chr1	20696380	20696780
chr1	20711949	20712349
chr1	20717868	20718268
chr1	20717441	20717841
chr1	20732066	20732466
chr1	20786626	20787026
chr1	20787165	20787565
chr1	21012936	21013336
chr1	21175849	21176249
chr1	21176769	21177169
chr1	21255199	21255599
chr1	21254195	21254595
chr1	21254603	21255003
chr1	21278252	21278652
chr1	21305774	21306174
chr1	21313106	21313506
chr1	21318636	21319036
chr1	21327037	21327437
chr1	21345374	21345774
chr1	21345785	21346185
chr1	21344938	21345338
chr1	21439890	21440290
chr1	21509026	21509426
chr1	21509508	21509908
chr1	21574625	21575025
chr1	21607784	21608184
chr1	21645549	21645949
chr1	21651226	21651626
chr1	21652275	21652675
chr1	21669152	21669552
chr1	21671950	21672350
chr1	21782997	21783397
chr1	21783447	21783847
chr1	21782502	21782902
chr1	21921460	21921860
chr1	21937257	21937657
chr1	21937705	21938105
chr1	21963933	21964333
chr1	22025261	22025661
chr1	22024774	22025174
chr1	22052433	22052833
chr1	22114503	22114903
chr1	22121382	22121782
chr1	22143087	22143487
chr1	22207860	22208260
chr1	22212630	22213030
chr1	22245818	22246218
chr1	22275834	22276234
chr1	22318508	22318908
chr1	22350054	22350454
chr1	22363013	22363413
chr1	22451625	22452025
chr1	22452108	22452508
chr1	22567242	22567642
chr1	22583006	22583406
chr1	22619820	22620220
chr1	22626662	22627062
chr1	22662347	22662747
chr1	22673465	22673865
chr1	22674119	22674519
chr1	22676887	22677287
chr1	22689471	22689871
chr1	22723240	22723640
chr1	22729899	22730299
chr1	22763793	22764193
chr1	22780713	22781113
chr1	22782441	22782841
chr1	22801800	22802200
chr1	22806525	22806925
chr1	22828957	22829357
chr1	22860394	22860794
chr1	22862044	22862444
chr1	22916516	22916916
chr1	22916092	22916492
chr1	22930279	22930679
chr1	22944921	22945321
chr1	22951806	22952206
chr1	22969323	22969723
chr1	22971061	22971461
chr1	22972765	22973165
chr1	22976393	22976793
chr1	23019200	23019600
chr1	23019705	23020105
chr1	23098713	23099113
chr1	23100130	23100530
chr1	23168684	23169084
chr1	23177683	23178083
chr1	23344243	23344643
chr1	23344784	23345184
chr1	23356559	23356959
chr1	23368186	23368586
chr1	23368715	23369115
chr1	23403898	23404298
chr1	23417649	23418049
chr1	23484554	23484954
chr1	23484147	23484547
chr1	23497060	23497460
chr1	23525182	23525582
chr1	23531229	23531629
chr1	23539777	23540177
chr1	23544686	23545086
chr1	23554823	23555223
chr1	23559368	23559768
chr1	23568762	23569162
chr1	23634942	23635342
chr1	23691544	23691944
chr1	23691986	23692386
chr1	23743188	23743588
chr1	23743741	23744141
chr1	23778156	23778556
chr1	23790920	23791320
chr1	23800672	23801072
chr1	23800130	23800530
chr1	23825269	23825669
chr1	23868161	23868561
chr1	23867747	23868147
chr1	23902752	23903152
chr1	24070831	24071231
chr1	24112501	24112901
chr1	24112087	24112487
chr1	24136221	24136621
chr1	24150443	24150843
chr1	24199264	24199664
chr1	24201870	24202270
chr1	24315229	24315629
chr1	24321707	24322107
chr1	24322107	24322507
chr1	24322585	24322985
chr1	24341264	24341664
chr1	24415476	24415876
chr1	24415885	24416285
chr1	24438407	24438807
chr1	24440474	24440874
chr1	24502691	24503091
chr1	24552207	24552607
chr1	24635174	24635574
chr1	24642938	24643338
chr1	24642481	24642881
chr1	24642080	24642480
chr1	24688555	24688955
chr1	24705271	24705671
chr1	24704668	24705068
chr1	24745017	24745417
chr1	24821658	24822058
chr1	24847935	24848335
chr1	24848369	24848769
chr1	24970370	24970770
chr1	25066315	25066715
chr1	25065870	25066270
chr1	25065340	25065740
chr1	25088956	25089356
chr1	25232363	25232763
chr1	25233057	25233457
chr1	25231864	25232264
chr1	25239913	25240313
chr1	25247356	25247756
chr1	25247771	25248171
chr1	25338130	25338530
chr1	25338673	25339073
chr1	25430570	25430970
chr1	25430046	25430446
chr1	25540863	25541263
chr1	25543995	25544395
chr1	25569607	25570007
chr1	25608557	25608957
chr1	25616445	25616845
chr1	25615989	25616389
chr1	25700611	25701011
chr1	25727646	25728046
chr1	25728061	25728461
chr1	25771659	25772059
chr1	25774916	25775316
chr1	25819736	25820136
chr1	25820142	25820542
chr1	25859301	25859701
chr1	25875364	25875764
chr1	25875768	25876168
chr1	25895360	25895760
chr1	25905327	25905727
chr1	25906297	25906697
chr1	25906821	25907221
chr1	25905838	25906238
chr1	25922506	25922906
chr1	25927845	25928245
chr1	25998011	25998411
chr1	25998488	25998888
chr1	26021554	26021954
chr1	26035268	26035668
chr1	26035935	26036335
chr1	26094713	26095113
chr1	26111548	26111948
chr1	26112041	26112441
chr1	26110924	26111324
chr1	26161820	26162220
chr1	26161098	26161498
chr1	26164166	26164566
chr1	26169671	26170071
chr1	26171738	26172138
chr1	26171291	26171691
chr1	26210467	26210867
chr1	26225280	26225680
chr1	26233903	26234303
chr1	26234323	26234723
chr1	26279821	26280221
chr1	26280224	26280624
chr1	26286982	26287382
chr1	26306492	26306892
chr1	26321500	26321900
chr1	26336305	26336705
chr1	26360270	26360670
chr1	26359857	26360257
chr1	26363781	26364181
chr1	26409283	26409683
chr1	26417013	26417413
chr1	26432033	26432433
chr1	26432505	26432905
chr1	26472936	26473336
chr1	26472213	26472613
chr1	26471310	26471710
chr1	26471770	26472170
chr1	26500178	26500578
chr1	26500848	26501248
chr1	26529535	26529935
chr1	26620750	26621150
chr1	26620332	26620732
chr1	26621308	26621708
chr1	26693009	26693409
chr1	26695470	26695870
chr1	26723413	26723813
chr1	26787723	26788123
chr1	26788264	26788664
chr1	26826459	26826859
chr1	26864982	26865382
chr1	26890074	26890474
chr1	26889636	26890036
chr1	26900267	26900667
chr1	26921457	26921857
chr1	26993463	26993863
chr1	26997626	26998026
chr1	27012759	27013159
chr1	27031553	27031953
chr1	27054330	27054730
chr1	27057797	27058197
chr1	27058237	27058637
chr1	27071053	27071453
chr1	27087515	27087915
chr1	27099198	27099598
chr1	27118953	27119353
chr1	27137622	27138022
chr1	27154960	27155360
chr1	27197897	27198297
chr1	27234259	27234659
chr1	27233853	27234253
chr1	27234686	27235086
chr1	27300770	27301170
chr1	27300274	27300674
chr1	27321947	27322347
chr1	27351244	27351644
chr1	27357470	27357870
chr1	27392327	27392727
chr1	27490010	27490410
chr1	27490412	27490812
chr1	27489552	27489952
chr1	27519534	27519934
chr1	27519106	27519506
chr1	27528003	27528403
chr1	27536724	27537124
chr1	27566760	27567160
chr1	27568358	27568758
chr1	27603996	27604396
chr1	27614854	27615254
chr1	27634109	27634509
chr1	27659942	27660342
chr1	27663124	27663524
chr1	27672043	27672443
chr1	27672511	27672911
chr1	27725600	27726000
chr1	27772930	27773330
chr1	27773336	27773736
chr1	27830576	27830976
chr1	27831025	27831425
chr1	27914543	27914943
chr1	27914117	27914517
chr1	27959752	27960152
chr1	27960213	27960613
chr1	28088524	28088924
chr1	28087889	28088289
chr1	28088927	28089327
chr1	28105054	28105454
chr1	28173797	28174197
chr1	28232837	28233237
chr1	28235866	28236266
chr1	28236297	28236697
chr1	28247115	28247515
chr1	28258734	28259134
chr1	28259239	28259639
chr1	28259683	28260083
chr1	28328758	28329158
chr1	28369475	28369875
chr1	28369986	28370386
chr1	28505723	28506123
chr1	28506277	28506677
chr1	28518017	28518417
chr1	28518445	28518845
chr1	28552785	28553185
chr1	28553301	28553701
chr1	28552215	28552615
chr1	28581741	28582141
chr1	28582185	28582585
chr1	28642923	28643323
chr1	28648463	28648863
chr1	28647927	28648327
chr1	28648883	28649283
chr1	28668527	28668927
chr1	28668979	28669379
chr1	28669380	28669780
chr1	28736645	28737045
chr1	28736227	28736627
chr1	28785092	28785492
chr1	28785498	28785898
chr1	28830837	28831237
chr1	28835361	28835761
chr1	28869124	28869524
chr1	28882041	28882441
chr1	28886871	28887271
chr1	28887446	28887846
chr1	28914259	28914659
chr1	28914707	28915107
chr1	28950446	28950846
chr1	28956026	28956426
chr1	29029628	29030028
chr1	29124536	29124936
chr1	29181810	29182210
chr1	29181285	29181685
chr1	29182253	29182653
chr1	29202793	29203193
chr1	29230780	29231180
chr1	29231187	29231587
chr1	29240504	29240904
