Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	959124	959524
chr1	966800	967200
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1145050	1145450
chr1	1157374	1157774
chr1	1201378	1201778
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1358419	1358819
chr1	1360504	1360904
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1407660	1408060
chr1	1419974	1420374
chr1	1421162	1421562
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1435450	1435850
chr1	1442034	1442434
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1567542	1567942
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1753319	1753719
chr1	1752544	1752944
chr1	1778256	1778656
chr1	1777499	1777899
chr1	1782433	1782833
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2044784	2045184
chr1	2099187	2099587
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2207623	2208023
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2251735	2252135
chr1	2290669	2291069
chr1	2312827	2313227
chr1	2330846	2331246
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2474984	2475384
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2548685	2549085
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	3031732	3032132
chr1	3170497	3170897
chr1	3238419	3238819
chr1	3237614	3238014
chr1	3313094	3313494
chr1	3313607	3314007
chr1	3333889	3334289
