Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	819832	820232
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	998844	999244
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1132895	1133295
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1239720	1240120
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1293569	1293969
chr1	1300474	1300874
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1356724	1357124
chr1	1364245	1364645
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1477758	1478158
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1574716	1575116
chr1	1597805	1598205
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1678267	1678667
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1728564	1728964
chr1	1758731	1759131
chr1	1764229	1764629
chr1	1778762	1779162
chr1	1797796	1798196
chr1	1832840	1833240
chr1	1873139	1873539
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2105097	2105497
chr1	2133112	2133512
chr1	2160825	2161225
chr1	2189500	2189900
chr1	2198586	2198986
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2240191	2240591
chr1	2250839	2251239
chr1	2303367	2303767
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2398810	2399210
chr1	2412466	2412866
chr1	2416252	2416652
chr1	2427243	2427643
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2578249	2578649
chr1	2586361	2586761
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3453532	3453932
chr1	3473553	3473953
chr1	3501861	3502261
chr1	3504108	3504508
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3547398	3547798
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3780949	3781349
chr1	3783723	3784123
chr1	3857140	3857540
chr1	3856678	3857078
