Chromosome	Start	End
chr1	191294	191694
chr1	631178	631578
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	832113	832513
chr1	858638	859038
chr1	869724	870124
chr1	898674	899074
chr1	904538	904938
chr1	910005	910405
chr1	910522	910922
chr1	911152	911552
chr1	921040	921440
chr1	923663	924063
chr1	924560	924960
chr1	940125	940525
chr1	941634	942034
chr1	944691	945091
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	976001	976401
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1136512	1136912
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1173638	1174038
chr1	1176205	1176605
chr1	1201378	1201778
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1282160	1282560
chr1	1291801	1292201
chr1	1293569	1293969
chr1	1305547	1305947
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1344774	1345174
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1355377	1355777
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1417404	1417804
chr1	1419974	1420374
chr1	1421162	1421562
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1554825	1555225
chr1	1574716	1575116
chr1	1573891	1574291
chr1	1594549	1594949
chr1	1599549	1599949
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630222	1630622
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1778256	1778656
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1803102	1803502
chr1	1832840	1833240
chr1	1833470	1833870
chr1	1841393	1841793
chr1	1858650	1859050
chr1	1880785	1881185
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2050582	2050982
chr1	2104687	2105087
chr1	2105097	2105497
chr1	2133112	2133512
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2237086	2237486
chr1	2236684	2237084
chr1	2243272	2243672
chr1	2248422	2248822
chr1	2248833	2249233
chr1	2251735	2252135
chr1	2259572	2259972
chr1	2284939	2285339
chr1	2299235	2299635
chr1	2311447	2311847
chr1	2322503	2322903
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2443844	2444244
chr1	2459787	2460187
chr1	2463372	2463772
chr1	2467223	2467623
chr1	2474984	2475384
chr1	2480993	2481393
chr1	2492086	2492486
chr1	2493596	2493996
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2555558	2555958
chr1	2556300	2556700
chr1	2578249	2578649
chr1	2585387	2585787
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	2642468	2642868
chr1	2968414	2968814
chr1	3012469	3012869
chr1	3070029	3070429
chr1	3069569	3069969
chr1	3070513	3070913
chr1	3078528	3078928
chr1	3140296	3140696
chr1	3169760	3170160
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3186508	3186908
chr1	3219226	3219626
chr1	3219662	3220062
chr1	3222018	3222418
chr1	3251783	3252183
chr1	3265843	3266243
chr1	3274453	3274853
chr1	3320549	3320949
chr1	3323135	3323535
chr1	3333889	3334289
chr1	3352429	3352829
chr1	3410118	3410518
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3454871	3455271
chr1	3491216	3491616
chr1	3577313	3577713
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3695610	3696010
chr1	3697841	3698241
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3796353	3796753
chr1	3801390	3801790
chr1	3821033	3821433
chr1	3830888	3831288
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3910775	3911175
chr1	3924931	3925331
chr1	3942850	3943250
chr1	4054709	4055109
chr1	4071562	4071962
chr1	4173171	4173571
chr1	4253888	4254288
chr1	4267499	4267899
chr1	4273247	4273647
chr1	4398088	4398488
chr1	4527727	4528127
chr1	4529545	4529945
chr1	4656255	4656655
chr1	4853922	4854322
chr1	5089810	5090210
chr1	5108743	5109143
chr1	5297250	5297650
chr1	5423152	5423552
chr1	5430844	5431244
chr1	5456283	5456683
chr1	5551541	5551941
chr1	5611845	5612245
chr1	5745777	5746177
chr1	5880269	5880669
chr1	5888615	5889015
chr1	5895680	5896080
chr1	5896619	5897019
chr1	5904707	5905107
chr1	5914935	5915335
chr1	5933211	5933611
chr1	5949335	5949735
chr1	5970639	5971039
chr1	5973734	5974134
chr1	5975139	5975539
chr1	5978548	5978948
chr1	5980431	5980831
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6002224	6002624
chr1	6025234	6025634
chr1	6026026	6026426
chr1	6034419	6034819
chr1	6033954	6034354
chr1	6108819	6109219
chr1	6127731	6128131
chr1	6143377	6143777
chr1	6157696	6158096
chr1	6161350	6161750
chr1	6162801	6163201
chr1	6170790	6171190
chr1	6180266	6180666
chr1	6179110	6179510
chr1	6179629	6180029
chr1	6199485	6199885
chr1	6199915	6200315
chr1	6205881	6206281
chr1	6206383	6206783
chr1	6209161	6209561
chr1	6208646	6209046
chr1	6218877	6219277
chr1	6221625	6222025
chr1	6235817	6236217
chr1	6245023	6245423
chr1	6259948	6260348
chr1	6260922	6261322
chr1	6269615	6270015
chr1	6276408	6276808
chr1	6358638	6359038
chr1	6363088	6363488
chr1	6384983	6385383
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6412858	6413258
chr1	6423418	6423818
chr1	6424571	6424971
chr1	6438002	6438402
chr1	6440327	6440727
chr1	6445089	6445489
chr1	6448629	6449029
chr1	6483046	6483446
chr1	6486446	6486846
chr1	6490421	6490821
chr1	6489865	6490265
chr1	6497320	6497720
chr1	6519955	6520355
chr1	6520404	6520804
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6595002	6595402
chr1	6602774	6603174
chr1	6602029	6602429
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6625578	6625978
chr1	6634632	6635032
chr1	6701692	6702092
chr1	6701259	6701659
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6822469	6822869
chr1	6889872	6890272
chr1	6962791	6963191
chr1	6962363	6962763
chr1	6963212	6963612
chr1	7070395	7070795
chr1	7069929	7070329
chr1	7098222	7098622
chr1	7110292	7110692
chr1	7223526	7223926
chr1	7234309	7234709
chr1	7262675	7263075
chr1	7266046	7266446
chr1	7265644	7266044
chr1	7341202	7341602
chr1	7341693	7342093
chr1	7367259	7367659
chr1	7375236	7375636
chr1	7388860	7389260
chr1	7389370	7389770
chr1	7388090	7388490
chr1	7401758	7402158
chr1	7447090	7447490
chr1	7455399	7455799
chr1	7478904	7479304
chr1	7491764	7492164
chr1	7538095	7538495
chr1	7552472	7552872
chr1	7554841	7555241
chr1	7558939	7559339
chr1	7574331	7574731
chr1	7574769	7575169
chr1	7581164	7581564
chr1	7581971	7582371
chr1	7582498	7582898
chr1	7616858	7617258
chr1	7623699	7624099
chr1	7630436	7630836
chr1	7640897	7641297
chr1	7645496	7645896
chr1	7648940	7649340
chr1	7667525	7667925
chr1	7667969	7668369
chr1	7668474	7668874
chr1	7669466	7669866
chr1	7680285	7680685
chr1	7680691	7681091
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7770619	7771019
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7784354	7784754
chr1	7810387	7810787
chr1	7827085	7827485
chr1	7885509	7885909
chr1	7886312	7886712
chr1	7902726	7903126
chr1	7942249	7942649
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	7982277	7982677
chr1	7985948	7986348
chr1	8004944	8005344
chr1	8006298	8006698
chr1	8012288	8012688
chr1	8014950	8015350
chr1	8020030	8020430
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8040572	8040972
chr1	8077202	8077602
chr1	8078132	8078532
chr1	8094446	8094846
chr1	8096078	8096478
chr1	8097385	8097785
chr1	8154692	8155092
chr1	8162104	8162504
chr1	8169735	8170135
chr1	8169268	8169668
chr1	8170264	8170664
chr1	8182071	8182471
chr1	8194543	8194943
chr1	8197690	8198090
chr1	8202120	8202520
chr1	8202526	8202926
chr1	8217106	8217506
chr1	8238045	8238445
chr1	8252263	8252663
chr1	8252678	8253078
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8283244	8283644
chr1	8284217	8284617
chr1	8312238	8312638
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8318345	8318745
chr1	8348959	8349359
