Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	838280	838680
chr1	869700	870100
chr1	904556	904956
chr1	923618	924018
chr1	944311	944711
chr1	959123	959523
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1021064	1021464
chr1	1025053	1025453
chr1	1031302	1031702
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1257776	1258176
chr1	1273724	1274124
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1330623	1331023
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1434267	1434667
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1485917	1486317
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1551359	1551759
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1946506	1946906
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2086652	2087052
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2158263	2158663
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2257285	2257685
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2336069	2336469
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2459821	2460221
chr1	2470498	2470898
chr1	2475033	2475433
chr1	2480991	2481391
