Chromosome	Start	End
chr1	629073	629473
chr1	632504	632904
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	941619	942019
chr1	959123	959523
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	981976	982376
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1130141	1130541
chr1	1136490	1136890
chr1	1157383	1157783
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1337749	1338149
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1358538	1358938
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1435445	1435845
chr1	1438010	1438410
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1758338	1758738
chr1	1778261	1778661
chr1	1782473	1782873
chr1	1832842	1833242
chr1	1890939	1891339
chr1	1897127	1897527
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1955566	1955966
chr1	2019518	2019918
chr1	2050089	2050489
chr1	2091601	2092001
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2133092	2133492
chr1	2160112	2160512
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2199228	2199628
chr1	2205103	2205503
chr1	2227605	2228005
chr1	2240200	2240600
chr1	2250809	2251209
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2546010	2546410
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772312	2772712
chr1	2786611	2787011
chr1	2821904	2822304
chr1	2968526	2968926
chr1	3012471	3012871
chr1	3170498	3170898
chr1	3169750	3170150
chr1	3188259	3188659
chr1	3198864	3199264
chr1	3213747	3214147
chr1	3222183	3222583
chr1	3313103	3313503
chr1	3365497	3365897
chr1	3417962	3418362
chr1	3417322	3417722
chr1	3423382	3423782
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3460043	3460443
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3590325	3590725
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3674595	3674995
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	5632214	5632614
chr1	5970599	5970999
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6034441	6034841
chr1	6127691	6128091
chr1	6171554	6171954
chr1	6172708	6173108
chr1	6199456	6199856
chr1	6208669	6209069
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6260903	6261303
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6455141	6455541
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6634624	6635024
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6724850	6725250
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7070377	7070777
chr1	7266047	7266447
chr1	7447572	7447972
chr1	7469223	7469623
chr1	7586182	7586582
chr1	7645534	7645934
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8047121	8047521
chr1	8121303	8121703
chr1	8202123	8202523
chr1	8408313	8408713
chr1	8423531	8423931
chr1	8425321	8425721
chr1	8525898	8526298
chr1	8542149	8542549
chr1	8551532	8551932
chr1	8571551	8571951
chr1	8619365	8619765
chr1	8652614	8653014
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8963049	8963449
chr1	8988018	8988418
chr1	9005078	9005478
chr1	9122027	9122427
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9234024	9234424
chr1	9242440	9242840
chr1	9251868	9252268
chr1	9251459	9251859
chr1	9267052	9267452
chr1	9292657	9293057
chr1	9338828	9339228
chr1	9369757	9370157
chr1	9385726	9386126
chr1	9412977	9413377
chr1	9428798	9429198
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9626958	9627358
chr1	9687818	9688218
chr1	9689295	9689695
chr1	9724980	9725380
chr1	9823910	9824310
chr1	9893188	9893588
chr1	9892516	9892916
chr1	9900364	9900764
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9943211	9943611
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10210868	10211268
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10430528	10430928
chr1	10472384	10472784
chr1	10474719	10475119
chr1	10494629	10495029
chr1	10495089	10495489
chr1	10530271	10530671
chr1	10530768	10531168
chr1	10581442	10581842
chr1	10624342	10624742
chr1	10651786	10652186
chr1	10653744	10654144
chr1	10663622	10664022
chr1	10686004	10686404
chr1	10686551	10686951
chr1	10694691	10695091
chr1	10723983	10724383
chr1	10736584	10736984
chr1	10755908	10756308
chr1	10796490	10796890
chr1	10815485	10815885
chr1	10835874	10836274
chr1	10848125	10848525
chr1	10888715	10889115
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11663993	11664393
chr1	11680995	11681395
chr1	11681451	11681851
chr1	11680518	11680918
chr1	11707678	11708078
chr1	11735862	11736262
chr1	11790851	11791251
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11859246	11859646
chr1	11882851	11883251
chr1	11893899	11894299
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11934447	11934847
chr1	11967229	11967629
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12079556	12079956
chr1	12148315	12148715
chr1	12161828	12162228
chr1	12166748	12167148
chr1	12229816	12230216
chr1	12230952	12231352
chr1	12242654	12243054
chr1	12431491	12431891
chr1	12478212	12478612
chr1	12478634	12479034
chr1	12528291	12528691
chr1	12615915	12616315
chr1	12618173	12618573
chr1	12642046	12642446
chr1	12658955	12659355
chr1	13488508	13488908
chr1	13513854	13514254
chr1	13700085	13700485
chr1	13749127	13749527
chr1	13798838	13799238
chr1	14551398	14551798
chr1	14598510	14598910
chr1	14923889	14924289
