Chromosome	Start	End
chr1	29163	29563
chr1	180580	180980
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	794897	795297
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	940125	940525
chr1	959124	959524
chr1	978588	978988
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1133357	1133757
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1201378	1201778
chr1	1212856	1213256
chr1	1231886	1232286
chr1	1261136	1261536
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1339391	1339791
chr1	1349269	1349669
chr1	1355377	1355777
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1567542	1567942
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1646326	1646726
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1752544	1752944
chr1	1758731	1759131
chr1	1841393	1841793
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1943959	1944359
chr1	1959984	1960384
chr1	2003630	2004030
chr1	2019534	2019934
chr1	2025677	2026077
chr1	2050093	2050493
chr1	2133112	2133512
chr1	2139674	2140074
chr1	2148666	2149066
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2241700	2242100
chr1	2255945	2256345
chr1	2255536	2255936
chr1	2279161	2279561
chr1	2284939	2285339
chr1	2290669	2291069
chr1	2300915	2301315
chr1	2314312	2314712
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
