Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	923618	924018
chr1	958627	959027
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	984122	984522
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1136490	1136890
chr1	1137242	1137642
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1166136	1166536
chr1	1173670	1174070
chr1	1201390	1201790
chr1	1212811	1213211
chr1	1221865	1222265
chr1	1222572	1222972
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1250867	1251267
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1476028	1476428
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1629741	1630141
chr1	1628969	1629369
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1677829	1678229
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1779881	1780281
chr1	1780366	1780766
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2050616	2051016
chr1	2075028	2075428
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2148670	2149070
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2258743	2259143
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2304910	2305310
chr1	2305357	2305757
chr1	2373795	2374195
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2404504	2404904
chr1	2404018	2404418
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2496163	2496563
chr1	2499902	2500302
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
