Chromosome	Start	End
chr1	102755	103155
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	727023	727423
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	830730	831130
chr1	851394	851794
chr1	858638	859038
chr1	869724	870124
chr1	904538	904938
chr1	916502	916902
chr1	921040	921440
chr1	923663	924063
chr1	924560	924960
chr1	924140	924540
chr1	930738	931138
chr1	938058	938458
chr1	940125	940525
chr1	941634	942034
chr1	940684	941084
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	984123	984523
chr1	999982	1000382
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1058278	1058678
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1124719	1125119
chr1	1128398	1128798
chr1	1133357	1133757
chr1	1153821	1154221
chr1	1164808	1165208
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1239720	1240120
chr1	1265306	1265706
chr1	1273712	1274112
chr1	1273288	1273688
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1333883	1334283
chr1	1332220	1332620
chr1	1344052	1344452
chr1	1344774	1345174
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1400847	1401247
chr1	1402061	1402461
chr1	1407118	1407518
chr1	1431868	1432268
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1486970	1487370
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1543727	1544127
chr1	1543321	1543721
chr1	1551981	1552381
chr1	1554825	1555225
chr1	1555296	1555696
chr1	1565369	1565769
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1678267	1678667
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1753319	1753719
chr1	1757924	1758324
chr1	1758731	1759131
chr1	1764229	1764629
chr1	1769055	1769455
chr1	1778256	1778656
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1833470	1833870
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1894573	1894973
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1922996	1923396
chr1	1941166	1941566
chr1	1947477	1947877
chr1	1959984	1960384
chr1	2044784	2045184
chr1	2047219	2047619
chr1	2046453	2046853
chr1	2050093	2050493
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2206817	2207217
chr1	2207623	2208023
chr1	2208271	2208671
chr1	2219931	2220331
chr1	2227624	2228024
chr1	2231885	2232285
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2243272	2243672
chr1	2248422	2248822
chr1	2250839	2251239
