Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	185527	185927
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	817141	817541
chr1	827359	827759
chr1	826875	827275
chr1	835499	835899
chr1	869724	870124
chr1	904538	904938
chr1	911152	911552
chr1	916502	916902
chr1	921040	921440
chr1	923663	924063
chr1	938058	938458
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	984123	984523
chr1	999982	1000382
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1128398	1128798
chr1	1157374	1157774
chr1	1207998	1208398
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1259943	1260343
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1331036	1331436
chr1	1333883	1334283
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1361937	1362337
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1533216	1533616
chr1	1540434	1540834
chr1	1542556	1542956
chr1	1543727	1544127
chr1	1543321	1543721
chr1	1554825	1555225
chr1	1555296	1555696
chr1	1563688	1564088
chr1	1564148	1564548
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1597330	1597730
chr1	1597805	1598205
chr1	1599549	1599949
chr1	1615208	1615608
