Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	959123	959523
chr1	966792	967192
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1136490	1136890
chr1	1137242	1137642
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1171773	1172173
chr1	1173670	1174070
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1206881	1207281
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1250867	1251267
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1290156	1290556
chr1	1291818	1292218
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1607072	1607472
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1677829	1678229
chr1	1678252	1678652
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1779881	1780281
chr1	1780366	1780766
chr1	1833989	1834389
chr1	1833475	1833875
chr1	1864717	1865117
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2112467	2112867
chr1	2126875	2127275
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2246659	2247059
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2256429	2256829
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2311480	2311880
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2499902	2500302
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	3170498	3170898
chr1	3199648	3200048
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3491213	3491613
chr1	3491733	3492133
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3597441	3597841
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3666283	3666683
chr1	3677010	3677410
chr1	3695606	3696006
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3899597	3899997
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4027464	4027864
chr1	4027003	4027403
chr1	4045068	4045468
chr1	4796370	4796770
chr1	5509852	5510252
chr1	5745783	5746183
chr1	5954969	5955369
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6028066	6028466
chr1	6037249	6037649
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6259907	6260307
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6404647	6405047
chr1	6423442	6423842
chr1	6460361	6460761
chr1	6465984	6466384
chr1	6475484	6475884
chr1	6486438	6486838
chr1	6554368	6554768
chr1	6553784	6554184
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7667531	7667931
chr1	7680260	7680660
chr1	7704452	7704852
chr1	7703810	7704210
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7783355	7783755
chr1	7784530	7784930
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7982272	7982672
chr1	8014961	8015361
chr1	8026172	8026572
chr1	8169724	8170124
chr1	8317872	8318272
chr1	8318447	8318847
chr1	8348952	8349352
chr1	8395600	8396000
chr1	8409156	8409556
chr1	8424024	8424424
chr1	8424538	8424938
chr1	8427513	8427913
